Author,Institution,Title,PageStart,PageEnd,Conference,Publisher,Journal,Issue,Book,Volume,Edition,Year,NumAuthors
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Distributed adaptive model predictive control of a cluster of autonomous and context-sensitive body cameras,35,40,,,,,Proceedings of the 2017 Workshop on Wearable Systems and Applications,,,2017,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Moving beyond the framebuffer,93,98,,,,,Proceedings of the 21st international workshop on Network and operating systems support for digital audio and video,,,2011,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,A utility-driven framework for loss and encoding aware video adaptation,1026,1035,,,,,Proceedings of the 15th ACM international conference on Multimedia,,,2007,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Transport-level protocol coordination in distributed multimedia applications,644,645,,,,,Proceedings of the eleventh ACM international conference on Multimedia,,,2003,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Video Killed The Data Store: Extending the n-Dimensional Display Interface for Full Screen Video,401,410,,,,,Proceedings of the 23rd ACM international conference on Multimedia,,,2015,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,MediaSynch Issues for Computer-Supported Cooperative Work,191,208,,"Springer, Cham",,,MediaSync,,,2018,1
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Summary-invisible networking: Techniques and defenses,210,225,International Conference on Information Security,"Springer, Berlin, Heidelberg",,,,,,2010,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Request Generation for a Peer-based PVR,99,104,,,,,Proceedings of the 20th international workshop on Network and operating systems support for digital audio and video,,,2010,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,StrandCast: peer-to-peer content distribution for latency tolerant applications,1,10,2010 Second International Conference on COMmunication Systems and NETworks (COMSNETS 2010),IEEE,,,,,,2010,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Videoconferencing,755,767,,"John Wiley & Sons, Inc.","Handbook of Computer Networks: Distributed Networks, Network Planning, Control, Management, and New Trends and Applications",,,3,,2007,1
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,ZenCam: Context-Driven Control of Autonomous Body Cameras,41,48,2019 15th International Conference on Distributed Computing in Sensor Systems (DCOSS),IEEE,,,,,,2019,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,A System Model For Frameless Asynchronous High Dynamic Range Sensors,85,90,,,,,Proceedings of the 27th Workshop on Network and Operating Systems Support for Digital Audio and Video,,,2017,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,A Frameless Imaging Sensor with Asynchronous Pixels: An Architectural Evaluation,110,117,2017 23rd IEEE International Symposium on Asynchronous Circuits and Systems (ASYNC),IEEE,,,,,,2017,5
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,n-Dimensional Display Interface,1450,1453,,,,,Proceedings of the 24th ACM international conference on Multimedia,,,2016,1
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Guest Editors' Introduction: Advances in Multimedia Computing,12,13,,IEEE,IEEE MultiMedia,3,,14,,2007,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Advances in multimedia computing-Guest editors' introduction,12,13,,IEEE COMPUTER SOC,,3,,14,,2007,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Evaluating the effectiveness of automatic PVR management,360,364,Storage and Retrieval Methods and Applications for Multimedia 2004,International Society for Optics and Photonics,,,,5307,,2003,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Introduction to selected papers from MMCN 2002,169,169,,Springer-Verlag,Multimedia Systems,2,,9,,2003,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Software-only video production switcher for the Internet MBone [3310-03],28,41,,SPIE INTERNATIONAL SOCIETY FOR OPTICAL,PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING,,,,,1997,4
