Tal Yarkoni,1363617592
Ramadass Nagarajan,1975870631
Ruohan Gao,2653076770
Zheng Zhao,2538559049
Jing Lin,2443949460
Katie Genter,1993176600
M.S. Hrishikesh,354917693
Matthew Halpern,2225768153
Vacha Dave,2159139914
Mark Gebhart,2103361265
Aditya Rawal,2304980270
Ali Panah,2131231303
Felix Gutierrez,2144559431
Long Chen,2428716188
Gregory Kuhlmann,2160943816
Thomas Hughes,2302822699
Jean-Philippe Martin,2526014013
Sambuddha Chakrabarti,2372963380
Yan Zhang,2619519701
David Maidment,2176953769
Weijia Xu,2149422454
Raymod Mooney,2974339292
Daniel Urieli,328872644
Girish Malkarnenkar,2222176171
Niveda Krishnamoorthy,2471189402
Hao Ling,2107798426
Salam Akoum,1985824310
Ali Yilmaz,2160204773
Co Tran,2919564382
Gautam Krishna,2920080453
Preeti Kumari,2531101017
Wenguang Mao,2156796304_https://scholar.google.com/citations?hl=en&user=_jeddYwAAAAJ
Xiuming Zhu,2150063446
Bryan Marker,2142069265
Dohyung Park,2311637250
Dana Ballard,2130837540_https://scholar.google.com/citations?hl=en&user=67aYFTQAAAAJ
Rupesh Nasre,2617019042
Thomas Feo,1971964629
M. Hassaan,2230372347
Jason Liang,2338840504
Mike O'Connor,2771960409
Premkishore Shivakumar,2099140302
Chang Lee,2289745822
Rishab Goyal,2561313021
Anitesh Barua,2157795276
Kristen Parrish,2721190444
Bo Xiong,2438751537
Yu-Chuan Su,2130181892
Andrew Ellington,1139785224
M. Suleman,1830296670
Ann Kilzer,2021235197
Veynu Narasiman,1414908183
Surbhi Goel,2558970741_https://scholar.google.com/citations?hl=en&user=Zqz4CQoAAAAJ
Piyush Khandelwal,2310783118
Bilal Sadiq,2279173323
Kai Zhong,2098604492
Scott Nettles,77785740
Lilyana Mihalkova,2345836963
Xin Sui,1987061521
Ruifang Ge,2156452700
Gray Thomas,1971031616
Niall Gaffney,2163065543
David Soloveichik,103618433
Kun Yuan,2063393568
John Cazes,2097029307
Robert McDonald,2101367843
Maytal Saar-Tsechansky,131186531
San-qi Li,2523973876
S. Sridharan,2122762622
Rustam Miftakhutdinov,1950829214
Andrea Thomaz,2169200351
Timothy Whiteaker,299929015
Ashish Bora,2720479699
Razieh Zaeem,1542492240
Dimitris Kaseridis,868429553
Michael Speriosu,2091938406
Edward Marcotte,778191355
Peter Müller,2309231393
Richard Crawford,2102752567
José Joao,2071912538
Rajat Sen,2117625626
Ray Chen,2126447462
Samuel Lauffenburger,2229896999
Reza Mahjourian,2654595220
Rashid Kaleem,2225003789
Aron Yu,2096379322
Amin Khalek,1978655211
Ashutosh Chakraborty,2148883971
Stephen Mock,715978740
Josiah Hanna,2463505497
Rahul Kumar,2484195747
Nicholas Jong,2142875091
Ruohan Zhang,2307381709_https://scholar.google.com/citations?hl=en&user=etco7VUAAAAJ
Reena Panda,2223063548
Surya Santoso,2170151325
Dimitrios Prountzos,274160387
Benjamin Wing,2129359786
Linxiao Shen,2744603717
Eren Balevi,2354313409
Roshan Dathathri,2783402231
Richard Ketcham,1866922704
Kaiyuan Wang,2576143346
Elad Liebman,2263305189
Victor Vu,2123363408
Wenjuan Guo,2097049489
Andrew Dunn,2225953791
Francesca Samsel,1613535769
