Josh Bongard,690249449_https://scholar.google.com/citations?hl=en&user=Dj-kPasAAAAJ
Paul Hines,2006096629_https://scholar.google.com/citations?hl=en&user=6Bnk26wAAAAJ
David Whitney,2662341779
Nancy Bianchi,2196887960
Dylan Burns,2121704359
Emily Manetta,662608732
Karol Zieba,2230278932
Jeffrey Bond,2111321371
Claire McIlvennie,3023064930
Benjamin Littenberg,14773501
Rhonda Kost,2720802756
Rachel Stadler,2968075577
James Vincent,2327501740
Daniel Driscoll,2644918853
Adil Khurram,2909360701
Alison Pechenick,2069222047
Mark Ibrahim,2580159278
V. Sakamuri,1498439557
Sylvie Doublié,2305419948
Eitan Pechenick,2488313252
Joseph Krupa,2016209859
Sarnaduti Brahma,2884811255
Christopher Koliba,2161444934
Kristen Underwood,2146713796
Thomas Adler,2963048409
Kelly Hamshaw,2013760461
Katherine Westdijk,2309259164
Richard Colletti,1887339146
P. Bizargity,2974799232
Lisa Aultman-Hall,2201205766
Chester Harvey,2214580292
Stephanie Hurley,2341959622
Albert Joy,2157018777
Catherine Nicholas,2989204308
Suad Alagic,2503040660
Shane Celis,2232460434
Javier Redrado,2796074445
Jonathan Sands,2164255135
Taylor Ricketts,2152101297
Aaron Schwartz,2792455156
Kevin Gagne,2620724782
A.K. Mok,2798552444
M. Chaudhry,2279290196
Jason Stumpff,2007918991
Yang Bai,2309695749
David Matthews,2965382369
J McGowan,2405096084
Montserrat Almena-Aliste,2560913655
Sean Nixon,1974926431
Stephen Everse,178494674
Elizabeth Berman,2165784738
Randall Landry,2985574327
Yu Zhang,2558564211
Xun Chen,2397100595
Richard Single,2133177894
Ari Larson,2517129275
Jeffrey Buzas,2032202910
Yucan Zhang,2541114270
J.R. Schultz,2974288348
Qingbin Wang,2947184186
Kathleen Ziedins,2057392299
Thomas Orfeo,2130519345
Kenneth Mann,2234185243
Gary Atwood,2149588626
Arthur Kuflik,2689360315
James Hoffmann,2129934700
David Hinckley,2165365380
Dien Phan,2136572602
Safwan Wshah,2562547277
Rory Waterman,2165519373
Daniel Berenberg,2803105574
Yuhang Lin,2911895163
Nicholas Reilly,2648491912
Wang Ru-liang,2712431114
Taka Ashikaga,2172863425
David Churchill,2537832663
Tri Tran,2137708437
Bryan Ballif,2035565773
Alicia Ebert,2236996831
Anna Schmoker,2762447505
Stefanie Geiger,2807694004
Gabriela Bucini,2309183320
Scott Merrill,2796895422
Susan Moegenburg,2899082819
Julie Smith,2926039917
Grant Taylor,2304985232
Erin Irons,2307544274
Alexa Ayer,2310792966
Afsoon Zowj,2224092625
Hall Ef,2530289899
Leonard Tashman,2315381348
Cate Nicholas,1966540133
Rolfe Stanley,2120714762
Dryver Hutson,2806768412
Robert Farrel,2807276621
Anthony Quinn,2102247111
Carole Hughes,2321086539
C. Kinsey,2037583939
Elena Doty,2613792598
Matthew McGarry,3034419055
Sang-Pil Kim,2598718752
S. Titcomb,2680319498
Lizzy Pope,2165142374
Cedric Priebe,2288507219
L. Morrissey,2503874360
Shawn Beaulieu,2797058826
Colin Oort,2552896222
Kristin Funabashi,2012426694
Joshua Coffee,2065592586
William Banks,2111342309
Keegan Brown,2123680544
Michael Coleman,2147764155
Katherine Accomando,2163095536
Rebecca Risko,2164070816
Michael Rosen,2169425107
Akie Hashimoto,2169822551
Yudan Liu,2907775555
lIanaid Ossareh,2913832803
P. Haake,1894418751
Nancy Fawley,2890926764
Daisy Benson,2027692896
Wichada SuKantarat,2498769602
Somdeb Chatterjee,2223501048
Ethan Eldridge,2232224691
Nicholas Gotelli,5041219
Dan Orfeo,2750793463
Christopher Petrillo,2966553456
J. Frolik,2974335928
J. Kay,2974496585
John Hanley,2534854235
Kevin Gorman,2115229823
Taras Lakoba,2296618991
James Fingar,897657600
Elizabeth Dow,2663525683
Wilson Ezequille,2947694216
David Dougherty,2151011254
Defang Zhou,2654732339
C.J. Colbourn,2973716860
Meghan Cope,2169589012
Taian Fan,2684119793
James Kraushaar,2974349863
Di Mu,2805253843
W Ezequelle,2965080911
Songtao Jiang,2581276399
Joshua Powers,2856467470
Mohamed Abdelaziz,2345449239
Diana Gonzalez,2703589352
Todd DeLuca,3038246518
Maxfield Green,3039247292
Karl Kaiser,3039299973
Samuel Clark,3014152506
Richard Cheng,2560389363
Diana Popa,3022911102
Michael Ricci,2108637496
Peter Callas,2139403095
Judith Amour,2144919120
Michael Caputo,2163698614
Fred Rogers,2477180501
Connie Ou,2784190230
Robert Farrell,2794448829
Christopher Morris,2145204237
Robert Swain,https://scholar.google.com/citations?hl=en&user=jlT588UAAAAJ
Radhakrishna Dasari,https://scholar.google.com/citations?hl=en&user=v8KY8nYAAAAJ
