Kedar Sambhoos,1705060556
Raj Acharya,2618451788
Ramanujan Sheshadri,2138720614
Wenyuan Yin,2237683010
Raja Alomari,2018509438
Huaigu Cao,2951478920
Peter Scott,2438247655
Minsuk Cha,2222392871
S. Guercio,2712208945
Nishant Sankaran,2228764804
Joy Ghosh,2141791125
Ciprian Ionita,2030982680
Souma Chowdhury,2195963887
Paula Chesley,2661627406
Weida Zhong,2303341416
Colin Drury,2154080388
Chi Zhou,2560377370
Olga Wodo,2309447073
Adam Gannon,2245310356
Woochang Hwang,2105770917
Pinaki Sarder,2035493829
Daniel Schlegel,2144918700
Lei Zhu,2308085340
Xi Zhang,2311283025
Venugopal Govindaraju,2151007812
Tong Guan,2550737847
Manavender Malgireddy,24043401
Brenda Battleson,2063892751
Rajan Batta,1947639428
Aleksey Charapko,2540693740
Jane Weintrop,2659365109
Li Xu,2148548132
Chetan Ramaiah,2056167237
Geetha Srikantan,367288771
Tao Wei,2627364777
Dacheng Wang,2463756613
Xijun Zhang,2152631689
Stanley Zionts,213578753
Suren Kumar,2129479840_https://scholar.google.com/citations?hl=en&user=rLA6HfUAAAAJ
Scott Doyle,2149107196
Tao Liu,2922165267
Joseph White,2167088169
Bruce Vincent,2141063472
Matthew Eichhorn,2796683590
Gian Farina,2535139691
Clairice Cooper,2621836575
Raghav Rao,2498445159
Liuyi Yao,2800944540
Zhengxiong Li,2835846896
Chun Tang,2130157064
Alexander Nikolaev,2152231056
Taehyong Kim,2616832862
Hayreddin Ceker,283746359
Fatih Bulut,2420292793
Sara Behdad,2050520103
Andrew Olewnik,719575492
Yang Zhao,2903940672
Albert Chen,2136602372
Ehsan Esfahani,2206469499
Gregory Ball,2162669295
Li Lin,2526873393
Hengtong Zhang,2578315135
Xin He,2168313844_https://scholar.google.com/citations?hl=en&user=Bfnved8AAAAJ
Jingjing Meng,2143972965
Sixu Piao,2771242508
Satish Tripathi,2620237805
Jaehan Koh,2164071962
Heidi Julien,2163926943
Srilakshmi Ramireddy,1981903892
Xin Ma,2898994786
Jaroslaw Zola,2108440449_https://scholar.google.com/citations?hl=en&user=bbfF1OwAAAAJ
Yingjie Hu,2131474356
Mangesh Bhandarkar,1999417311
Kenneth Joseph,2729717732
Le Fang,2598572244
Minghui Zheng,2141347784
Julian Ryde,2792339090
Manivannan Arivazhagan,2779334063
Josephine Anstey,2020403912
Dimitrios Pados,2004209555
Yang Chen,2974034500
Niccolo' Meneghetti,2060407254
Gang Chen,2952297654
Rutao Yao,2166323939
Adnan Siddiqui,2097640958
Chang-Xing Ma,2141655518
Christopher Rump,2007617788
Jianqiang Wang,2148261525
Duc Luong,2508382161
A. Narasimhan,2149425740
Ozan Tonguz,2711064836
LaDona Knigge,2343166265
Jalil Modares,2556277260
Bina Ramamurthy,2111342407
Galina Rogova,1182937732
Chaohong Wu,2170778461
Zhongjie Ba,2771099681
Subarna Ghosh,2165464535
Hanbin Zhang,2797267671
Michael Buckley,2125662593
Ching-Huei Wang,2583634194
Andrew Bruno,2132209344
Stephen Tiffany,1718834442
Anusha Iyer,2125019985
Yong Rui,2912430833
Munirathnam Srikanth,2096941116
Brendon Lutnick,2751795792
Marc Böhlen,2204841185
R Chityala,323306327
S Nine,2774050163
David Shumaker,2798531765
Philip Hancock,2266691840
Zehua Zhou,2417337473
Zhi Zhang,2303344063
Peter Elkin,1938674939
Gökhan Kul,2507744554
Madusudanan Narayanan,2143567990
Weihao Qu,2904759143_https://scholar.google.com/citations?hl=en&user=EeHLTPEAAAAJ
Wei Zheng,2679737332
Clyde Herreid,2102381511
Marina Blanton,2039648368
Qin Zhang,2242581621
N.C. Simpson,2915319067
Kemal Guner,2542701042
Aditya Rathore,2789752437
Cheng-Jhe Lin,2110186785
Changsha Ma,2893224894
Demian Lessa,2136345888
Stephen Lam,2764831387
Rabi Yacoub,2157177681
