Vladik Kreinovich,2423819275_https://scholar.google.com/citations?hl=en&user=iern2agAAAAJ
Kyle Johnson,2892560809
Mahmud Hossain,2904580397
Harvey Tsang,1995334824
Ricardo Rodriguez,2551679391
Paul Defembaugh,2584453328
Brandon Cepeda,2898156836
Heriberto Godina,2798326949
Nicholas Rioy,2524879231
Lawrence Lesser,2117003752
Granville Sewell,2342688481
Miguel Hernandez,2763532340
Raul Trejo,2138041189
Angel Flores-Abad,1506097096
Daniel Tillman,2149136801
Yuxin Wen,2954100721
Fernando Parra,2527387860
Cara Schiek,2061744047
Francis Santos,2903614224
Elizabeth Anthony,2130855549
Justin Parra,2559190710
Brian Carter,2099663933
Monica Nogueira,2807284400
B. Tseng,2147860200
Song An,2127646104
Kate Miller,2518149661
Matthew Averill,2973616759
P. Silva,2097476278
Tetyana Zhyvotovska,2904124992
Leticia Vel´zquez,2229994806
Omar Masmali,2895748124
Guillermo Flores,2663118730
Nicolas Lopez,2546736290
Irbis Gallegos,2169843504
Karen Richart-Ruiz,1520164889
Soheil Nazarian,1957023340
David Mireles,2125332714
J Barragan,2511235639
Marian Manciu,2060657
Felicia Manciu,2067041287
Mario Cardenas,3003370392
Theresa Maldonado,3004294599
Eric Gutierrez,2495455870
Christian Servin,2951488928
Laura Hall,2160112567
Elizabeth Kamoroff,296647320
Andrew Bernat,2129534238
Rahad Khandoker,2914273350
Rafael Escalante,2125137635
Riya George,2161701900
Reza Ashtiani,2159144905
Mohammad Rashidi,2583254774
Vinod Kumar,2124512040
Angel Contreras,2122953892
J. Gamez,2128912367
Cesar Yeep,152576979
Roger Gonzalez,2893835132
A. Aguirre,2219029894
R. Borries,1979535800
Frederick Kautz,2104097514
Vladik Kreinovitch,2561070405
Eric Hagedorn,2409655993
Alberto Ugarte,2114145065
Carla Contemori,106354105
Laxman Bokati,2916036305
Emil Schwab,2113766672
A. Gates,2223592422
M. Goldman,2106399543
Stephen Gibson,2711972532
Gustav Verhulsdonck,2409316777
Meagan Kendall,2789452452
Luis Procter,2946509185
A. Lucero,2103304901
Virigilio Gonzalez,2804070451
Dante Barragan,2974621542
Jaime Jaloma,2156557031
Xiaojing Wang,2263606383
Christofer Kiekintveld,2489482695
Matthew Vechione,2918444277
Jaeseok Eo,2801358283
Carlos Albitres,2901464060
Guillermina Solis,2277143804
Mark Williams,2912085755
Sumi Dey,2913357894
Jose Coronel,2746688624
Xia Huang,2318252225
Mohamed Khamsi,660045960
Janette Briones,2701221122
Luis Garnica-Chavira,2529060702
Jun Zheng,2679402983
Amarendra Nandigam,2400771174
Kavitha Tupelly,2025009222
Anindita Nath,2894722257
Martha Escobar,2336572804
Joshua McCartney,2138422970
Michele Levy,2557749056
Yu-Cheng Liu,2302896010
Jason Carlson,2750471775
Jae Son,2894501223
N. Ranganathan,2974516819
Ricardo Borries,2565016191
Laura Rodriguez,2523553542
Jorge Ramos,2259463085
Mohammad Hossain,2584545735
Alvaro Rebellon,2141169733
Ana Schwartz,2149066224
Horacio Florez,2304176766
Bonnie Traylor,2701877270
Hinojos Hinojos,2904828192
Aline Jaimes,2106613935
Felipe Jovel,2011503987
Jaime Parra,2682270088
Parand Mansouri-Rad,168741611
Josefina Tinajero,2485335576
Ann Darnell,2497419458
C.J. Miosso,2870398249
Daniel Yehdego,1607981980
Brian Giza,2157647077
J.C. Urenda,2974445482
A. Akinsanmi,2285272583
T. Morgan,2989512014
Yannick Atouba,2426046723
Timothy Gonzalez,2564172592
Daniel Catarino,2006261346
Kalyan Aleti,2326472631
Th. Sarkodie-Gyan,2964616299
Rachel Boren,1979665962
Patricia Nava,2041226682
Adeel Malik,2972093021
TerryAnn Glandon,601135522
J. Chaparro,2437205821
L. Macias,2440401554
V. Alvarado,2442967903
A. Esper,2666889173
Nellie Delgado,2230053979
Randy Keller,2614929441
Jan Beck,2100802338
Michael Gelford,2894684106
Chunqiang Li,2165775287
Glenn Gibson,2466089238
Zhonghua Hu,2504789222
Cuauhtemoc Munoz,2440733729
Maher Aldeghlawi,2624507721
Ximena Lopez,3023699537
Louis Irwin,2096746119
David Pruitt,2409014837
Mohammed Alkhatib,2104125458
Martha Osegueda,2587373169
Rebeca Gonzalez,2227354527
J. Pierluissi,2840531512
K. Joshi,2575189086
Cassandra Soto,2715661768
Jonathan Quijas,2223303326
Ameet Chavan,2136830161
Baltazar Santaella,1993772434
Rajesh Molakaseema,240062655
Aditya Akundi,2607344845
Edgar Padilla,2678487864
Afshin Gholamy,2078410310
Kazi Billah,2890918713
A. Bayona,2356931677
Antonio Cortes,2798754335
Rafael Escalante-Ruiz,2186924269
