Sallie Henry,2949317602
G. Wang,2718879887
Ting-Chung Poon,2264403900
C. Chewar,1907243173
Aidin Ferdowsi,2690390698
Vishnu Chetlur,2577005167
Ruth Grene,2078555211
Mina Labib,2286780865
William Headley,2227364385
Kexiong Zeng,2100912969
K. Krish,2224282323
S. Venkatesh,2105504123
Jeffrey Birch,2102997421
Andwenjing Lou,2222499920
Maury Nussbaum,2232482067
Qiang Li,2225868277
Lamine Mili,2640813097
Yanzhi Dou,2222045136
Jin-Hee Cho,2151604816_https://scholar.google.com/citations?hl=en&user=wToVkEUAAAAJ
Yating Wang,2225614848
Timothy Newman,1980441066
Chun-Yi Su,2304192029
Stephen LaConte,2465693273
T. Murali,422606881
James Thorp,2110628299
Jiangzhuo Chen,2140873248
Alan Michaels,2046194954
Sumit Shah,2287687457
Yong Cao,2105627681
John Tyson,2101777055
Steven Ellingson,2048311497
Ryan Gerdes,2103524448
Meng Wu,2480381493
Hua Lin,1995221999
Andrea Kavanaugh,2114829366
Lauren Bradel,2007067512
Anibal Sanjab,2304407330
Dennis Hong,2154790628
Matthew Dunlop,2097017369
Patrick Fiaux,2070346357
Ege Gulcan,2037837480
Liqing Zhang,2106102293_https://scholar.google.com/citations?hl=en&user=erM6KTMAAAAJ
Cliff Ragsdale,2154298453
Thidapat Chantem,1997602202
Pinhas Ben-Tzvi,1154689196
Pablo Tarazaga,697476777
Stephen Groat,2035241747
Jing Zhang,2637159091
Debprakash Patnaik,2140123976
Jeffery Reed,2484436538
Markus Kusano,2227853443
Kiran Karra,2543541362
Yufeng Kou,2161239414
K. Nadkarni,2253798097
Seungwon Yang,2640243544
Neill Kipp,727300511
Abid Ullah,2229466803
Kui Xu,2246234690
Jordan Comins,2129264273
Dong Ha,2148171657
Robert Williges,1911996212
He Li,2283738171
R.J. Boyle,2614706552
Kaixi Hou,2096799792
Shawn Bohner,719092821
Austin Bart,2228915743
Yao Zhang,2293580633
Tugba Erpek,1174054948
Na Meng,2716018667
K.J. Krizman,144180163
Rafael Davalos,2053856493
Changhee Jung,2109785649
Sebastiano Peluso,2094520743
Ashwin Vijayakumar,2439589403
Qing Sun,2310197078
Bin Le,2151196123
Micah Abrams,2307844349
Nicholas Russ,2316130450
Douglas Nelson,2098128514
Joseph Gaeddert,2055697133
Clint Mathialagan,312025030
Huijun Xiong,2147687469
Anuj Karpatne,246177910
Srinidhi Varadarajan,2128824765
Dinesh Datla,1225893242
Jian Jiao,2469482241
Shengjian Guo,2223396976
Alexander Alon,2033482583
K.K. Bae,2148711406
Jeremy Archuleta,2044568300
Zheng Chen,2515146580
Dongyoon Lee,2110410315
T Clancy,3003799618
Harley McAlexander,2041992338
Andrew James,2398379869
Ashutosh Kumar,2600099536
Sean Ha,2289294598
Xuchao Zhang,2719132958
Kurt Luther,2129876558
Matthew Hicks,2116311070
Bryan Lewis,2099398193
Nof Abuzainab,2510986528
Kwang-Jin Koh,2222645876
Daniel Stilwell,1971952349
Haiou Shen,2149279818
Benjamin Rose,2159026180
Akrit Mohapatra,2511880270
M. Iqbal,2130607258
Tingting Jiang,2226397943
Subhash Sarin,1992965220
Anthony Allevato,1975772858
John Burns,2130172756
Reza Barkhi,199715514
Zhiwu Xie,2163043060
Changwoo Min,2165680947
Antonio Barbalace,952446130
Vireshwar Kumar,2097252309
Chowdhury Shahriar,2232656989
Richard Beckman,2165388458
Hassan Eldib,2006741123
William Urbanski,1971191681
Sharath Raghvendra,2196642465
Jinshan Liu,2740759582
William Mason,2718462960
Siroberto Scerbo,145137620
Mahdi Nabiyouni,2224518184_https://scholar.google.com/citations?hl=en&user=3r1ht0sAAAAJ
Ping Wang,2654931033_https://scholar.google.com/citations?hl=en&user=Lc5_NXEAAAAJ
P. Montague,2311363246
Bo Gao,2705800662
Hampton Gabler,2243554004
Yue Ning,2493066754
R. Knapp,2570186337
Sudip Saha,2700172565
Woo Chung,2973465301
Shouwen Lai,2096088353
Mehdi Ahmadian,2096030185
Alan Abrahams,2699699888
Stefan Hoops,2246255993
Balaji Subramaniam,2140857484_https://scholar.google.com/citations?hl=en&user=QwNzIRAAAAAJ
G. Vining,2210400342
Majid Manteghi,1896283649
Deborah Cook,2125408168
Zalia Shams,2136052260
Guohua Cao,2127444454
Vikash Gunreddy,2499030252
Zhimin Chen,2164825734
Mo Ghorbanzadeh,2530003856
Hao Song,2289851684
Tomonari Furukawa,2115717801
Cayelan Carey,2149695801
Vignesh Adhinarayanan,2222760433
Santhoshkumar Sambamoorthy,2230179552
Robert Gramacy,96051484
Xuetao Chen,2143875603
Robert Broadwater,71213884
E. Brumberger,745720237
Prakriti Banik,2551793074
Fang Liu,2610670443
Sean Ponce,2134885561
Ji-Sun Kim,2167031730_https://scholar.google.com/citations?hl=en&user=-sZZHTMAAAAJ
Lucy Nowell,1973698104
Inyoung Kim,2404614876
Jochen Rode,1997377829
Gustavo Arango-Argoty,2624814918
Steve Jan,2277959116
Randall Nealy,2088423866
Christopher Zobel,2129035155
C.R.C.M. Silva,2305036196
Cong Zheng,2133213152
Jacob Somervell,1963687483
Yaser Keneshloo,2222978247
Myounghoon Jeon,2104241919
Annamalai Annamalai,2915831016
Saied Taheri,2151253130
Alexandru Turcu,2021651354
JoAnn Paul,2129530106
J. Krishnaswami,2708751282
Zaka Zahid,2086608117
Wu Feng,https://scholar.google.com/citations?hl=en&user=Sm0f6HYAAAAJ
Yang Cao,https://scholar.google.com/citations?hl=en&user=EFD4OrIAAAAJ
TM Murali,https://scholar.google.com/citations?hl=en&user=pdpOwtkAAAAJ
Dimitrios Nikolopoulos,https://scholar.google.com/citations?hl=en&user=-nzj5UYAAAAJ
Scott McCrickard,https://scholar.google.com/citations?hl=en&user=jQNt6RwAAAAJ
Yitan Zhu,https://scholar.google.com/citations?hl=en&user=8K0DQ4gAAAAJ
Kumaresh Singh,https://scholar.google.com/citations?hl=en&user=thy6vUkAAAAJ
Tanushree Mitra,https://scholar.google.com/citations?hl=en&user=pgKClXQAAAAJ
Venkat Srinivasan,https://scholar.google.com/citations?hl=en&user=gg4kYgwAAAAJ
Subhodip Biswas,https://scholar.google.com/citations?hl=en&user=IpBEFSkAAAAJ
James McClure,https://scholar.google.com/citations?hl=en&user=pyJyikYAAAAJ
