Peyman Nazari,1968214838
Mason Chang,2610258447
Lubomir Bic,655005374
Alexander Behm,1993931556
Arash Kheradvar,786577552
Yifei Chen,2304875309
Deepak Chandra,2122664161
Michael Bebenita,2049387778
Kwang-Rok Kim,2300558993
Justin Harris,2281266611
A. Hoek,2141498746
Judith Olson,2121613656
Ardalan Sani,2106326099
Zhiming Chen,2312145989
Melissa Mazmanian,2147779513
Dheeru Dua,2766963805
Jiang Wan,2128615365
Pramod Khargonekar,2240931319
Chiachi Huang,2377956512
Yiming Lu,2100480165
Sanaz Barghi,2005809217
Lichun Bao,2123921836
Maciej Kurant,338367328
K. Defrawy,2222135192
Ban Al-Ani,1981493853
Biao He,2103913539
Steven Potkin,690106878
Sanjiv Narayan,2615262947
Dongwan Shin,2133619139
Jon Hutchins,2058131172
Peter Grun,1995222652
Pouria Pirzadeh,1982172541
Eli Bozorgzadeh,2235237591_https://scholar.google.com/citations?hl=en&user=ogE3q4oAAAAJ
Qing Nie,2245572678
Joshua Tanenbaum,2073829820
Xiaomin Liu,2296474687
Matthew Bietz,2247056944
Scott Jordan,2138132203
Diane O'Dowd,2030665188
Weiwei Chen,2397303169
Jasper Vrugt,2651584033
Norrathep Rattanavipanon,2602205680
Nitish Nag,2297460996_https://scholar.google.com/citations?hl=en&user=r-ajfTwAAAAJ
Stephen Bay,2719938533
Feng Jiang,2029655770
Di Yang,2947130442
Michael Dillencourt,283904225
Siripen Pongpaichet,144258919
Santanu Sarma,2224936323
Farhan Simjee,2045344028
Haobo Yu,2134933327
Steven Cramer,2104138422
Rex Chen,2145932424
Shantanu Sharma,2229609701
Ilya Issenin,1987196058
Vipul Jain,2163167279
Jinfeng Liu,2616173321
Mingyan Gao,2134610327
Fan-Gang Zeng,2171436641
Michael Yeganyan,2091451515
Theo Erp,782765412
Adrienne Williams,2182774248
Sudarshan Banerjee,2192181679
Solmaz Kia,2427873591
Ashok Halambi,325058589
Joshua Garcia,2969302832
Naveen Nathan,2701728127
Shivajit Mohapatra,2157306940
Kalev Kask,2124585452
David Mobley,2170993439
Gregory Bolcer,29023117
Fred Tzeng,2163854248
Christopher DuBois,2153139629
Isaac Scherson,2119493630_https://scholar.google.com/citations?hl=en&user=szsAigoAAAAJ
Georgios Detorakis,35839684
Xu Han,2298234511
Wayne Hayes,2106340646
Young-Seok Kim,2100575058
Bruce Tromberg,688242647
Jack Xin,2031104453
E. Akay,2107003068
Tiago Muck,1978611246
Mengfan Tang,2175924296
Sara Javanmardi,2027397304
Alex Baker,2149712041
Laleh Jalali,1997513892
Qi Lou,2112239549
John Solis,2157446112
Hotham Altwaijry,2152934075
Abbas BanaiyanMofrad,269185707
Chun-Cheng Wang,2305056339
Abinesh Ramakrishnan,2193743203
Zachary Heilbron,290709374
Trung Ngo,2138440916
Tryphon Georgiou,2111623883
Yasser Altowim,2285352575
F. Keceli,2030209101
I. Inan,2170078510
Dmitri Arkhipov,2013976323
Pinaki Sinha,2190902318
Clifford Brunk,2012163064
Sameer Patil,2110782592
Amanda Williams,2136974592
Stephan Mandt,2510738453
Khanh Nguyen,1986526613
Maryam Khademi,1967088606
Christopher Merz,2103435164
Erik Sudderth,198699297_https://scholar.google.com/citations?hl=en&user=ePiPQ2cAAAAJ
R. Klefstad,2012622422
Bryan Donyanavard,2535458433
Lei Zhou,2617874930
C. Oliveira,2620237357
Sanjeev Dewan,2251078350
Vasanth Venkatachalam,2136337004
Carlos O'Ryan,2073161064
Inci Cetindil,1577997
Dimitri Parthenopoulos,2676516062
Dimitrios Kotzias,2129043304
Babak Shahbaba,2259100201_https://scholar.google.com/citations?hl=en&user=t0-BrIMAAAAJ
Thomas Alspaugh,29010622
Vaibhav Pandey,2645336256
Alireza Sadeghi,2971724383
Wen-Hsiang Hu,2137107275
Vidyanand Choudhary,2151065012
Charles Zender,396048690
Yeeleng Vang,2953047795
Nancy Aguilar-Roca,1984244650
Jie Gong,2469756016
Chifeng Wang,2169461681
Alireza Behbahani,2018052331
Jayram Nageswaran,1030605290
Mark Panahi,2122502214
Ramesh Srinivasan,2443924140
Liangbin Li,2124636454
Aparna Chandramowlishwaran,1505617513
Janet Vertesi,2777428953
R. Cornea,2043174405
Jack Brouwer,2115851682
Enrico Gratton,2063610489
Joachim Vandekerckhove,2107405568
Kavita Philip,2313953452
Kai Zheng,2893888391
Kari Nies,2264276517
Junyu Peng,2158305300
S. Fakoorian,464840569
Amelia Regan,2161358306_https://scholar.google.com/citations?hl=en&user=1xfwEBAAAAAJ
Faryar Jabbari,1533553828
Adrian Preda,2167766946
Lars Otten,2110242800
Zhe Wang,2949688615
Jack Lin,2121402386
James Randerson,1171935549
Asheesh Khare,2109309538
Fabio Soldo,138117918
Phuc Nguyen,2666653172
M. Chen,2611107232
