Benjamin Heintz,2124983231
Paul Iaizzo,2344022959
Bryan Baxter,2101887503
O. Masoud,2988125593
Zhi Yang,2138234047
Konstantina Christakopoulou,2223173307
John Kieffer,2158761749
Bernardo Cockburn,2275882540
Hesham Mekky,2016157438
Zhiwei Wu,2148762327
Dongchul Park,2796495254
Xiongzi Ge,2097922730
Rui Kuang,2037866308
Wei-Cheng Liao,2164934021
Arvind Narayanan,2495091581
Yinzhe Yu,2152499664
Crystal Compton,2230457244
Haitao Chu,2226888990
Agoritsa Polyzou,2344194845
S. Farahmand,2073343836
Tien Nguyen,2251180714
S. Khatamifard,2560883303
Huahua Wang,2143868435
Daniel Kluver,2054308119
Andrew Lamperski,2070799862
Xiaotong Shen,2125069230
Bodong Chen,2127248522
Jae Yoon,2230170808
Matthew Johnson,2150343972
Bingzhe Li,2222603612
Dev Oliver,2121583490
Ming Kang,2110621192
Gordon Legge,2287618630
John Strupp,2562769451
Yingqun Yu,2120780515
Shane Nackerud,323994778
Brad Holschuh,2537803815
Swayambhoo Jain,2123192882
J. Walker,2162143276
Qian Zhao,2625067753
Ruofeng Liu,2762823403
Khaled Hamdy,2168646467
György Simon,2105039803
Santosh Kabbur,2060234691
Saurav Talukdar,2278918871
Dan Knights,2100954238
Jeremy Osterhouse,2222523013
Michael Garwood,1922344287
Motohiro Nakajima,1964511620
Jonathan Harms,2493919634
Dalong Liu,2132393373
Lee Alexander,2115769031
Zehua Guo,2789927511
Onur Tekdas,2023997617
Somnath Kundu,2100421006
Wenchao Jiang,2557182769
Gabriel Al-Ghalith,2040343731
Benjamin Hillmann,2511040296
Varun Mithal,184559979
Daniele Angelosante,2044870171
Caroline Hayes,2120878211
Jason Sonnek,2052717896
Tanvir Ahmed,2165750201
Stuart Speedie,611583500
Zhengyang Zhao,2284650472
Ernesto Nunes,2168198037_https://scholar.google.com/citations?hl=en&user=WFX3rwEAAAAJ
Stephen McCamant,2271153937
Kelvin Lim,2280664626
Kaitlin Cassady,2275439272
Manki Min,2974102514
Chen Zhou,2306464882
Asmaa Elbadrawy,2218227452
Muqing Liu,2740941946
Qianying Tang,2222151911
Qingsong Lu,2140032429
Georgios Karanikolas,2503148225
Mark Kroll,2097256776
Peter Willemsen,1439462824_https://scholar.google.com/citations?hl=en&user=ckOxXwIAAAAJ
Andrew Odlyzko,2029350574
Bo Yang,2311062739
Hanyong Eom,2165053284
Ravishankar Sivalingam,2012853351
William Durfee,2397187708
Xinhu Zheng,2289222068
Dominique LaSalle,2103709749
Devdatta Kulkarni,2165364720
Michael Ludwig,2304669892
Christopher Wilke,2191097588
Athanasios Nikolakopoulos,743683647
Bryon Mueller,2123140255
Yong Zhan,2112888641
Craig Packer,2154277336
Meredith Palmer,2586554499
J.R. Anderson,2109585315
Paul Rybski,2920061365
Yiqun Xie,2541619136_https://scholar.google.com/citations?hl=en&user=s-XyB2wAAAAJ
Yingping Lu,2108632971
Matthew O'Keefe,2571955183
Xiangyi Chen,2886081997
Karl LaFleur,2223343290
Kaleb Shades,2298259230
Eitan Rogin,2616571679
Andrew Sutton,2146695731
P.K. Vitthaladevuni,2974019871
Gary Meyer,2015964843
Hua Jiang,2301786588
Hushrav Mogal,2074973451
Sandhya Koteshwara,2343674774
Zizhuo Wang,2136850182
Saurabh Verma,2477595350
Eman Ramadan,2338326124
Ajay Joshi,2109260890
Zamshed Chowdhury,2120581739
Md. Molla,2751024536
B.F. Wollenberg,2109565602
Snigdhansu Chatterjee,2125500003
Zisheng Zhang,2149283706
Peng Wu,2168091503
Bérénice Mettler,1986708226
Rahul Narain,1998212958
Sara Morsy,2143302276
Max Donath,2141151338
Meng Ma,2479652394
Usama Fayyad,2683732562
Andrew Casper,2118613929
Osama Masoud,2328728744
Karsten Steinhaeuser,258494835_https://scholar.google.com/citations?hl=en&user=znNnP0EAAAAJ
Lee Anderson,2121301601
Bingcong Li,2775748308
Yan Pang,2540019746
S.A. Stoeter,310017157
Carolyn Crouch,1864158511
Vivek Mishra,2304456395
Travis Drayna,2134603623
Steven Johnson,2404835991
Masoud Zabihi,2789378634
Joan Garfield,2137038685
Tong Wu,2658562227
Gopalan Nadathur,https://scholar.google.com/citations?hl=en&user=jpXyNF8AAAAJ
Ju Sun,https://scholar.google.com/citations?hl=en&user=V6FaD-UAAAAJ
Evan Rosenberg,https://scholar.google.com/citations?hl=en&user=yK8fnhkAAAAJ
Wei Hsu,https://scholar.google.com/citations?hl=en&user=X_sk21QAAAAJ
Maximilian Billmann,https://scholar.google.com/citations?hl=en&user=KBnTE9sAAAAJ
Haw-ren Fang,https://scholar.google.com/citations?hl=en&user=NbaFdloAAAAJ
James Allert,https://scholar.google.com/citations?hl=en&user=AJp4ZtMAAAAJ
Zoheb Borbora,https://scholar.google.com/citations?hl=en&user=mlXoKxIAAAAJ
Reem Ali,https://scholar.google.com/citations?hl=en&user=vH_xmfQAAAAJ
Guido Gioberto,https://scholar.google.com/citations?hl=en&user=H2KOYdUAAAAJ
Sarah McRoberts,https://scholar.google.com/citations?hl=en&user=AlEAPaoAAAAJ
Christopher Jonathan,https://scholar.google.com/citations?hl=en&user=wThM-CoAAAAJ
Xing Liu,https://scholar.google.com/citations?hl=en&user=daysntkAAAAJ
Pengkui Luo,https://scholar.google.com/citations?hl=en&user=sYPbgcAAAAAJ
vinit padhye,https://scholar.google.com/citations?hl=en&user=Hnz0VvgAAAAJ
Yan Li,https://scholar.google.com/citations?hl=en&user=myHZLwkAAAAJ
Nicolai Häni,https://scholar.google.com/citations?hl=en&user=jn0K8-sAAAAJ
Huanan Zhang,https://scholar.google.com/citations?hl=en&user=zBryig8AAAAJ
Tong Ke,https://scholar.google.com/citations?hl=en&user=snbAqkwAAAAJ
Ziyan Wu,https://scholar.google.com/citations?hl=en&user=37rJrKwAAAAJ
Ye Yuan,https://scholar.google.com/citations?hl=en&user=MkCiLqYAAAAJ
Debarati Das,https://scholar.google.com/citations?hl=en&user=NpoVjbMAAAAJ
Saumik Narayanan,https://scholar.google.com/citations?hl=en&user=GSgaC84AAAAJ
Mahsa Soufineyestani,https://scholar.google.com/citations?hl=en&user=aTLFiekAAAAJ
Nishad Trivedi,https://scholar.google.com/citations?hl=en&user=_aAeuhUAAAAJ
Jiawei Mo,https://scholar.google.com/citations?hl=en&user=HkgwmcgAAAAJ
Arun Sharma,https://scholar.google.com/citations?hl=en&user=yb0e0FYAAAAJ
Koorosh Vaziri,https://scholar.google.com/citations?hl=en&user=-IZ5qksAAAAJ
Prateeth Nayak,https://scholar.google.com/citations?hl=en&user=BnKJ4msAAAAJ
Sara Albakry,https://scholar.google.com/citations?hl=en&user=EyRu94YAAAAJ
Prateek Vachher,https://scholar.google.com/citations?hl=en&user=6XhYPUgAAAAJ
