Philip Yu,2125104194_https://scholar.google.com/citations?hl=en&user=D0lL1r0AAAAJ
Shahin Khobahi,2885318932
Eric He,2108582089
Sandra Groote,1975025401
Robin Mermelstein,2776564969
Stephen Checkoway,2639473500
Andrew Boyd,2130849370
György Turán,2071417576
Karyn Jonas,2481956129
Johnson GadElkarim,737184737
Rajiv Shah,2436383854
Jeremy Kun,2080862275
Anthony Faiola,1786598578
Mahadevabharath Somayaji,2174740473
Shaika Chowdhury,2784921537
Sara Shahi,2228035580
Sybil Derrible,333413116
Faisal Bashir,1993830669
Murthy Ganapathibhotla,2280740596
Kristine Lee,2752830770
Piergiorgio Uslenghi,2051022395
Fei Dong,2146551212
Jezekiel Ben-Arie,697477573
Yasaman Keshtkarjahromi,2227917183
Amit Trivedi,2147946689
Min Shen,2308070197
Diana Maamari,210179027
M. Scott,2706778142
Sahisnu Mazumder,2741096420
Josephine Dorsch,2593714219
Narueporn Nartasilpa,2428046749
James Lin,2197890216
Mehrdad Alizadeh,2227348469
Andre Kajdacsy-Balla,705375895
Jiawei Zhang,2915961549
Peter Snyder,2594125857
C. Ranganathan,2688651816
Moyin Li,2692385695
Ta-Yuan Hsu,2113733411
Chris Scharver,2315625458
Rajvikram Singh,2153177010
Sanjeev Jha,2160529459
Zhiwei Liu,2898937947
Steven Jones,2489919996
Sarah Millermaier,261633834
Yiwen Sun,2608879622
Yuxuan Xing,2283274164
Brian Slattery,1872863817
Jing Wang,3002840987_https://scholar.google.com/citations?hl=en&user=xGchzdgAAAAJ
Anirudh Vallabhaneni,2075274780
Tao Wang,2686478285
John Shuler,2127715284
Brenda Silva,2126220182
Robert Sandusky,1511487438
Arindam Bose,2703330243
Jon Solworth,2309926570
Emanuelle Burton,2572667890
R.V. Chan,2137857097
Pawan Setlur,3016604059
Xincheng Yao,2602964888
Federico Caimi,2155733937
Timothy Hinrichs,1822882684
Marco Mazzucco,1947227986
Paul Murray,2132704455
J. Evaristo,2137742148
Farhad Ansari,2135910356
Jessica Roberts,2624049541
Marek Czernuszenko,1995702033
Ian Kash,1512084719
Miloš Hrkić,1482925848
Brent Stephens,2129903812
He Huang,2803552199
Elena Zheleva,1837768759_https://scholar.google.com/citations?hl=en&user=Ug7VoyQAAAAJ
Karthik Ganesh,2465207030
Ali Alaraj,2992782315
Annie Armstrong,1990289512
Yuheng Hu,2125957116
Mehrnaz Najafi,2164489937
Pitamber Shukla,2195090136
Chainarong Amornbunchornvej,2699624547
Jutai Zhou,2136505151
Inna Partin-Vaisband,2616634117
Julie Hurd,2296770397
Lauretta Quinn,2130194304
Xinhua Zhang,2124873033
Ádám Lelkes,2123609839
Abolfazl Mohammadian,2110972149
Maja Grgurovic,2292738901
Nooshin Mojab,2915998591
Maliheh Monshizadeh,1988736784
Ehsan Noohi,2309281167
Linda Skitka,318318073
Chong Chen,2096350482
Ruichen Jin,2129681990
Miloš Žefran,2004144340
Piotr Szczurek,1856012148
John Dillenburg,2951706114
Julieta Aguilera,2300413625
Richard Hoffman,2177436240
Simon Alford,2116534623
Debaleena Chattopadhyay,2745592312_https://scholar.google.com/citations?hl=en&user=ONZL1lgAAAAJ
Boxiao Chen,2185273380
Hong Wang,2703163445
Ian Atkinson,2161218241
Brenda Lopez,2224259262
Michal Sabala,2054409585
Theja Tulabandhula,2951946740
John Davis,2269939901
Xing Li,2752698090
Ashkan Rezaei,2464848183
Firouzeh Logan,2178092480
Daria Tsoupikova,200639012
Yu Liu,2682564596
Ben Gerber,2101619668
Radoslaw Bobrowicz,2231371031
Abigail Goben,448671844
Naveed Naimipour,2890055818
Kaiser Asif,2169168570
Kheir Al-Kodmany,1012351197
Wei Xing,2271530479_https://scholar.google.com/citations?hl=en&user=Qy5mJdMAAAAJ
Jingye Xu,2111128337
Turkmen Canli,1994321060
Changyong Liang,2761900202
Karen Lopez,2164034504
Doug Lundquist,2044859673
Prashant Banerjee,2132121799
Xiaobo Zhang,2094439581
Heping Wang,2168697976
Timothy Johnson,2151121909
A. Roy,2098682344
Alessandro Panella,2118223516
Ross Arena,882989783
Heide Klumpp,2010613496
John Zulueta,2609178572
Andrea Piscitello,2742645544
Shashank Khanvilkar,2162050434
Bruce Levy,2213307451
Booma Balasubramani,2406666128
Michael Lewis,2328749415
Stuart Bailey,2463935267
Konstantin Slavin,1829062416
Peng Fan,2162569927
Lingdao Sha,2422187008
Ashkan Sharabiani,2153399717
Zhaoxia Hu,2327286379
Yi Zhang,2778916282
Jennifer Lim,2257605039
David Cosejo,2072233731
Yu Di,2476414929
Cathy Helgason,2105761448
Tadahiro Negishi,2031152607
Kaidi Zhao,2099771163
Marco Maggioni,2295970301
Joe Hummel,2310074184
Sara Amini,2625971033
Ann Weller,2032433312
John Saldhana,2561724680
Vishal Suthar,2559477576
Minhaj Alam,2574116194
Yong Cho,2973569971
Birhanu Eshete,2026804668
Edwin Cook,2099261435
William Galanter,112140026
Yue Yin,2788476814
Y. Aslandogan,2216880780
Ruoyu Li,2124496711
Libin Zhang,2274328846
Allen Ye,2107130159
V. Verma,2486794398
Vijay Kamble,1973375517
Yanying Chen,2227199954
Yingtong Dou,2571510669
Alessio Fabiani,2051156967
Mark Gillingham,2106601127
Will Perkins,2309277217
Jessica Williams,2918952910
Sridhar Sangareddy,2656557814
Xiang Huo,2548248579
G.E. Marai,2809246565
Timothy Luciani,2078627821
Itika Gupta,2883871281
Ankit Gupta,2385731186
Laxman Saggere,2016699344
Srinivasa Kondapalli,2173115364
Karthik Hariharakrishnan,36124534
Alan Schwartz,2307590695
Moira Zellner,1971070552
Jun Sun,2894907440
Yinglin Xia,2895396925
VN Venkatakrishnan,https://scholar.google.com/citations?hl=en&user=6enh82kAAAAJ
Lei Zhang,https://scholar.google.com/citations?hl=en&user=-XuXeT8AAAAJ
David Nicholls,https://scholar.google.com/citations?hl=en&user=SDFpAa8AAAAJ
Alex Furman,https://scholar.google.com/citations?hl=en&user=XB4tW8cAAAAJ
Md. Bikas,https://scholar.google.com/citations?hl=en&user=TeQkl-UAAAAJ
Dimitris Diochnos,https://scholar.google.com/citations?hl=en&user=4xBoyTsAAAAJ
Anthony Ph.D,https://scholar.google.com/citations?hl=en&user=rPAw-isAAAAJ
Sathya Ravi,https://scholar.google.com/citations?hl=en&user=FW-0thoAAAAJ
Harish Naik,https://scholar.google.com/citations?hl=en&user=gWJbRocAAAAJ
Massimo Marchi,https://scholar.google.com/citations?hl=en&user=9KcJJu8AAAAJ
Syed Hussain,https://scholar.google.com/citations?hl=en&user=V0XnrqwAAAAJ
Natawut Monaikul,https://scholar.google.com/citations?hl=en&user=TSPn2XMAAAAJ
Lara Ansari,https://scholar.google.com/citations?hl=en&user=-YfL_SwAAAAJ
Sanket Gaurav,https://scholar.google.com/citations?hl=en&user=upcYjw0AAAAJ
Aditi Mallavarapu,https://scholar.google.com/citations?hl=en&user=o4XGBswAAAAJ
Andrew Wentzel,https://scholar.google.com/citations?hl=en&user=m16NzxUAAAAJ
Prithviraj Sengupta,https://scholar.google.com/citations?hl=en&user=WYogSWgAAAAJ
Mahshid Hosseini,https://scholar.google.com/citations?hl=en&user=q6fYMZsAAAAJ
