Scott Leutenegger,2035235546_https://scholar.google.com/citations?hl=en&user=UDOTNC0AAAAJ
B. Depper,330976706
Ryan Casey,2263434605
Heather Ryan,2288471318
Norbert Kaula,2115738733
Catherine Durso,2558302737
Melissa Higgins,2582332712
Fahad Almasoudi,1961862870
Andrew Mueller,2666361281
Douglas Allen,2294643870
Lauren McGrath,2142780082
Lan Lin,2950296185
J. Malik,2566571244
A. Ojha,2636127669
Justin Hollenbeck,2091694240
Carlie Harrison,2930123475
Yilin Shi,2330746026
Mostafa Abbasi,2322521283
Douglas Miller,2118859384
P. Trinh,2226517331
Seyedmohammad Mavadati,2228608592
K. Bartlett,2252704246
Michail Michailidis,3007714636
Aiman Gannous,2810542432
Behzad Hasani,2618959597
James Treinen,2038072555
Donald Anderson,2143641929
Steven Poltrock,2662260649
Ashley Cline,2569155625
Gasem Rashwan,2040047874
V. Mitra,1053613429
Andrew Burt,2344125034
Joe Lucente,2974047169
R. Kannan,2979189007
Peter Breznay,336159944
Jennifer Brown,2564508940
Anh Nguyen,2885630497
Alireza Mahdian,2311133022
Weibin Gu,2967317300
Khaled Alatawi,329201639
Gregory Foltz,2023938593
Apostol Panayotov,2227875457
Iliya Georgiev,2344630788
Peggy Keeran,478192103
Sun-Wook Lim,2304523758
R.W. Quine,2973656904
D.L. Armentrout,2973914845
Max Roschke,2771067269
B. Kargar,2783398768
Amy Stroder,2222026588
Seth Voorhies,2382105004
Frank Sposito,2593432619
Salih Kenshi,2593182057
Grace Therrell,2967480141
Juli Parrish,1980829211
Elizabeth Meagher,2067058983
Philip Beaver,2011867035
Mitchell Ohriner,2593706415
William Mitchell,2603252049
Candace Joswick,2791113374
Carrie Forbes,2100872476
B.B. Bounds,2336142020
Shawn Adams,2643323463
Ramki Thurimella,2093052250
Taylor Phillips,2671595292
Susan Zvacek,2303619589
Jing Wang,2504049411
X. Yang,2973873306
Robin Dean,2337026326
Maggie Ryan,2968628906
Jeremy Reynolds,2136456371
Linda Olson,2253417797
Frederick Gibson,2345834908
Amy Pason,2576872789
Farzaneh Askari,2884453317
Francesca Dino,2972954740
Bello Bello,2998189447
Toufic Hawat,2277983048
R. Blatherwick,2986402549
