Jonathan Maletic,316323994_https://scholar.google.com/citations?hl=en&user=n9_W4kYAAAAJ
Salem Othman,2125752166
Hend Alrasheed,2003845608
Muad Abu-Ata,2253947422
Pamela Takayoshi,299682389
Jalaa Hoblos,1896912576
Hailong Jiang,2944765057_https://scholar.google.com/citations?hl=en&user=-8qm9_MAAAAJ
Jay Lee,2700664161
Robert Faley,221127123
James Robinson,2625071792
Alan Evans,2303604678
Waleed Albattah,300751693
Yongbin Ma,2107958903
Reem Alshahrani,2223712977
Sean Dolan,2771934218
Abdulelah Algosaibi,2364918806
A. Chowdhury,2614166536
Jeffrey Gatten,98962654
Purva Gawde,2606224823
Virginia Dressler,1759001002
Howard Veregin,2652841623
O. Andriyevska,1998800821
Linda Ohrn-McDaniels,2934691249
J. Kidman,2493370374
Enrico Gandolfi,1999545769
Kakoli Saha,2145381357
John Nworie,2012609081
Kendric Hood,2966662508
D. Lin,2970014117
Praveen Danturi,252433464
Mary Jensen,2097448827
Peter Lisius,1986571808
Zhiqiang Wang,2779425274
Aryn Karpinski,2306425520
Kevin Schaffer,2303621717
Hamza Ozer,2660763199
S. Tanyer,2706199136
William Acar,303332487
Ming Lin,2345756275
Nicholas Tietz,2592108395
Adam Anthony,2682849641
Iftakharul Islam,2970080294
Sebastián Díaz,2777919520
Cynthia Ryans,1535952434
Wendell Wu,2955864152
Daniel Mosora,221591778
Wittaya Chantamas,337844306
Amin Assareh,2072764877
Yu Xu,2718482688
Li Chen,3008163093
Pervaiz Alam,2312980151
M.S. Hung,2939544366
Liang-Chy Chien,2837901976
Basma Alqadi,2592804959
John Thornton,2246246247
Liang Ding,2311458737
Xiaoxi Du,2498290342
Wansik Oh,2166604516
Jamie Salem,2557276466
Abdul Shakoor,2061674163
Suh Kang,2287569559
Aubrey Mendelow,1986698467
Potter Potter,2545650262
Peggy Nzomo,2224881165
Dong-Heon Kwak,2581892768
K. Khan,2336772799
Kristine Pytash,2230632123
Saad Algharib,2047933899
Chia-Ling Kuo,2303716500
Robert Leach,2120435048
Ran Barniv,722892431
Yea-Jyh Chen,2141418503
Schloman Bf,2637923279
Qiong Gu,2798389054
Haru Dewi,2638064707
Rusul Alsaedi,2533347095
Rashid Muhmmad,2226983582
Vlas Zyrianov,2956127589
K.W. Batcher,2974022399
R.A. Walker,2974771906
Musaad Alzahrani,2974062825
Zhen Peng,2993405422
Suphanut Jamonnak,2979332939
Jian Li,2647276882
Sonya Wisdom,1994876890
Clarissa Thompson,2170913404
Mike Yuan,2223256203
Tara Smith,2252717983
Cheng Lu,2288647708
Michael Battista,2776753126
Arne Leitert,2264849150
Amiruzzaman Amiruzzaman,2682884184
Victoria Turner,2765619358
Sandeep Davu,2461988527
Paul Bryant,2902987750
M. Khan,2398060603
O. Otenko,2441694295
Meiduo Wu,2111532579
Kristen Hallows,2639156926
Ismail Avcibas,2776270140
Erik Angelone,1908463899
Maha Allouzi,2797049383
John Portman,2087114180
S.S. Yang,2952838821
Xinyue Ye,2801399855
Kele Ding,2982858382
Weilong Ren,2980449117
Kathleen Campana,2432001340
Jim Lee,2573931880
Lihui Tian,2579102436
Ye Xinyue,2670457056
Robert Twieg,2282513619
Jennifer Mellott,2275048657
Cindy Kristof,1918055238
Jungyoon Kim,2547303607
Jacqueline Curtis,2155163672
Andrew Curtis,2160775629
Jianfeng Zhu,2792233269
Wendy Bromfield,2786963817
Man Yuan,2490646966
Marianne Martens,2522856912
Huidan Yu,3007958990
L.G. Volkert,2232398567
Xiangxu Lin,2997004107
P. Mutton,2951382422
V.L. Berardi,2973666300
Timothy Rasinski,740204805
Kailas Bobade,1213990854
David Booth,2112446561
Zachary Buchanan,2956141731
Greta Polites,2305721212
Alan Brandyberry,22301206
Dave Fuhry,2974881820
Iyad Ajwa,202116905
Joseph Wayand,2987354173
Jeph Remley,1985575200
Rick Wiggins,2159353564
Theodore Morris,2113205210
Ying Geng,2135037182
Michael Scherger,268535032
J.I. Khan,2973239120
Hyangsook Lee,2521562838
M Spath,2494200562
Angela Ridgel,2499838985
Crown Wang,2763756780
Joseph Ortiz,2218936278
Xinlei Zhao,2132809323
Dong Wang,2226535767
Joseph Miller,2526489093
Indrarini Laksmana,1911127435
Raghini Suresh,2120626439
Ryan Holeman,2303125659
Eric Jefferis,2311126349
Susanne Mitchell,2786876001
Frank Lambert,2399804937
Na Liu,2098380182
Jonathan VanGeest,273477683
Jewon Lyu,2883771695
Logan Keefe,2916126048
Glenn Thomas,2190520065
Saifuddin Mahmud,3010952086
Darsan Patel,2159294648
Qingsong Liu,2898404777
Christopher Blackwood,2170948142
Vinay Cheruvu,2068565174
N.B. Duncan,2974670171
Walter Davis,2574470271
Moon Cho,3015527802
Yasir Drabu,2974651266
Brian Betz,2224343250
Sarah Rilling,1984634406
Drew Tiene,2043479886
Cameron Lee,2139978963
Scott Sheridan,2468343322
Paul Albert,2509475018
Steven Klein,2509976736
David Cannon,2511317210
Thomas Janicki,2577797527
Jens Liegle,2580224269
Amanda Evans,2546283629
L. Xie,2575967313
Joanne Caniglia,2345623836
Yong Shin,2150809050
Amany Alnahdi,2226306735
Gregory Blundell,2287174331
Tessandra Sage,2165737845
Deric Kenne,2218335286
Stephen Ryan,2102594920
Kyle Stemen,2396961910
Amanda Zamary,2326423227
xiaoke huang,https://scholar.google.com/citations?hl=en&user=z2zM4akAAAAJ
Gregory DeLozier,https://scholar.google.com/citations?hl=en&user=fKxba9IAAAAJ
Rahul Sehgal,https://scholar.google.com/citations?hl=en&user=tiYb3t0AAAAJ
Kovan Bavi,https://scholar.google.com/citations?hl=en&user=pinkrNoAAAAJ
