Aparna Varde,74820909_https://scholar.google.com/citations?hl=en&user=jELwrO0AAAAJ
Bianca Wright,2897329106
Manali Pradhan,2897732866
Mei Chow,2231815007
Salha Albehairi,3013881588
Eileen Fernández,2134445950
Eliza Leszczynski,2991652595
Yune Tran,3000388354
Byung Min,2500413158
C. Snyder,2103030344
Kevin Handeli,2808180525
Nivitha Raveendran,2891656461
Naushad Kollikkathara,201166461
Lihong Su,2108050276
L. Urena,2571012334
Daniela Peterka-Benton,1279379500
Bond Benton,2156026496
James Liporace,2898843094
Martin Issiov,2899130002
Vikki Fiore,3001275712
Scott Thompson,2896861983
Kira Dreher,2508132941
Jenn Schiffer,2776722401
Catherine Baird,2618502690
Susana Sotillo,2169249078
Jessica Restaino,1967306825
Caitlin Curran,2281515387
Fernando Naiditch,2288372769
James Beck,2479992227
Allen Khorami,2493011207
Herbert Sherman,2503690796
Nicholas Senedzuk,2465123820
Louis Nanassy,2320614354
Dana Wilber,2181635835
Jeffrey Ludwig,2972209520
John McGinnis,2219910601
David Graf,2606292333
Paul Martinez,2689998242
Lori Petrozzello,2325245411
Irina Ashkenazi,2566062719
Ramazan Burus,2972030593
Jason Caronna,2084157953
Virginia Iuorno,2221991952
Rojita Sharma,2223982696
Tamara Spencer,2125453153
Marie Nadolske,2043271485
Dina Rosen,2591855266
Jason Zurawski,2686752282
Aihua Li,2484151744
Brian Hancock,2673098394
D. Wang,2683313391
Georgiy Schegolev,2223857554
Tazeen Fatima,2274889878
Richard Weber,2310542029
Sumi Hagiwara,2125276501
Laura Dwyer,2604250558
Ed Gil,2556681642
Marinos Michael,2974326885
Grace Woo,2544685666
Yanling Sun,2606579354
M.S. Seegmiller,2640638229
J. Zurawski,2974379441
Ree Arnold,2614948720
G.E. Antoniou,2647989196
Michael Nalisnik,2971776645
Edward Haupt,2536264435
Gordana Jovanovic-Dolecek,2636077444
David Weischadle,2251676406
Rebecca Hendon,2562480609
Ravinder Nath,2597838055
Harriet Klein,2894211180
Alice Freed,2160978099
Frances Layton,2526247660
David Welschadle,176931605
Mary Weischadle,123134782
Rosemarie McCauley,2013322256
Elizabeth Derveer,2270533533
M. Freeman,2329269148
Chris Leberknight,https://scholar.google.com/citations?hl=en&user=eGr34CoAAAAJ
Constantine Coutras,https://scholar.google.com/citations?hl=en&user=nP7WYU4AAAAJ
