Zhu Han,2116008403
Minshan Cui,2096469464
Yiqun Zhang,2320820830_https://scholar.google.com/citations?hl=en&user=-DkSR40AAAAJ
Nidal Zeidat,1564411109
Yong Ahn,2153438710_https://scholar.google.com/citations?hl=en&user=l9fLt4UAAAAJ
M. Patel,2973603450
Chen Wu,2123618068
Zhen Zhu,2310046109
Leang-San Shieh,2504183713
Ed Crowley,2100869596
David Francis,2159940488
Xingyao Zhang,2904096569
Irene Cooperstein,1969970435
Ayda Darvishan,2781825784
Shahryar Baki,2573241920
Ahmed Abdelhadi,2097806149
Hessam Mohammadmoradi,2225576651_https://scholar.google.com/citations?hl=en&user=rNvgHD4AAAAJ
Jianfeng Zheng,2384024989
S. Johnsson,565410964
Kam-Hoi Cheng,2778389750_https://scholar.google.com/citations?hl=en&user=DzmB4y4AAAAJ
Xunsheng Du,2920085824
Sunbok Lee,2900666572
Abid Malik,2308914538
Yunpeng Zhang,2425776268
Randolph Cooper,2165171160
Anand Daga,2227241443
Dounia Khaldi,2230536504
Daniel Biediger,2557689350
Md. Amin,2909361401
Reza Fathi,2259286645
Michael Nikolaou,1973592867
David Eguren,2612694270
Reginald Banez,2782921415
Chih-Hao Liu,2114824322
Hamid Azgomi,340176183
Ying Lin,2416356305
Soji Omiwade,318902498
Avisha Das,2603417723
Ryan Kennedy,2252173347
Xuelin Cao,2739560955
Scott Stevenson,2441352875
Thomas Potter,2715515204
Su Liu,2309849830
Achuth Nair,2097852514
Dilranjan Wickramasuriya,2781888264
Najmeh Forouzandehmehr,324750956
Erol Yeniaras,2065866658
Susan Miertschin,2050685285
Roland Glowinski,2013858501
Fusheng Zhao,2168573373
Apurva Bedagkar-Gala,805083807
Nacer Khalil,2344532231
Panruo Wu,2111517957
Vishwanath Venkatesan,2150324925
Noah Kaplan,2117314400
Pallavi Arora,2230710099
Annie Wu,2107099063
Jinghong Chen,2113404214
Fan Yang,2648766445
Jaana Porra,1977457418
Rachana Parmar,2126570971
Siu Ho,2134109763
Kaushik Rajashekara,722480421
L. Kakadiaris,2227941568
S.A. Umair,2571793929
Yuhang Wu,2146524364
I. Konstantinidis,2597729590
Nicolas Rey-Villamizar,1539594821
Neetu Raveendran,2783914546
Qiang Li,2309906535
Howard Gifford,2062841108
Qiang Xu,2305949470
Chang Yun,2232164717_https://scholar.google.com/citations?hl=en&user=T8Fsi7wAAAAJ
Haleh Aghajani,2494577642
Andrew Paek,2464413968
M. Baharnemati,402139949
John Hunsucker,2065115447
T. Huang,2224881724
Karthik Sadasivam,2918917191
Yen Le,2052446308_https://scholar.google.com/citations?hl=en&user=-p_HMIUAAAAJ
Olga Avila-Montes,31129420
Jason Eriksen,2243793790
Emil Bilgazyev,1881155835
Basheer Khumawala,193940186
Mona Meisami-Azad,16730583
Dat Chu,2481821853
Xi Wang,2528184427
Nour Diallo,2601348249
B. Efraty,1205935386
Raksha Raghunathan,2096801772
Massimiliano Sioli,2472522061
Sho Nakagame,2548429596
Joseph Francis,2610083978
Mohammad Alipour,2228446335
Chandra Mohan,2319162284
Yong Du,2617641689
Levent Dane,2264133019
Ramesh Shrestha,2658503792
Rakhi Anand,2194461938
Tao Wang,2648538747
Arun Chhetri,2232194297
Tian Xie,2583196064
Mohammad Islam,2590930694
Milad Heydariaan,2518732194_https://scholar.google.com/citations?hl=en&user=U9dq6VEAAAAJ
Saeed Ahmadian,2792998342
RajaRevanth Narisetty,1979527847
J. Shun,2277285648
H.A. Malki,2973402901
Kinjal Gupta,2152188391
Amin Ramezanifar,407609065
Banuprasad Samudrala,2282796432
Troy Leblanc,2133619389
Andrew Weidner,2096860389
Lingfeng Zhang,2411739308_https://scholar.google.com/citations?hl=en&user=fyDaCU0AAAAJ
Liang-Chieh Cheng,2577765852
Salavat Aglyamov,2494935776
Panagiotis Moutafis,2060265058_https://scholar.google.com/citations?hl=en&user=6KKh2-cAAAAJ
Amaury Lendasse,958324587
Jianxiang Shen,2154443125
Richard Liu,2233890702
Harold Bedell,158980301
Anatoliy Malishevskiy,271434481
Margaret Cheung,2806323418
Robert Gmyr,322517262
Xu Yan,2109511677
Aryan Mobiny,2765885222
Qingjun Fan,2333953585
Jianbo Zeng,2170071075
Chun-Sheng Chen,2131693694
Khai Tran,2467001391
Melissa Pierson,2170090027
Michalis Vrigkas,214375457
Dainis Boumber,2228637469
Bogdan Czejdo,2974108700
Hien Nguyen,2122142967
William Carter,2305002241
Neil Eldin,2095622512
G. Grimes,2336449434
Susie Gronseth,2887171524
Gemunu Gunaratne,2164315213
Jim Ras,1988070344
Qingzhao Kong,2129465834
Yu Li,2400319591_https://scholar.google.com/citations?hl=en&user=xn7QI9oAAAAJ
Tianxiao Jiang,2097226322
Yanbin Lu,2119755337
Yang Liu,2428772582
Scott Clifford,2116496471
Greg Morrison,2112918557
Cherie Turner,2143644878
Anita Dryden,2031310554
Dennis Adams,2129955189
Daniel O'Connor,2121655188
James Trousdale,1916803582
Luca Pollonini,13701814
A. Mandapati,2304324027
Shiva Shahrokhi,2224292592
Dan Jiang,2136911265
Hu Rui,2225508180
R. Westbrook,2068859985
