Xiuzhen Cheng,2703395736_https://scholar.google.com/citations?hl=en&user=O1yGhH0AAAAJ
Yu Zhou,2307345249
Sara Hooshangi,1910747786
Ashrujit Mohanti,2223119331
Anelia Horvath,2153710113
Qianqian Zhang,2807528905
Dacian Reece-Stremtan,2979873171
Katrina Mansfield,1993452051
Peter Bock,2616609993
Kim Lawson-Jenkins,2276703722
Kennerly Digges,1874724985
David Newman,2139908036
Kevin Murray,2232216785
Ming Hsu,2168451459
Amir Askarian,1968312550
Tammy Tsuchida,2114431546
Jonathan Stanton,2111107712
Paul Blessner,2044629035
Marinella Temprosa,2009155692
Olga Gelbart,292527818
David Braun,2099019711
Hongyu Fang,2807854472
V. Milanovic,2508004394
Fanchun Jin,2143877515
Jackie Shieh,2042179851
James Lee,2096097610
Duane Jarc,2015246502
Yang Cao,2304756833
B. Vojcic,2715265047
Heba Elfardy,97617712
Mostafa Nazemi,2927464222
Margaret Nowicki,2430438981
George Gray,2167897440
Carlo Scheresberg,205232493
Mahesh Mohan,2148124300
Jerry Wu,2124111104
Sai Dayapule,2807935606
Elias Balaras,586705131
Mario Miscuglio,1934845753
Arjun Joshi,2122232905
Alexander Horst,2949616078
John Fossaceca,2793736919
Stuart Umpleby,1648348337
Hongyang Deng,2307861612
Lubomir Riha,2306960645
Tse-Huai Wu,2104992988
Xuzhen Cheng,2974331816
Robert Lavine,2174080154
Abby Stylianou,3009583007
William Cummings,1840092094
Michael Stankosky,1587906708
Yi Jin,2304508030
Mohannad Alhazmi,2949257787
Gideon Frieder,132069052
Damien O'Halloran,2331086375
M. Zahran,2974180431
Stephen Mitroff,2065393461
Leonard Friedman,2657198143
Samsara Counts,2755561036
Liangyi Huang,2962549924
J. Hernandez-Rebollar,2716928250
Annamaria Lusardi,1900897113
Randall Rohrer,2075555431
Yao Lu,2324832991
Jaehwa Choi,2147582844
Evan Kaufman,2127305438
Sultan Alamro,2576434765
Chen Zeng,3037176552
A. Agarwal,2104373862
Y. Rong,2974858745
John Philbeck,61498671
Natalie Milman,2242843942
Shabnam Tafreshi,2805333694
Akos Vertes,2103727180
Joseph Siryani,2728765955
Robert Roncace,1163215708
Yimeng Wang,2769163602
Daniel Phifer,2222887064
Erick Mendez-Mendez,2229082514
Thomas Harrod,2099586188
Gisela Butera,2110595851
Min Tian,3005626883
Shuyue Guan,2709213232
Kenneth Oh,2134834673
Jefferson Willey,2420143660
Lien Ma,2463926986
Bereket Tanju,2327995146
Rujia Zou,3005546329
Shiqi Guo,3023823821
Scott McQuade,2058140598
J.R. Harrald,2973923707
Nima Zahadat,1402264615
Cheng Zhang,2803991967
Denis Cioffi,2953224899
Yuxiao Huang,2966808901
Murugappan Alagappan,2225586306
T. Jefferson,2973261228
Phyllis Ryder,2132686855
Ward Maurer,2043664989
Christopher Willy,2105826747
John Bischoff,2151701594
Samuel Zapolsky,2067193849
Pavel Fomin,2550526764
Sardar Azari,2227949377
David Newsom,2264329053
Rachael Bevill,2344007551
Olivier Mesnard,2631189452
Armin Mehrabian,2563801193
O.D. Fidanci,2396114787
Peifeng Ruan,2895813001
Sarah Shomstein,2072787208
Laura Abate,2064390187
Jack Hyman,2326625624
Mary Moser,2628811640
Laura Segala,2634262058
Manpreet Dhillon,2312229690
Naji Younes,2154603320
Max Alekseyev,2597025168
Andrei Alexandru,2304264592
Vikram Sabarwal,2317370854
R. Pickholtz,2652889384
Donald Henson,2109721518
Drew Herrick,2490106942
James Wasek,777607779
B. Narahari,1676749045
Amitai Etzioni,2099755627
Hermann Helgert,2122199927
Jiguo Song,2144464891
Costis Toregas,2288959565
Sunggy Koo,2114600328
Mike Wakid,2003287000
Anne Linton,2166021228
Giovanni Molina,2562923695
R.A. Barry,2657712345
Hao Zheng,2774958188
Salman Akram,2128326998
Nada AlMarwani,2579392085
Kerry McKay,2799076593
Reza Modarres,711640893
Yousra Alkabani,2023512428
Lida Parvin,2105132644
Andrew Korte,2144770405
Albert-Baskar Arul,2888013368
Ziad Sahab,2888363288
Peter Avar,2888374449
Yeny Yim,2296025510
Hao Wu,2946675493
Hyunjin Kang,2171931967
Stuart Levy,2203267801
Yizhen Jia,2794111899
Shahrokh Ahmadi,2142773850
Maya Shende,2904034042
T. Rosenberg,2973299904
Meng-Ying Liao,2584214599
Zhen Ni,2480091649
Shaowen Sun,2897951620
Nima Bari,2099627154
Mykola Yurchenko,2792253949
Yijun Shao,2412692189
Samar Alsaleli,2963280480
Adam Aviv,3014440492
Reham Alamro,2997506557
Ahmad Jarrah,2033731447
Maya Larson,2221998603
Curtis Pyke,2012172220
Wolfgang Munar,2781550190
Scott Stebelman,99407318
Adi Alhudhaif,1983856924
Tong Yan,2100946676_https://scholar.google.com/citations?hl=en&user=5ivilfEAAAAJ
Michael Smith,2575042254
Paul Carrillo,2122599830
Umar Sharif,2022112131
Tapan Nayak,2582845198
J. Dorp,2102871474
Paul Azzi,2409786181
Young Kwak,2123004949
Jonathan George,2564079049
Muhammad Islam,2272456943
Yianna Vovides,2017026418
Sayed Hussein,2974121808
Vesna Zderic,233084812
Hesham Fouad,2307293750
Aleksandar Stefanovski,2222650641
Majid Alnaimi,2069988959
Homayoun Khamooshi,2295291992
Daniel Yang,2948233268
Ju-Young Park,2150739980
Chunqiang Hu,https://scholar.google.com/citations?hl=en&user=IGmdR7YAAAAJ
Aylin Caliskan,https://scholar.google.com/citations?hl=en&user=zxzZAi0AAAAJ
Yawei Wang,https://scholar.google.com/citations?hl=en&user=JBOxj5cAAAAJ
Hadi Mohammadi,https://scholar.google.com/citations?hl=en&user=AhqX0qAAAAAJ
Minghui Xu,https://scholar.google.com/citations?hl=en&user=1vRbIhoAAAAJ
