Alex Pothen,1459957267_https://scholar.google.com/citations?hl=en&user=_Fah5fwAAAAJ
Y.C. Hu,2121629964
Sangpil Kim,2559052779
Daniele Midi,2086082441
Keith Frikken,2951337581
Shovan Maity,2604338598
Nicoletta Adamo-Villani,20707519
Stephen Elliott,2566836523
Gary Bertoline,1977873836
Asmaa Sallam,2109938781
Faraz Ahmad,2114755559
Daisuke Kihara,2151302961_https://scholar.google.com/citations?hl=en&user=WfGLzyAAAAAJ
Mohamed Yakout,2039740737
Gregery Buzzard,1990072545
Vivek Kozhikkottu,2231311180
Hao Peng,2099299201
David Guera,2561556966
Mary Comer,1965718107
Ilke Demir,2738615760
Mohit Tawarmalani,24573470
James Garrison,2139799278
Stanislaw Zak,1989511250
SungYe Kim,2152708263
Filip Pizlo,2051316431
Babak Ziaie,56018806
Lefteri Tsoukalas,2239926273
Mark Bell,2241327510
Ann Catlin,1975539664
Bruno Ribeiro,2249226172
Aly Gamal,2139120626
Byung-Cheol Min,2122174167
Ayan Sinha,2462825804
Carlos Vanegas,2162436219
Fu Zhao,2121178927
Ahmed Sameh,1208251994
Rongjing Xiang,2122756025
Ning Shang,2012552525
Jean Honorio,2142350131
Brian Carrier,437062641
Aditi Gupta,2597843709
Samuel Jero,2229913516
Dimitrios Peroulis,293535341
Michael Witt,2102179975
Rangasami Kashyap,2346493798
Hemanta Maji,1984788721_https://scholar.google.com/citations?hl=en&user=sCL2jBcAAAAJ
Lan Zhao,2705509516
Mohammad Hajjat,2000693470
Fang-Yu Rao,2106239578
Andrew Weiner,2258611540
Abish Malik,2101461300
Mohamed Gomaa,2064725354
Ji Yi,2137524282
Waqas Javed,2041331986
Yuehwern Yih,2173314564
Hong Chen,2618410479
Mireille Boutin,2062366234
Qifan Wang,2168727712
Insoo Woo,2060625535
Pawan Prakash,2148744635
Shubham Jain,2516245906
Chunyi Peng,2201104069_https://scholar.google.com/citations?hl=en&user=7QF1eF4AAAAJ
Martin Corless,723391917
Sylvain Lebresne,1219822740
Amit Sabne,209952323
Bryan Pijanowski,2099373478
Janell Blunt,2015022335
H.J. Siegal,2679501521
Xiaomeng Chen,2675419076
Ivan Krsul,1984684805
MV Marono,2823885825
Akhilesh Jaiswal,2289636842
Sandeep Kumar,2442610140
Jitesh Panchal,2179997335
Pinar Yanardag,209877522
Marcus Rogers,2118318625
Yusung Kim,2170404652
Dan Zhang,2585585268
Debayan Das,2106808044
Hazem Elmeleegy,1228265868
Amiya Maji,1970544010
Seung-Hyun Seo,2222784561
Venkataramanan Balakrishnan,1919945569
Khalid Tahboub,1995539258
Muhammad Alam,2300910562
Dan Goldwasser,2174306409
John Korb,1988909771
G. Khanna,2974130220
Baibhab Chatterjee,2766885374
James Lehman,2165444143
Andrea Vacca,2149338692
Prathima Rao,2310184499
Xiaoxin Wu,2310138188
Longbi Lin,2136662309
Ziqing Mao,2355277951
Michael Zhu,2150398521
Eric Chow,1983394223
Zheng Zhang,2480869152
Richard Voyles,293983312
Shahzada Rasool,2157045322
Daniel Leaird,1452017717
Baijian Yang,2126001540
Michael Zentner,2155289766
Jennifer Richardson,2115546708
Andrew Newell,2133126684
Dawei Ying,2132357774
C. Lee,2665546007
Woo Lee,2198965187
Xin Chen,2638371072
Mark Lundstrom,2442334395
Borja Peleato,2040830579
Xiaopeng Xiong,2104701359
Bowei Xi,2060668786
Ardalan Kangarlou,2008864813
Neeraj Gadgil,2063805262
Eugene Lin,2227958887
Cheng Wang,2302548440
Hong Wan,2125936834
Sarvjeet Singh,2166632766
Sean Brophy,2127046665
Sahan Gamage,2160062473
William Watson,2171617788
Nauman Rafique,1977403705
Di Xie,2154915933
Christoph Schuba,2016253732
Suzanne Ward,2108404713
James Braun,2137589097
Shaoshuai Mou,2125935887
Yi Lu,2601017638
Keejong Kim,2110652118
Matthias Zeller,2130381014
Won-Taek Lim,2162552001
Julian Stephen,2148474176
Jing Dong,2311312580
Aurobindo Sundaram,2112749097
Vinayak Rao,2110299510
Aritra Mitra,2482476766
Karthik Yogendra,2026404501
Changgui Shi,2158004324
Leah Jamieson,680611516
Raymond DeCarlo,11042909
Parami Wijesinghe,2228091858
Feng Yan,2532197536
Elisha Sacks,1859744482
Siddharth Narayanaswamy,2118913285
J.C. Lin,2973844399
Gazi Ali,2160056243
Xavier Tricoche,1235285878_https://scholar.google.com/citations?hl=en&user=iL-hxJoAAAAJ
Boyan Botev,1967753368
D. Isacoff,2346313944
J.O. Garcia-Fernandez,2679055047
SVN Vishwanathan,https://scholar.google.com/citations?hl=en&user=tqcSvFIAAAAJ
Petros Drineas,https://scholar.google.com/citations?hl=en&user=Yw2PquQAAAAJ
Lin Tan,https://scholar.google.com/citations?hl=en&user=C6yankcAAAAJ
Bradley Lucier,https://scholar.google.com/citations?hl=en&user=sVRNOg0AAAAJ
He Wang,https://scholar.google.com/citations?hl=en&user=sFIgGN0AAAAJ
David Ph.D.,https://scholar.google.com/citations?hl=en&user=eMhlSFkAAAAJ
Majid Kazemian,https://scholar.google.com/citations?hl=en&user=2Vw-Bq0AAAAJ
Changhee Jung,https://scholar.google.com/citations?hl=en&user=_sIzYHAAAAAJ
Qazi Iqbal,https://scholar.google.com/citations?hl=en&user=OQFXwHUAAAAJ
Pedro Fonseca,https://scholar.google.com/citations?hl=en&user=xTvNYN8AAAAJ
Haijun Yu,https://scholar.google.com/citations?hl=en&user=wK6efHEAAAAJ
Mingjie Tang,https://scholar.google.com/citations?hl=en&user=tVgxEuwAAAAJ
Meng-Lin Wu,https://scholar.google.com/citations?hl=en&user=egUzoygAAAAJ
Reham Samir,https://scholar.google.com/citations?hl=en&user=rdIzDcEAAAAJ
Tao Li,https://scholar.google.com/citations?hl=en&user=e6u8FrgAAAAJ
Vireshwar Kumar,https://scholar.google.com/citations?hl=en&user=E3PiJ4cAAAAJ
Ganapathy Mani,https://scholar.google.com/citations?hl=en&user=XlrvGwMAAAAJ
Hogun Park,https://scholar.google.com/citations?hl=en&user=0YEYuGIAAAAJ
Fei Wang,https://scholar.google.com/citations?hl=en&user=5Z_irhQAAAAJ
SM Ferdous,https://scholar.google.com/citations?hl=en&user=pqbWrO0AAAAJ
Rania Ibrahim,https://scholar.google.com/citations?hl=en&user=89WunM8AAAAJ
Leo Osvald,https://scholar.google.com/citations?hl=en&user=4PNxQIsAAAAJ
Haotian Deng,https://scholar.google.com/citations?hl=en&user=lfL0U0kAAAAJ
YounSun Cho,https://scholar.google.com/citations?hl=en&user=w1ogLpIAAAAJ
Savvas Savvides,https://scholar.google.com/citations?hl=en&user=jeAKU_wAAAAJ
Nan Jiang,https://scholar.google.com/citations?hl=en&user=AiMRnWUAAAAJ
Jian Cui,https://scholar.google.com/citations?hl=en&user=q2sPww8AAAAJ
Mohammad Ameri,https://scholar.google.com/citations?hl=en&user=0IntdQMAAAAJ
Aashish Jain,https://scholar.google.com/citations?hl=en&user=TNNpsjkAAAAJ
Yi-Shan Lin,https://scholar.google.com/citations?hl=en&user=VxXq-g4AAAAJ
Md Rahman,https://scholar.google.com/citations?hl=en&user=0nUv7b0AAAAJ
Maria Pacheco,https://scholar.google.com/citations?hl=en&user=uKhleBwAAAAJ
Hamidreza Khorasgani,https://scholar.google.com/citations?hl=en&user=xCd4oIIAAAAJ
Aderinwale Tunde,https://scholar.google.com/citations?hl=en&user=SMnglGAAAAAJ
Amber PhD,https://scholar.google.com/citations?hl=en&user=qPw2wBkAAAAJ
Lei Cen,https://scholar.google.com/citations?hl=en&user=cYYVn2AAAAAJ
Alexander Block,https://scholar.google.com/citations?hl=en&user=CKofM0IAAAAJ
Edgardo Yi,https://scholar.google.com/citations?hl=en&user=jCA9efkAAAAJ
Robert Skeel,https://scholar.google.com/citations?hl=en&user=p-F1FEwAAAAJ
Tunazzina Islam,https://scholar.google.com/citations?hl=en&user=YNChCGMAAAAJ
Servio Palacios,https://scholar.google.com/citations?hl=en&user=2_dYV3IAAAAJ
Yuankun Fu,https://scholar.google.com/citations?hl=en&user=z_FbSIAAAAAJ
Siddhartha Das,https://scholar.google.com/citations?hl=en&user=kTAFl2yYe6QC
Victor Uceta,https://scholar.google.com/citations?hl=en&user=S_0SIpUAAAAJ
Maosen Zhang,https://scholar.google.com/citations?hl=en&user=Wr5LvMIAAAAJ
Chonghao Sima,https://scholar.google.com/citations?hl=en&user=7NE3hUMAAAAJ
