Andrew Duchowski,26822819_https://scholar.google.com/citations?hl=en&user=xYK0xy4AAAAJ
Richard Groff,1993450680
Eric Medlin,2083949171
Santosh Nair,2108183191
Matthew Saltzman,2469563913
Paranietharan Arunagirinathan,358717804
Raul Ramos-Garcia,2027882997
Yu Fu,2263559422
Prajwal Gautam,2229318283
Daricia Wilkinson,2532851387
Zhenyu Xu,2169639016
Eileen Kraemer,2610512306
V.K. Chitrakaran,227016112
Pengfei Xuan,1998583882
Rahul Renu,1922705147
Iroshani Jayawardene,2021936815
Earl Huff,2896571098
Eric Harney,2232585168
Jill Gemmill,2125635193
Andrea Campbell,2227841660
Bryan Willimon,2081626799
Elena Dimitrova,1902214348
Qing Wang,2915260232
Ding Xu,2303306201
Weitian Wang,2793241688
Bruce Gao,2104379736
Robert Prucka,2207875391
Rommel Jalasutram,7459463
Siddharth Nagarkatti,2470485810
S. Gurbuz,2973886986
Essam Namouz,57441220
Benafsh Husain,2227166033
Brandon Pelfrey,1971558014
Michael Ashmore,2281265890
Xiang Zhang,2598462022
Margaux Price,2139335821
Charles Cook,2109504547
Yuanyuan Zhang,2227282659
William Ferrell,2342698683
Michael Porter,2153408606
D.M. Dawson,2923735068
Nianfeng Wan,2682704756
Svetlana Drachova-Strang,2026046074
Ravikiran Singapogu,279001257
Le Liu,2464894984
Joe Manganelli,2078744697
W. Ligon,2987459965
Xuebo Song,2103864685
James Peterson,2462312924
Victor Zordan,326425199_https://scholar.google.com/citations?hl=en&user=NyY8ztoAAAAJ
Yihua Ding,2100466036
Kenneth Rice,2132628160
Nathan Cournia,103008651
Michelle Cook,2128050973
Jing Zhou,2627552831
Moses Namara,2620674257
Sam Esswein,1976898037
Erhun Iyasere,2039357876
Grant Mahler,2142780972
Tania Roy,2131116977
J. Frye,2689166330
Lindsay Long,2151716508
F. Feltus,2028908965
S. Darnell,2973684832
Todd Hubing,105950105
Danielle Herro,1927638825
Edwin Weill,2131870468
Tracy Fasolino,2060868919
Taufiquar Khan,2101607964
Mowen Lu,2558521298
Tim Korson,2306371870
Lisa Benson,1980033928
P. Setlur,2004910726
Bliss Altenhoff,855007570
Sara Riggs,2336323282
Justin Sybrandt,2590761218
Bin Xu,2518872391
Wenbo Ding,2890135155
Linton Abraham,2114930890
Brandon Kagey,2222380421
Mohamed Moosa,2974059834
J.S. Skinner,2113651893
Liang Dong,2616386946
Vincent Ervin,2138342209
Muaz Ahmad,2766061592
Rich Pak,2974716992
Louis Pang,2983119432
Margaret Wiecek,1050266156
Zhichao Chen,2973760902
Edward Page,2113409346
Chad Waters,2118652962
Zachary Hawks,2891495523
Michael Burr,2135406720
Richard Tyrrell,2111269512
Christopher Vutsinas,228080630
Dhaval Shah,2228369870
Rui Li,2790136827
M. Csencsits,2182476060
Kim Alexander,2168757606
Nathan Newsome,2225043693
Ali Arzani,2545379799
Jordan Gestring,2229382741
N.P. Costescu,2516656859
Venkat Srinivasan,2233215884
Apurva Patel,2560614685
Yunhui Fu,2227872809
Yi Chen,2790963366
Frank Feltus,2002614258
R. Marcus,2116347277
Tyler Allen,2605558485
Shraddha Joshi,2128124971
Tarek Taha,2955343770
Byung Cho,2164178579
Leo Gugerty,1984092184
Jason Driver,2225956413
Zoleikha Biron,2006680413
William Moody,2232352125
Sajay Sadasivan,1982887278
Wayne Ryan,2221995859
J. Monteith,387466476
Jonathan Cox,2530300679
