Matthew Valenti,2116339457_https://scholar.google.com/citations?hl=en&user=3j0dkI4AAAAJ
Aditya Abhyankar,2763107197
Johnna Bolyard,2596011544
Uma Kandaswamy,2280476614
N. Banda,2281511040
Mir Navidi,2066485737
N. Chandran,2125875376
S. Kamavaram,3011697647
Jared Strader,2415052198
Yipeng Tang,2340877228
Sebastian Diaz,2140567076
Zain Jafri,2224315538
Jinqiao Yu,2691451242
Gangadhar Jaliparthi,76067505
Sarika Solanki,2160525332
John Jones,2893520763
Omid Jalali,1918532458
Amy Hessl,130337733
Alex Dye,2591818209
B.D. Woerner,2017633255
K. Ammar,2573716365
J.D. Stefano,2662427914
Kristi Kelley,2951875314
Samuel Ameri,2169600893
Rahul Kavi,2599305090
V. Jagannathan,2331949606
W. Caldwell,2172118747
Richard Dull,2229000864
Ajay Singh,2494647708
Catherine Gouge,2144075252
Fengbin Li,2157114355
Michael Sinz,2498288395
Nnamdi Osia,2024574242
Yasser Yacoub,1978504540
Reda Bata,2046023507
Donald Lyons,2163240910
Wenguang Wang,2873101054
M. Culp,2974500285
David Owen,2270400613
Chizhao Yang,2781690182
Michael Cooper,2226895271
Christopher Bauer,2609354764
E. Harner,2608395976
J.E. Sneckenberger,2712686807
Ryan Watson,2425775672
Nicholas Ohi,2665260293
Harry Gingold,1241806909
Manisha Sunder,2230725166
II Klinke,2952161387
Partho Sengupta,2618403442
A. Noore,2973989508
Aruna Bommagani,2614493917
Thomas Devine,1995035734
Trevor Harris,2172132118
Martin Mladenovski,2171427750
Kyle Lassak,2075945318
Spencer Clites,2616283885
Alex Dilello,2691665399
Wei Zhang,2700308231
Kristen Murphy,2156625088
Scott Harper,2592075238
Cagri Kilic,2773416023
Ahmed Ammar,2671413185
N. Gradetsky,1590335431
D.M. Nassar,2121222173
B. Malinga,2173274130
Gary Marano,1985331262
MaryBeth Mandich,2394653181
Michael Martin,2441108552
Goce Anastasovski,112918467
Robert Creese,2003930042
Mark Nigrini,2336544343
Ismail Celik,693725779
Majid Jalalifar,2946942288
Bonnie Morris,2569736766
Xuan Shi,2307425247
Hasan Banna,2562986459
M. Chapman,2968507993
Mehdi Iranmanesh,2798295572
Tanjin Toma,2771975541
Shuo Wang,2609923948
Wentian Zhou,2227773653
Christian Bauer,2559993107
Randall Wiesenmayer,2022145830
