Patrick McDaniel,2056207806_https://scholar.google.com/citations?hl=en&user=AMGqrI0AAAAJ
Xiaofei Lu,2147401010
Donna Peuquet,274553414
Costas Maranas,66001407
Sagnik Choudhury,2473858973
Jingchen Liu,2266548065
Isaac Brewer,2166185492
Xulong Tang,2231931354
Julian Winter,2207011930
Burt Monroe,2145216639
Sawyer Campbell,2114990563
Runze Li,2139508905
Frank Hardisty,607132735
Yuanrui Zhang,2121544054
Jun Xu,2486718698
Basak Guler,2230108325
Wei Ding,2635418413
Syed Rizvi,2129100998
Hosam Rowaihy,2060841099
Ling Rothrock,2168161059
Roy Clariana,344944150
Eileen Trauth,2110692970
Kyounghwan Lee,2181974759
Micah Gregory,2105294163
Jungwoo Ryoo,2112627638
Hua Wei,2791252586
Steven Schiff,2105361258
Eren Manavoglu,2309922083
Ullas Gargi,316685368
Yang Zheng,2250750492
Hayawardh Vijayakumar,2016472496
Sanjay Joshi,2109274534
W.-L. Hung,1991921687
Haiyan Jia,2164491385
Pingjuan Werner,2099812301
Tracy Mullen,2160517817
Xiang Ji,2715546286
Bart Pursel,1967864241
Ying Chen,2431235253
Klaus Keller,2169602095
Yibo Chen,2268338855
Yongjun Liu,2618441356
Farzin Haddadpour,155704410
C.-C. Ku,2105915754
Siyuan Liu,2151890734
Danfeng Zhang,2099242823
Jennifer Zosh,825458493
Mohammad Fahim,2611986076
Matthew Parkinson,2150066166
Jeonghwan Choi,2206663547
Liang Xie,2101464446
Xiao Sun,2589467663
Antonios Armaou,2037599610
Nandhini Chandramoorthy,2081109526
V. Delaluz,807344607
Webb Miller,2140452034
Abdelrahman Ibrahim,2303951167
Matthew Dering,2343864121
Ertugrul Ciftcioglu,2304178319
Mohammad Khan,2556484780
Diana Koshy,2343130697
Uday Shanbhag,2295711133
John Graham,2185013662
Ahmedullah Aziz,2229305190
John Chilton,2109325469
Matthew Cotter,2172254352
Hyun Kim,2489194362
Phil Laplante,2086587038
Rosalie Ocker,187156893
Aman Gayasen,1070080360
Ingmar Rauschert,1894711388
Christopher Duffy,2161238459
Robert Harris,2226595577
Sai Muralidhara,2120879706
Bharath Sriperumbudur,289005672
Jue Wang,2101755889_https://scholar.google.com/citations?hl=en&user=VkUDR40AAAAJ
Siddhartha Banerjee,2126737388
Weina Ge,2148653278
Jiayan Zhao,2733853243
Wenbo Guo,2528826112
Asad Azemi,2247341487
