Aliaksei Sandryhaila,1450637906_https://scholar.google.com/citations?hl=en&user=4vBNQ9QAAAAJ
Stephen Fienberg,2095381979
Roberta Klatzky,408591821
Michael Christel,89134272
Jialiu Lin,2113828048
Phillip Gibbons,2144092273
Justin Betteridge,2143543388
Anastassia Ailamaki,1787861840
Daniel Maturana,1978419291
Philip Koopman,2139171318
Yulia Tsvetkov,2234266251
Leman Akoglu,2288278917
Thanassis Avgerinos,2164280241
Jingcao Hu,2139092660
James Bagnell,2009612802
Arvind Seshadri,1933777885
Min Lee,2169253487
Aaron Steinfeld,932414507
Karthik Lakshmanan,1230355860
L.R. Carley,2420362184
David O'Hallaron,709774215
R. Blanton,1962777484
Jibin Zhan,2135571112
Zhuo Chen,2232382118_https://scholar.google.com/citations?hl=en&user=-wKpBNkAAAAJ
Roy Maxion,51313889_https://scholar.google.com/citations?hl=en&user=2buw6_IAAAAJ
Teruko Mitamura,2122875534_https://scholar.google.com/citations?hl=en&user=gjsxBCkAAAAJ
Bryan Routledge,214866942
Jason Franklin,2101901438
Feng Zhou,2435156630
Roni Rosenfeld,2117063646
Ian Lane,2171469657
David Woodruff,2142501412
Burr Settles,2911267484
Xuezhe Ma,2250429641
Bryan Kisiel,2494956587
Paul Heckbert,350629882
Yu Cai,2764230717
Mark Luk,2500716487
Geoff Gordon,2116659176
Rosen Diankov,2138770993
Ramnath Balasubramanyan,1831812168
Larry Wasserman,2101922781
Satwik Kottur,2174363439
Jun Yang,2488335041
Robert Murphy,2108609475
Wenlu Hu,2229759872
Brandon Amos,2110147466
Hyeontaek Lim,2168649741
Collin Jackson,2135217518
Gierad Laput,768992449
Andrew Witkin,1214041332
Jade Goldstein,2304141704
Wojciech Maly,670577586
Ole Mengshoel,2008986367
Elie Krevat,223720365
Rajeev Gandhi,2113165487
Timothy Vidas,2011571799
Roger Dannenberg,128335373_https://scholar.google.com/citations?hl=en&user=whacJzwAAAAJ
Bin Fan,2066503697
John Hooker,2151268893
Yajie Miao,2273941916
Saugata Ghose,2226543658
Chris Fallin,2045677052
Sagar Chaki,2112745185
Joy Zhang,2111665657
Paul Scerri,6271492
Yang-hua Chu,2118953030
Pradeep Ravikumar,2409260842_https://scholar.google.com/citations?hl=en&user=Q4DTPw4AAAAJ
Adam Berger,2133897374
Hyong Kim,2234179828
Richard Wang,2110957663_https://scholar.google.com/citations?hl=en&user=s3fcUd4AAAAJ
Bryan Hooi,1755863881
Claire Goues,2569774467
Bernhard Haeupler,19144235
Jeffrey Flanigan,2141750911
Charles Thorpe,2098657502
Ziv Bar-Joseph,96358963_https://scholar.google.com/citations?hl=en&user=9DCRnPkAAAAJ
Wei Dai,2194200048
Hong Yan,2274983757
Eric Paulos,2811401379
Jack Mostow,1814799007
Lerrel Pinto,2222503833
Amir Zadeh,2343600773
Rita Singh,2123176178
John Lehoczky,282073601
Shang-Wen Cheng,2126408194
Ramayya Krishnan,2163624134
J.P. Lehoczky,2984735678
Jia Zhang,2154254054
T.S.E. Ng,2314364779
Yandong Wen,2152036132
Tadas Baltrusaitis,61870308
Steve Sheng,2120857869
John Reynolds,2403193723
Andy Myers,2666223926
Robert Xiao,2147333048
Haijie Gu,2166203756
Nathan Michael,2147946605
Anthony Tomasic,1966690917
Swarun Kumar,2238571927
Michael Denkowski,2007002041
Limin Jia,2284275790
Stephane Ross,2126082358
Pedro Leon,2158000776
Howard Wactlar,235509635
Jeanne VanBriesen,143406791
Patrick Tague,2060419607
Yu-Xiong Wang,2113612506
