Jiebo Luo,2059910451_https://scholar.google.com/citations?hl=en&user=CcbnBvgAAAAJ
Ward Parkinson,2143039714
Rachel Wesley,2222946562
Alok Garg,2139994773
Gregory DeAngelis,113888606
Dorin Drignei,50007745
Hua Ming,2129267708
John Willis,2591460993
Xing Qiu,2108876983
Vick Vaishnavi,2529427505
Kadangode Ramakrishnan,2579840401
Jing Tang,2147164535
Yiheng Zhou,2434504707
James Fienup,737617381
Yan Yu,2777766263
Marshall Freimer,2110264324
Robert Thomas,2574348672
Matthew Holland,3024422081
Melissa Sturge-Apple,115669078
Patrick Kenny,2108921924
Pengcheng Li,2168792155_https://scholar.google.com/citations?hl=en&user=w_j9E10AAAAJ
Chen Yu,2950619968
Surjya Ray,2106184735
Chen-Hsiang Feng,2134675169
Anna Charny,2259363753
Athanasios Papathanasiou,2298966187
Christopher Heriot,2064543713
Yuxin Bai,2161825547
C. Johnson,2761889691
Christophe Merlin,2289372202
Bin Bao,2047497193
D. Schlosnagle,2776526906
J. Pilgrim,2776634910
Jonathan Zuegel,2248171680
Pin Lu,2235944291
Gregory Mayo,2191431774
Philip Sanders,2762532656
Sean Mcdonough,2440585385
Ou Yang,2973912297
Yixuan Zhang,2784860036
Nicholas Nelson,2154988649
E.L. Titlebaum,2073543273
John Strang,2598319012
H. McGee,2160144433
C. Eveland,2974258263
László Lipták,2042439435
Yuxiao Chen,2594833989
Robert Stets,2920071670
S. Lewis,2620977270
J. Fritzjunker,2338142792
A. Emerich,2341074064
T. Schimke,2432544942
Lin Zhang,2679419543
Mikhail Haurylau,162613027
Hui Chen,2702929492
Jie Zhang,2420710172
Yubin Ge,2948391188
David Wicker,2115207951
Michael Rydeen,2828635487
Ying Geng,2109624497
Robin Sharma,2161150592
D. Voth,2871236841
Bradley Roth,2155781590
Radia Perlman,2779948799
Weijian Li,2797871838
Wallace Matthews,2117816380
Roger Desroches,2194746350
Jinghong Liang,2800452662
Byunghun Lee,2166209463
Sreepathi Pai,2166792189
Xiaoxiao Dong,2143892204
Kenneth Virgile,2223831181
Greg Forbes,2145295558
Lucian Copeland,2229907109
Leblanc Leblanc,2705937531
Mohammad Ali,2409770675
Jacob Arkin,2504008800
Anas Abidin,2162000433
H.O. Altun,2278064506
Andrea Cogliati,2119581435
Meng Zhu,2953900605
N. Jalil,2491428551
Rahman Lavaee,54405700
Nadir Adam,2802543209
Michael Swain,2278172609
Barbara Oakley,2082651992
Zhiheng Li,2794843398
Chris Tice,2065571495
Hadi Akeel,2596933378
Meilin Zhang,2140967234
M.K. Ozkan,2776745858
David Kloosterman,2127209730
Ahmed Elliethy,2000536209
Judy Evans,2161533228
S. Woodward,2104435892
Edward Messing,1217907844
J. Sherman,2205567467
W. Armstrong,2761785387
N. Nayar,2762045475
Barbara Regnier,2255657994
David Youngers,2271865883
Di-Yuan Tzeng,3035846322
Sai-Kai Cheng,2106889810
Gourab Ghoshal,2093956561_https://scholar.google.com/citations?hl=en&user=_CNYi6MAAAAJ
Markus Huber,2200387353
J. Marcella,2974129081
Albert Ciprut,2376005759
Brian Keelan,2557331606
Paul Murphy,2290148853
Gregory Dobson,2087580494
Jing Shi,2902617918
Raymond Lanzafame,1838397966
Li Ding,2710135185
Moshe Levinger,2024246031
Roman Sobolewski,https://scholar.google.com/citations?hl=en&user=9ZZoeUQAAAAJ
Lane Hemachandra),https://scholar.google.com/citations?hl=en&user=_LsUHeoAAAAJ
Ehsan Hoque,https://scholar.google.com/citations?hl=en&user=ZJrR0KQAAAAJ
Chris Miller,https://scholar.google.com/citations?hl=en&user=8kWnDikAAAAJ
Baowei Liu,https://scholar.google.com/citations?hl=en&user=eoolsPEAAAAJ
Jie An,https://scholar.google.com/citations?hl=en&user=pZ-soHUAAAAJ
Dong Chen,https://scholar.google.com/citations?hl=en&user=FJcl9EEAAAAJ
Md Hasan,https://scholar.google.com/citations?hl=en&user=zLGFlIgAAAAJ
SOUMYA GOSWAMI,https://scholar.google.com/citations?hl=en&user=JCBVYeQAAAAJ
Amir Taherin,https://scholar.google.com/citations?hl=en&user=iodd_vQAAAAJ
Sizhe Li,https://scholar.google.com/citations?hl=en&user=KfUuNDwAAAAJ
