Wei Shao,2023048310
Parisa Hassanzadeh,2474054006
Rodrigo Nogueira,2304906377
Sungheon Kim,2130048247
Hao Yan,2435650621
Prashanth Krishnamurthy,2158906175
Kai Block,2996880183
Chee Yap,2508132593
Josua Krause,2419710882
Jincheng Huang,2148633551
Aaron Isaksen,2553692530
Abhrajit Sengupta,2614652644
Y. Xi,2717314880
Florian Knoll,2608827817
Hervé Brönnimann,2275286004
Xiaohui Long,2127615133
Peter D'Eustachio,2468387294
Ang Sun,2149662964
Nektarios Tsoutsos,2433497932
Aditi Roy,2194427956
Margrethe Olson,2133607532
Philip Bontrager,2619578633_https://scholar.google.com/citations?hl=en&user=OWFrI2QAAAAJ
Jason Lee,2963787503
Christopher Mitchell,2523020093
Michael Sam,2228034208
Teon Brooks,2262581218
Luke Shea,1992765420
Allan Gottlieb,2293769500_https://scholar.google.com/citations?hl=en&user=0i78Y_EAAAAJ
Donald Berndt,2982870928
Prashant Puniya,2058592591
Julia Stoyanovich,29980631
Christopher Hoadley,615371228
Qingnan Zhou,2110475654
Michael Green,2765235367
Ilya Kostrikov,2279345594
Lisa Hellerstein,2056505999_https://scholar.google.com/citations?hl=en&user=A45mhtsAAAAJ
Ricki Goldman,2133304912
Edward Melcer,2223273429
Kiyoshi Sudo,2132090845
Joel Schuman,1864519913
Boris Aronov,2067038581_https://scholar.google.com/citations?hl=en&user=q82gOawAAAAJ
Subhash Khot,2087811807
Kelly Zhang,2761565849
Ratan Dey,2121391088
Muhammad Farooq,2604981109
Siddhartha Annapureddy,2625685736
Ashlesh Sharma,2109668708
Athomas Goldberg,2163603646
Sai Peddinti,114680377
Shahram Shahsavari,2224941360
Noah Stephens-Davidowitz,2003523197
Nadrian Seeman,100328954
Henry Bertoni,2472701734
Zhigang Jing,2308792931
C. Barati,2428663636
Mohammed Shayan,2887315273
Naoum Naoumov,2135453749
Kurt Rosenfeld,1971459163
Junbo Zhao,3035707993
Orrin Devinsky,277843997
Yi-Jen Chiang,2306763913_https://scholar.google.com/citations?hl=en&user=ZcDNvvEAAAAJ
Prithula Dhungel,2046058851
Xueyang Wang,2150646756
Masanori Bando,2109179515
Sivaram Ambikasaran,1495698757
Michael O'Neil,2112368991
Benjamin Goldberg,2123694577
Panos Ipeirotis,2176350363
Srikanth Jagabathula,233778557
Alyssa Wise,2143382522
Donald Klein,2125498455
John Iacono,2112876687
Shasha Liao,2147908612
Shabsi Walfish,2306345715
Anca-Andreea Ivan,2974313440
Josh Attenberg,2065581641
Xiaofei Guo,2136381038
Guido Gerig,806245018
Ayse Erkan,2147693306
Scott Lee,2753805631_https://scholar.google.com/citations?hl=en&user=vxKRHcUAAAAJ
Yifan He,2148138436
Linan Huang,2763013019
Els Fieremans,2469786541
Fernando Silva,2595479373_https://scholar.google.com/citations?hl=en&user=BVTZhBEAAAAJ
Bo Yang,2294766264
Mohamed Zahran,2262479184
Utku Evci,2625525647
Kang Liu,2805337231
Gadi Wollstein,2918166811
Kulesh Shanmugasundaram,2303011541
E. Fishler,2973356830
Yi Fang,2588242145
Ruth Lehmann,2139171968
Anshuman Rawat,2973744737
