Feng Wang,2620719578_https://scholar.google.com/citations?hl=en&user=JBCFTjoAAAAJ
Brian Young,2737109300
Hazim Shatnawi,2612462225
Hunter Finney,2889191177_https://scholar.google.com/citations?hl=en&user=WyHyGwIAAAAJ
Thea Williams-Black,2523516917
Susan McClelland,2580387111
M. Woolsey,2437781686
W.E. Hutchcraft,2691568187
Brad Schultz,2342494909
Craig Hickey,2057034764
Carrick Talmadge,1835009290
Barry Rubel,2637054676
Lichuan Gui,2780580730
Munther Hammouri,2226756354
Gordon Skelton,2274896917
Jim Sabatier,2671963197
Jiangchuan Liu,2779159998
Daniel Kleinert,2304862531
Hank Buchanan,2621298900
Brian Carpenter,2799598625
John Heffington,2800018235
William Sumrall,2438393104
Ravikumar Darbhamulla,1270481020
Mainul Hassan,2555071804
Yilin Mao,2152883199
Alison Duke,2263085746
Milarod Novicevic,2265970871
P. Tadepalli,2620473565
Kristin Rogers,2685775857
Gerard Buskes,2109243355
M. Nafie,2338922851
Ahmad Radaideh,2097712600
R. Henderson,2102519674
Yixen Chen,2953417986
T. Maginnis,2974402211
Qiang Duan,2702903548
Charles Morrow,2280665924
Melissa Graves,2166127567
Allan Bellman,2344614372
Stephen Fowler,2467151211
Xiaoqi Hu,2127390024
Ibrahim Freewan,2899917358
Mahmoud ElSohly,2056482735
Waseem Gul,2132605453
Gregory Heyworth,3022307836
Wu Zhou,2803105125
Tianwen Chen,2803269043
Yang Ou,2803762712
Jun Huang,2804455552
Walter Mayer,2133882851
John Leslie,2101672654
Tina Harry,2120686008
Daisy Cheng,2225229129
Khadimul Islam,2899066064
Mahfuzul Haque,2899455066
Javier Rivas,2945086164
Daniel Drake,2306750724
Ronald Wagstaff,2044453265
Nidhi Vij,2638551028
Jianxia Xue,2657876419
George Humphrey,2342988819
Nidhi Mali,2612383389
Zia Shariat-Madar,327202024
Masoud Naghdi,2626269269
Jason Boyd,2718301792
Christopher Leary,2165070009
Charles Jenkins,2132239433
Mahmoud Sohly,2315333713
Ahmed Galal,2915983650
Melissa Jacob,1974675338
Donald Stanford,2095919052
Suman Chandra,2147194889
Xing-Cong Li,2150465010
Pier Claudio,2118322972
F. Wang,2939747446
T. Shan,2935846865
Z. Wang,2937468397
Thomas Hill,2282234381
Margarita Fokina,2049882638
Vladimir Fokin,2310856866
Donald Hanson,2153598170
Benjamin Pharr,2070107150
Susan Mossing,2150915226
Maurice Eftink,2220769580
Robert Cummings,2228613785
Shailee Yagnik,3021055708
Ramanaryanan Viswanathan,3021196835
C.-P. Hwang,2644483672
J. Johnson,2660466761
L.K. Hady,1999865393
Maria Gondo,2143381273
Surma Mukhopadhyay,2105702443
Colin Osterman,2003348557
Lalith Perera,2552387511
Jianping Zhao,2140154904
Jordan Zjawiony,2148602712
Zhengdong Zhao,2641927677
Yan Zhou,2502311809
Edward Furr,1900362040
Khaled Sabahein,3010727886
Mingxian Fu,2992705186
V.K. Boken,2314813497
Sushmita Challa,2912647264
John Showalter,2216818650
Collin Roth,3025309659
Jocelyn Tipton,2104985962
Ajit Sadana,2035224426
Vincent Valeau,2761466232
R. Costley,3025812886
W. Hutchcraft,408462612
Timothy Holston,2794595503
Karen Lewis,2157885580
Jeelani Syed,2582718914
Mahavir Chougule,1968895186
Alan Fridlund,2310244758
Shirong Du,2488837948
Anil Vinjamur,298971245
Sejal Shah,2098647475
Bimal Paudel,2136343308
Sandra Spiroff,2199595043
Gabriel Johnson,2948786899
Andi Petculescu,2990017493
Ya Jia,2245913210
Sheldon Ball,3024235699
Robert Holt,2112809634
Zulfiqar Ali,2556088619
Roopashree Rajanna,2388070018
Sunil Mathur,2097029258
Nidhi Singh,2184930175
Tammy Nolan,2584312454
Larry Smithmier,2232275621
Thomas Simpson,2631660345
Anne Liles,2657468787
James Chambers,2113807248
Seung-Woo Ryu,2634720090
Peter Sonnek,2973368893
Zhaohua Yi,2223120130
Nancy Wiggers,2406615360
K.F. Lee,2700778789
Jiqun Qi,2673029795
T. Ta,2937557899
C. Voyles,1921876049
Allison Woolsey,2226200697
Mahesh Vanjani,2463835256
David McElreath,2390909952
Elizabeth Ervin,2097609863
Alexander Gunter,2588462532
Robert Hackett,2153512049
Marcus McGrath,2104296517
Mustafa Altinakar,2171093280
Svjetlana Curcic,2306778332
Katharine Howie,2112467510
Rade Petrovic,2641267192
Zhiqu Lu,2163191134
Thomas Chapman,2615639901
Fabio Tronchetti,2521041665
Ramanarayanan Visawanathan,2374512948
Jeannette Martin,2161934170
Chi Hwang,2278735307
Laura Achee,2785815476
Conrad Cunningham,2798399785
Patrick Ginn,2712258263
W. Alberts,3025860049
Jason Hoeksema,2079952443
Mark Ulrich,2324674334
Hakan Yasarer,2785893908
Yacoub Najjar,2786490591
Tommie Singleton,2984316815
Milton Pressley,1476553055
John Seiner,2002779022
Nathan Murray,2223657581
Angela Weaver,2488024217
Donald Davis,2097219784
M. Sharkawy,2226673867
Nicholas Hammond,2112775189
Chung Chan,2862726323
Lukasz Kutrzeba,406102920
John Jackson,2312930946
D. Pullen,2852975479
Vikrant Chitre,2974805785
David Robinson,2231125375
Jeffrey Vitter,https://scholar.google.com/citations?hl=en&user=IeXW2bkAAAAJ
Charles Walter,https://scholar.google.com/citations?hl=en&user=3Jj2E-IAAAAJ
