Jennifer Rexford,1998722161_https://scholar.google.com/citations?hl=en&user=07ds-DAAAAAJ
Mengdi Wang,2096829243
Nitin Madnani,1640398473
Steven Goldfeder,2397764847
Francisco Pereira,2098596367
Warren Rieutort-Louis,1264435581
Rui Zhang-Shen,53696909
Weinan E,421791603
Yan Xin,2041264075
Sina Jafarpour,2272052341
Keelan Evanini,323850375
Ahmed Arafa,2158432056
Mitchell Nahmias,2073799951
Martin Min,2763522041
Gilberto Contreras,2123193574
Sibren Isaacman,2116302355
Atul Singh,2608897324
Steve Muir,2309394118
Vahit Hacigumus,2253972099
Mona Singh,2184493679
Liechao Huang,2160625175
Amit Agarwal,2285946011
Yi Zhang,2691217072_https://scholar.google.com/citations?hl=en&user=lc6CVqEAAAAJ
Jintao Zhang,2311309594
Shay Moran,2114518581
Drew Dean,2101006341
Liang Zheng,2303474714
Farhad Meshkati,2674485188
Muneeb Ali,2661384846
Tammo Spalink,191216662
Robert Vanderbei,160571302
Kurt Bollacker,2963903681
Mark Huang,2672444568
Haoyu Zhang,2556930796
Aoife Cahill,2152105963
Dayou Qian,2061901389
Ali Khamene,1379502869
Herschel Rabitz,288001769
Claudia Leacock,2296737558
Christian Eubank,2115527761
Jonathan Pillow,2109349986
Yi Wang,2124876770
Niket Agarwal,2111553747
Sebastien Roy,2950882213
Dana Butnariu,2244565481
Arpit Gupta,2189128997
Yingzhe Hu,2109120060
John Mulvey,2102319059
Nanxi Kang,2120969231
Xiaoliang Dai,2647291105
Pravesh Kothari,2147114560
Karan Singh,2752099223_https://scholar.google.com/citations?hl=en&user=PZJIgZUAAAAJ
Pranav Ashar,2952241715
Ganesh Lakshminarayana,2038433546
Haris Lekatsas,37170314
James Shaw,2397723624
Tommaso Mansi,430985132
Joe Jiang,2107797389
James Lin,2122513095
David Champagne,2123779495
R. Lupas,17235654
Alberto Avritzer,2243864232
Josue Sanz-Robinson,1930872210
J.R. Roche,2974781404
Michael Wang,2305010520
Junqiang Hu,2110416983
Noah Apthorpe,2479098919
Ioannis Kevrekidis,192908093
Yijia Fan,2124073449
David Shue,2025237250
William Bialek,2576426164
Hei Law,2764766431
Amitabha Ghosh,2558028995
Stephen Lyon,2114957884
Martin Suchara,251558293
Lei Chen,2481159455
Kyle Jamieson,2160119116
Junghwan Rhee,2153089702
Stephen Soltesz,2011471898
Thomas Griffiths,2122351653_https://scholar.google.com/citations?hl=en&user=UAwKvEsAAAAJ
Claus Bahlmann,733524818
Dmitriy Fradkin,2028188512
Xinping Zhu,2117287999
Arquimedes Canedo,2099971510
James Donald,2161134383
