Ronald Schafer,2301317608
Shuang-Hong Yang,2141502043
Le Liang,2608210825
Colin Potts,2140224283
David Goldsman,344182284
Krit Athikulwongse,151957914
Kirak Hong,2139038749
Anthony Calise,678895378
Craig Tovey,2154566728
William Singhose,402092082
Jongse Park,2166587237
Harshit Gupta,2429898858_https://scholar.google.com/citations?hl=en&user=riHG7w8AAAAJ
Mark Clements,2155267845
B.D. Payne,2162975927
Yi Yang,2993791162
Santosh Pande,2107866481_https://scholar.google.com/citations?hl=en&user=w55j5-8AAAAJ
Barbara Ericson,2130962319
Sang-Ho Lee,3009804477
Christopher Dantec,678676928
James Foley,2193907057_https://scholar.google.com/citations?hl=en&user=GmcChLIAAAAJ
Amir Yazdanbakhsh,2166590324
Yacin Nadji,307609487
Mike Stilman,101604710
Deepal Jayasinghe,2072503684
Edward Omiecinski,2174003361
Jay Bolter,2029183671
Gil Weinberg,2155103997
Frank Lambert,2167210739
Mohammad Bahadori,2032867848
Moongon Jung,2130311285
Yao Xie,2647072147
Edmond Chow,2015985982
Sean Donovan,2226677211
Elias Khalil,2137038384
Rakshit Trivedi,2150403271
Karim Habak,205845274
Mohsen Sardari,2055249635
Tuo Zhao,2306900094
Mike Pinkerton,2531321017
Erich Stuntebeck,673934337
Fang Zheng,2143259404
Hassan Kingravi,2080548833
Spencer Rugaber,710337266
Shubha Ramakrishnan,2429250615
Dean Lewis,2295833130
Richard Lipton,2668464570
Cheng Zhang,3016135193
Ming-Wei Shih,2227870902
Rosa Arriaga,1580353647
Ke Zhou,2311638158
Leon McGinnis,2156311462
Scott Gilliland,2004383994
Thomas Robertson,2148736190
Taigon Song,2118757071
Abhishek Kumar,2115255474
Azad Naeemi,2045524019
David Lillethun,319177786
Wendy Newstetter,2249923743
Saad Nasir,2231680118
Meng Ji,2107549295
Murtaza Motiwala,2084180682
Patsorn Sangkloy,2483816572
Clint Zeagler,1979386409
Milena Mihail,2075063374
Xin Zhao,2519651239
Kyutae Lim,2154318579
Jason Freeman,2157848655
Santiago Grijalva,2236084351
Thomas Conte,1989992281
Lakshmi Anantakrishnan,2224826167
Agata Rozga,1982287313
Caleb Southern,1967435933
Garrett Stanley,2123082912
Hao Ye,2751052472
Ali Mazalek,2113066609
Simon Chung,2324104463
Pengcheng Xiong,1990998134
G. Zhou,2129166955
Rama Prasad,3000980651
Arvind Singh,2419827568
Jiasen Lu,2288290430
Jim Rowan,2676077149
Hao Wu,2305962419
Minsuk Kahng,2238818493
Yichen Wang,2272469598
Deshraj Yadav,2604110358
Youn-ah Kang,2140912119
Simon Malkowski,1758392388
Nak Seong,1993488291
Erik Verriest,2260101319
G. Li,2230164476
Julie Jacko,251584896
Jun Ma,2423643395
Xueliang Huo,2151310403
Linda Milor,401389372
Martim Carbone,2157861493
Andrew Kerr,2134196235
Rohan Tahiliani,1977442932
Giovanni Iachello,66513690
Melody Jackson,2139964193_https://scholar.google.com/citations?hl=en&user=83SAwBsAAAAJ
David Ediger,2034622979
Karen Feigh,2947406941
Jack Li,2597456057
Taiyun Chi,2140148763
Marilyn Wolf,2152717533
Vinay Bettadapura,1665580359
Artem Dinaburg,2226158955
Zachary Pousman,326257793
Fred Hohman,2611250197
Chang Liu,2223919528
Zhen Liu,2786588417
Nam Vo,2104980526
Jay Summet,1688263250
Peter Presti,2153907547
George Cokkinides,2607937160
Chengwei Wang,2157293545
Jason Riedy,2902704234
David Keezer,1981586905
Jong Park,2244655026
Arthur Fisk,2023760085
Ahmad Humayun,2140331298
Song Hu,2275984469
Gregory Durgin,1928950762
C. Sherrill,2114760200
Danesh Irani,2154426056
Richard LeBlanc,2236930200
Betsy DiSalvo,710514036
Hardik Sharma,2440506574
G. Acosta-Marum,2973734517
Bevin Perumana,359888789
Christopher Lee,2142453995
Jaeha Kung,2236780069
Alexander Shapiro,2243585439
Divya Mahajan,2232468413
Wayne Book,2274217911
Chanho Kim,2225300900
Iulian Radu,2097496645
Samantak Gangopadhyay,2125959018
Randall Guensler,30998810
Jochen Teizer,2344905332
Mohit Pathak,2099169228
Duckhwan Kim,2529366266
Chuanyi Ji,2140596136
Bhuvan Bamba,2020192516
Arash Einolghozati,220836000
Vivek Sarkar,https://scholar.google.com/citations?hl=en&user=XjeIqxYAAAAJ
Richard DeMillo,https://scholar.google.com/citations?hl=en&user=Pil9rEEAAAAJ
Ümit Çatalyürek,https://scholar.google.com/citations?hl=en&user=OLDMURQAAAAJ
Felix Herrmann,https://scholar.google.com/citations?hl=en&user=hw23CTQAAAAJ
Doug Blough,https://scholar.google.com/citations?hl=en&user=uGwrZAsAAAAJ
Long Gong,https://scholar.google.com/citations?hl=en&user=qtAikfAAAAAJ
Srijan Kumar,https://scholar.google.com/citations?hl=en&user=kqfLNK8AAAAJ
cong shi,https://scholar.google.com/citations?hl=en&user=o0E3ZAcAAAAJ
Hong Hu,https://scholar.google.com/citations?hl=en&user=3aaJwkoAAAAJ
Stevie Chancellor,https://scholar.google.com/citations?hl=en&user=Q_rTsewAAAAJ
Yanwei Zhang,https://scholar.google.com/citations?hl=en&user=XUzyzugAAAAJ
Stacey Truex,https://scholar.google.com/citations?hl=en&user=syy_-fMAAAAJ
Monjur Alam,https://scholar.google.com/citations?hl=en&user=vAY9eSkAAAAJ
Manoj Chandrasekaran,https://scholar.google.com/citations?hl=en&user=2j6BpK8AAAAJ
Geng Sun,https://scholar.google.com/citations?hl=en&user=ewQJtlEAAAAJ
Yu-Ying Liu,https://scholar.google.com/citations?hl=en&user=5ooXlDoAAAAJ
M. Gursoy,https://scholar.google.com/citations?hl=en&user=mkszHGsAAAAJ
Sarthak Grover,https://scholar.google.com/citations?hl=en&user=ICV_lkwAAAAJ
Hyoukjun Kwon,https://scholar.google.com/citations?hl=en&user=Eq8jGewAAAAJ
Mohan Kumar,https://scholar.google.com/citations?hl=en&user=NVCULdIAAAAJ
Arjun Srinivasan,https://scholar.google.com/citations?hl=en&user=QHq8_3MAAAAJ
Greg Coladonato,https://scholar.google.com/citations?hl=en&user=0Y5EQxAAAAAJ
Bharat Srinivasan,https://scholar.google.com/citations?hl=en&user=4KbbZcsAAAAJ
Kristin Siu,https://scholar.google.com/citations?hl=en&user=xkLdn4gAAAAJ
David Kartchner,https://scholar.google.com/citations?hl=en&user=di5ncfUAAAAJ
M. Roozbahani,https://scholar.google.com/citations?hl=en&user=W8oVUI8AAAAJ
Zero Cho,https://scholar.google.com/citations?hl=en&user=h62J5I4AAAAJ
Neda Tavakoli,https://scholar.google.com/citations?hl=en&user=phKOxF4AAAAJ
Chaitanya Bapat,https://scholar.google.com/citations?hl=en&user=zt8l9pQAAAAJ
