Benyuan Liu,2167774889_https://scholar.google.com/citations?hl=en&user=s2n1-HMAAAAJ
E.J. Knapp,2974525346
Clayton Fowler,2944665890
Andrew Dufilie,2027752545
Yana Weinstein,2570531347
Jing Ni,2964120091
Michael Lunderville,135568249
Joshua Kraunelis,256226516
Swathi Kurunji,376341631
Timothy Ficarra,1969038069
Bhanu Kaushik,2060743202
A.R. Teel,2635680562
Kuoching Feng,2126728688
Sohad Abu-elzait,2964165616
Jizhi Wang,2304676415
Pawan Pingle,2290373172
David Nguyen,2792678801
James Dalphond,2090760364
Shawn Konecni,2038641351
Shawn Steffey,2542633359
Jacob Suarez,2229481978
Dechun Wang,2970312355
Supriya Chakrabarti,2149383393
Jason Martel,2165554457
Glenn Howe,2180479500
Sanping Li,2717691480
Ke Xiang,2974547958
Junwei Huang,2154510932
John Rutledge,2281768058
Poorna Marthi,2304214965
Nazir Hossain,2306079307_https://scholar.google.com/citations?hl=en&user=IdZek74AAAAJ
Allison Rossetto,2098579055
John Koegel,1968879349
Bruce LeBlanc,2114349723
M. Schedlbauer,2973324242
Volkan Sevindik,2469902314
Roger Price,2179186853
Jialing Zhang,2784027259
Carol Traynor,2045754315
Chuta Sano,2617680358
Alex Gribov,2750702403
Michelle Scribner-MacLean,222394027
Li Xu,2671286065
Xu Ye,2115507430
Manuel Madera,2132351642
Bradley Barber,3038949296
Huan Wang,2563299752
Valeri Barsegov,705167843
Jack LoPiccolo,2259455625
David Donahue,2753903250
Prakash Rai,2107872229
Derek VanDyke,2564846237
Haiyang Zhang,2305980040
Shuai Yuan,2304265044
Osman Ekekon,1405442234
Michael Ellenbecker,410376924
Martin Schedlbauer,2315396311
C. You,2973416551
Abir Dasy,2962724193
Lijun Ni,2131614624
Curran Kelleher,2442301337
M.G. Williams,2973975107
Suzanne Nobrega,2123491137
Laura Kernan,2150693394
Bora Plaku-Alakbarova,2569706060
Stanley Barr,2134208042
Xiaoyan Zhuo,2784271098
Chia-Ho Cheng,2637727773
P. Bustos,2097442932
Ian Sebanja,2223532694
D. Fagen,3037640866
Thomas Shea,2140515260
William Boag,2250590177
S. Keshavamurthy,2656539726
Peter Fickenwirth,2809977947
Claus Hansen,2506448878
Zhijun Yu,2920364198
Wenjing Yang,2303921394
Jingwen Wang,2968209461
Pei-Chun Kao,2533819980
Lalitha Devarakonda,2408147314
Tyler Schmitt,2319086073
Kanti Prasad,2129207620
Guangqiang Li,2924855488
Kwangseog Ahn,2129934087
Clay Didier,2430883927
Yonghao Jin,2903293433
Tim Marinone,2829206800
Can Keskin,2973672800
Jingcheng Zhou,2162880613
Gao Gao,2973963027
Wenjin Zhou,2752437579_https://scholar.google.com/citations?hl=en&user=M09EoNMAAAAJ
Eliad Cohen,2287327549
Ivan Galkin,2343849236
Jiao Wang,2230420584
Clare Comm,2153009131
Sei-Hyung Lee,2146570786
Nan Wu,2103068983
Xingwei Wang,2993689330
Seongkyu Yoon,2148129068
Robert Giles,2115547776
Sangmook Lee,2148806429
Hao Jin,2945909709
Erno Sajo,1553213765
Jose Geleilate,2368874306
Lu He,2609449332
Ambarish Roy,2281475564
A. Vardaro,2562839038
Cuong Doan,2565497761
Hoeguk Jung,2135137226
Tzuyang Yu,2158177853
