Feng Chen,2601749234_https://scholar.google.com/citations?hl=en&user=KOQ-SSYAAAAJ
Yuchi Young,2172720063
Mitch Leventhal,2730665344
Alfred Liu,2155084982
Lenore Mullin,2119225204_https://scholar.google.com/citations?hl=en&user=JH_J72QAAAAJ
Hans Pohl,2686626428
Fan Yang,2971729581
Anna Sharikova,1764519180
Alexander Khmaladze,2232862038
Felipe Costa,2560139509
Qianli Yuan,2623110013
Kimberly Gero,2117350121
Guangji Yuan,2476435152
Christina Nash,2492201429
Sue Kaczor,1956099138
Sara Knapp,2160034121
Aparna Joshi,2883893418
Yu Zhang,2883981279
Shufen Wang,2608537515
Benjamin Carle,2590774857
Xingmin Luo,2130617396
H.M. Kao,2608894875
John Bertot,3004133731
Robert Tynes,2103065846
Lee Bickmore,1220535959
Daren Liu,2734611037
Yizhen Chen,2734991547
Ming Ying,2735868622
Dubravka Juraga,1146027429
J. Gil–Garcia,2760912942
Gillian McCombs,2126370326
Stephen Stehman,2612071305
Mingching-Chang Mingching-Chang,2963474485
Akshay Pesara,2896473224
Myron Michel,2593491696
Brenda Hazard,2763278496
Jean Mclaughlin,1966366584
Mathias Vuille,2082497367
Ariel Caticha,243597671
Ethan Sprissler,2226904576
Megan Solon,2546296296
Igor Zurbenko,2469144222
Babak Bahaddin,2950410110
Robert Yagelski,1765111183
Andrew Matusiewicz,2070311132
Reneta Barneva,3021368999
Valentin Brimkov,3023405716
Martha Avila-Maravilla,2617937774
Tushar Saxena,2012574599
Irina Holden,2110408063
W.E. Wong,2517004145
Matthew Ingram,2266224868
Weifu Wang,2909707762
Ting Liu,2992386638
Gregorios Katsios,3037085640_https://scholar.google.com/citations?hl=en&user=lPGEjLEAAAAJ
Jakov Crnkovic,2050245582
Xiaoyi Zhao,2478275100
Lin Zhang,2931733443
Jorge Gomez,2972289521
Mila Gasco,2623142726
Jason Lane,2105370378
Tuan Tran,2774071340
Robert Salkin,2287343957
Jingping Chen,2655437256
S. Oktybrysky,2227111677
John Seagle,2237104689
Graeme Newman,2146070768
P.A. Bloniarz,2974898716
Gabriel Cid,2561293704
Hemalata Iyer,2035567946
Mei-Huei Tang,2311734969
Traci Mach,3027132584
Veena Ravishankar,2118235727
V.K. Prasanna-Kumar,2922403005
G. Pandurangan,2799094016
Aaron Broadwell,2072456094
W. Roth,2594133370
Keqin Li,2606640174
Zhili Liang,2337027564
P. Nagaiah,2713225566
Michael Range,3026821137
Wei Xiong,2625282424
David Tyckoson,2071797049
Chao Liu,2318473041
Matthew Calsada,1970618215
Paul Tomchik,2286224003
T. Pardo,2974849096
Jennifer Strommer-Galley,2614779818
Li-Fang Shih,2145300887
Alexey Nadykto,2062653638
Jason Herb,2078943041
Z. Qi,2661253667
Sonali Varma,2143597392
Lucy Dadayan,1764387283
Shuvam Chakraborty,3003238178
Andrew Whitmore,2305895643
D. Juedes,2420208283
T.A. Maxwell,2974675623
Venkatesh Radhakrishnan,2893652513
Terrence Maxwell,2112963011
Ira Goldstein,2128345483
Howard Edwards,2777240131
Wu Min,2487246208
G.P. Richardson,2984745778
Luigi Reggi,1232808994
Sunyoung Pyo,2797963738
Melanie Borgeest,2619063929
Chaohong Shen,2165089515
Imara Nazar,2953897465
Yanhong Li,2311008325
Prabir Bhattacharya,2944119672
Füsun Şahin,2564556176
Alandeom Oliveira,2172096564
Joe Morehead,1783469929
Siwei (吕思伟),https://scholar.google.com/citations?hl=en&user=wefAEM4AAAAJ
Neil Murray,https://scholar.google.com/citations?hl=en&user=Uo5asF8AAAAJ
Nicholas Phillips,https://scholar.google.com/citations?hl=en&user=LPaef-YAAAAJ
Daniel LaManna,https://scholar.google.com/citations?hl=en&user=B-Ge5BQAAAAJ
