Richard Han,2128661168_https://scholar.google.com/citations?hl=en&user=v1h6k2oAAAAJ
R. Shapiro,2096138865
Aleksandar Chakarov,190390398
S. Sterling,2163568141
M. McEvoy,2794654456
Andrew Johnson,2767285575
Hoang Truong,2682525658
Murad Kablan,2223819573
Shannon Hughes,2212746423
Emily Moore,2170529690
Michael Walker,2769433961_https://scholar.google.com/citations?hl=en&user=tM9tcT0AAAAJ
Tim O'Gorman,2395145091
Paulo Barthelmess,1226908066
Stephen Voida,211303378
Youngbin Im,2114439034
Charles Morrey,2137285293
Oliver Michel,2231268404
Zyad Hassan,2141734289
Hyunwoo Cho,2236240414
Souradeep Dutta,2941306902
Xiao-Chuan Cai,2122674678
Robert Soden,2029864135
Prasanna Madhusudhanan,1269949564
Hooman Hedayati,2789824045
Majid Zamani,2224098661
Brett Roads,2169003395
Samuel Way,2921765064
Bhuvana Narasimhan,2201522852
Lei Tian,2303618838
François Meyer,2444187925
Danielle Szafir,2735424601
Jyh-How Huang,2304043658
Michel Lesoinne,2073879318
James Guyton,2095651518
Brian Keegan,2131963313
Gregory Grudic,427814077
Kathy Garvin-Doxas,2017428245
Rongqing Huang,2116198245
Ruth Duerr,2007555993
Susan Miller,2159121077
Jintae Lee,2309049710
Arrick Lanfranchi,2005179238
Gregory Tucker,2159828693
Ernesto Arias,2114716432
Matthew Monaco,2120953366
Stefan Carmien,2300996296
Catharine Brand,2479451946
Jorge Poveda,2947886307
Xudong Chen,2239059122
James Williamson,2170609364
Miriam Eckert,2217972637
Hyunjoo Oh,2231446991
Christoffer Heckman,2673864751
William Pisano,162164521
Alex Settle,2061674696
Michael Ton,2024351470
Thomas Hauser,1903878920
James Sullivan,2141618489
G. Zhou,2973545036
J.F. Kaiser,2973634836
Nicholas Farrow,2002199957
Sabrina Mattson,2145127584
Wendy DuBow,1601917409
Moustafa Mohamed,2125889408
Xi Chen,2534619870
David Monarchi,2020724053
Sandeep Sharma,2590407080
K. Park,2312846097
K. Nishimoto,2562437141
S. Akkala,2564517151
B. Surendar,2565255038
M. Terada,2566149750
J. Kelley,2692943223
S. Razgulin,2708284057
Junho Ahn,2110497098
Hoonsang Jin,2796645680
Karl Ridgeway,2345804653
Ashish Jain,2798903554
K. Bartlett,2462037408
Fenglong Lu,2235216911
Fred Gluck,1999529248
Ryan Grover,2571332052
Juan Restrepo,2302666589
Sam Reid,2343477326
Mark Rentschler,1771366708
Gary Nutt,2018021167
Sam Blackshear,1973949550
Morteza Lahijanian,2139319893
John Giacomoni,2046681833
Zoya Popovic,2169908048
Michel Rasquin,229087204
Michael Shirts,45121397
John Evans,2263472225
John Penczek,2478384603
Amy Voida,2517075292
Julie Gregg,2906972332
Hadi Ravanbakhsh,2077195028
Christoph Keplinger,2136465847
Jeffrey Fifield,2028696323
Jeffrey Butterworth,2096155195
Jonathan Ostwald,674399801
Ashwini Vaidya,2147946432
Morteza Karimzadeh,2900520183
Wayne Citrin,427683513
Christopher Hovey,2225186548
Johannes Uhl,2762726339
Andreas Hagen,2489626441
Seth Spielman,2127059029
Daniel Liston,2166099733
Jesse James,2226648325
Debra Goldberg,2152747537
William Penuel,186200292
Shideh Dashti,2033832330
Michael Dubson,1900037187
Wendy Adams,2107125340
Ron LeMaster,2164067982
S. McKagan,2975271553
Marina Kogan,2097985379
Bernard Amadei,1837734023
Troy Weingart,1988593647
Anja Kintsch,201293969
Saqib Amjad,2232031340
Kent Hutchison,2157806822
Allen Pope,2103344878
Lise Denis,2227525494
Sarah Hug,1971121023
Narayan Prasad,2950276630
P. Dayal,2973510756
Terri Fiez,2061202558
Xing Li,2355092487
Vicki Bennett,2170243889
Marco Nicotra,2114287691
Xiaolei Huang,2656634428
Aous Mansouri,2113808346
Mario Barrenechea,2104163349
Jyh Huang,2171023285
Peter Gray,2428629603
Jude Allred,2432396614
Saroch Panichsakul,280414757
Brian Mingus,867334898
Seth Herd,2134463316
Ellen Do,2149245698
Heather Thiry,2011586467
Zhiyuan Liu,2734332584
Bonnie Buckland,2281014201
Jed Brown,2893999564
Benjamin Brown,2182471617
Harry Jordan,2219614160
Sandra Laursen,2067754752
Qi Liu,2295302072
Darren Guinness,2779007128
David Quigley,2498927835
Kimberly Kalahar,1918282888
Umit Yapanel,1217801284
Ian Horses,2342821611
Arlen Cox,2146328295
Nam Bui,2627644035
Jennifer Knievel,1469759533
Thomas Mastaglio,2015146900
Daniel Leithinger,1647524748
Yu-Li Liang,2132264088
Sergio Mover,217913542
Tim Curran,2118700238
Clement Zheng,2683135429
Robert Erickson,2315848102
A. Younger,2409899449
James Martin,https://scholar.google.com/citations?hl=en&user=ZVxO6IIAAAAJ
clayton lewis,https://scholar.google.com/citations?hl=en&user=eIYoeT4AAAAJ
Paul Constantine,https://scholar.google.com/citations?hl=en&user=7x-Q4Y8AAAAJ
Orit Peleg,https://scholar.google.com/citations?hl=en&user=xH5Ryy4AAAAJ
Tzu-Chi Yen,https://scholar.google.com/citations?hl=en&user=ZUxl-r0AAAAJ
Melissa Bica,https://scholar.google.com/citations?hl=en&user=T4PCkQUAAAAJ
Allison Morgan,https://scholar.google.com/citations?hl=en&user=M1MybiEAAAAJ
Ben Leduc-Mills,https://scholar.google.com/citations?hl=en&user=oqCcwngAAAAJ
Lu Ma,https://scholar.google.com/citations?hl=en&user=4KfkPpAAAAAJ
Vishwajeet Narwal,https://scholar.google.com/citations?hl=en&user=u4lq2hIAAAAJ
Yu-Ju Lee,https://scholar.google.com/citations?hl=en&user=fvB6dS4AAAAJ
Pate Motter,https://scholar.google.com/citations?hl=en&user=WpV3tTgAAAAJ
Srinjita Bhaduri,https://scholar.google.com/citations?hl=en&user=UnP80k4AAAAJ
Nhat Pham,https://scholar.google.com/citations?hl=en&user=pkmiZ2cAAAAJ
Sravan Thokala,https://scholar.google.com/citations?hl=en&user=8r57iJwAAAAJ
Richard Tillquist,https://scholar.google.com/citations?hl=en&user=2JyfMmsAAAAJ
Chelsea Chandler,https://scholar.google.com/citations?hl=en&user=JYfrhpkAAAAJ
Valeria Barra,https://scholar.google.com/citations?hl=en&user=IU7oHDcAAAAJ
Layne Hubbard,https://scholar.google.com/citations?hl=en&user=-lPAECYAAAAJ
Rajarshi Basak,https://scholar.google.com/citations?hl=en&user=V-LufvkAAAAJ
Samuel Bateman,https://scholar.google.com/citations?hl=en&user=QGrU4z0AAAAJ
