Ying Wu,2440350627_https://scholar.google.com/citations?hl=en&user=zAlz89wAAAAJ
Marc Slutzky,2276236052
Sanjay Sood,2130025141
Matthew Tresch,2029837576
Matthew Goldrick,2139581972
Alice Lucas,2490017749
William Hendrix,2140799759
Seda Ogrenci-Memik,2221997827
Qi Zhu,2278159631_https://scholar.google.com/citations?hl=en&user=TN09YMcAAAAJ
Sanchit Misra,2163923293
Jieyi Long,2117097583
Kuan He,2230542164
David Meyer,2311572186
Avery Ching,2077236507
Guoxin Jin,2103417946
Yan Zhu,2421821513
Robert Flint,2308106046
Fei Yeh,2125737155
Christopher Riesbeck,2398835418
Adilson Motter,2016077728
Jeremy Birnholtz,1984585465
Sara Owsley,259420225
Marcel Flores,2162252446
William Thompson,2797201040
Yang Yang,2636474309
Fan Jiang,2473430209
Richard Waltz,2152256015
Jerome Budzik,2008780626
Aparna Kumar,2772103582
Milan Mrksich,207886390
Kenin Coloma,505014980
Maogang Wang,2142684356
Roger Schank,378837251
Hao Ge,2294652407
Sarah D'Angelo,2226696699
Michael Stanley,2123169567
Bonnie Spring,1697945163
Jiahuan Zhou,2528950636
Ehsan Maani,1073410894
Jeremy Staum,2043426473
Mitra Hartmann,2182200767
Jian Cao,2292813561
Ellen Wartella,740010879
Keith Tyo,2013918135
R.B. Shapiro,2434954163
Daniel Honbo,2063259713
Shuyu Kong,2740877118
Yanran Wang,2564930294
William Rymer,1986447454
Craig Shultz,2228025934
Thanapon Noraset,213474391
D. Strom,2056936429
C. Cheng,2657492292
S. Kumar,2974487515
JackTumblin Tumblin,2571692111
Zhengyang Qu,2105361590
Yi Qiao,2091291628
Dong Lu,2110781793
Sara Solla,1981852817
Hani Mahmassani,173529833
Peshala Pahalawatta,2949732062
Prith Banerjee,2643081459
Qingze Huo,2785265284
Debjit Sinha,2974025505
Isaac Johnson,2407794158
Hang Zhou,2256524844
Zexian Zeng,2639898157
Zhiyi Zhou,2102925517
Yeguang Xue,2126696196
Simone Campanoni,36645295
Shuai Xu,2512063953
Junjik Bae,2144172453
Zhenyu Gu,2135935564
C.A. Segall,2232469051
Ramin Bostanabad,2320524076
Alexis Lauricella,2644479052
Daniel Lewis,2164668999
Robin Brewer,2110637084
Prasun Choudhury,2476755359
Tianyu Jia,2483598087
Siddhartha Jonnalagadda,2132483286
Nicholas Diakopoulos,2893893260
Brad Adelberg,2053444307
Tho Le,2155614572
Zachary Wright,1957680604
Sanjay Mehrotra,2005313928
Matthew Easterday,2095739116
Jana Zujovic,2012760461
Reda Al-Bahrani,2229411322
Brenna Argall,373315240
Allan Collins,2111318876
S. Babacan,2953371951
David Uttal,1157721019
Shengxin Zha,2018067956
Muhammed Hussain,2787797830
Yi Yang,2695043751
Marcelo Worsley,2141547427
Michael Rubenstein,2089467074
Kathryn Alpert,1983303562
Leonidas Spinoulas,125644029
Xiang Pan,2280736944
Yin Xia,2304837946
Takashi Nishikawa,2166848811
N. Shenoy,2467195218
Cheng Sun,2153087278
Hongmei Jiang,2116130901
Jun Luo,2618703885
Zihao Wang,2547957261
Jianwei Li,2116653223
Daniel Burgener,2076784598
Joshua Glaser,2131887774
Kate Lockwood,2112057585
Patti Bao,2223230740
C.E. Luna,2154616067
David Zaretsky,2030911832
Allen Lin,2611092540
Jun Yao,2617768979
Marc Walton,2274573774
Michael Markl,1615293024
Qi Cai,2946400506
Zhiyuan Li,2111495178
Greg Stoddard,1994756685
Bruce Ankenman,400954028
Jarvis Schultz,2097486830
Madeline Smith,2132672052
Besim Avci,2112824018
Ruoqian Liu,2150471970
Norman Wickett,22404788
Siyu Chen,2969679534
Linda Broadbelt,375567618
Thomas Hinrichs,1864386352
Malay Haldar,2153923168
Anshuman Nayak,2604457457
Ha Chung,2122275552
Kun Lee,2797088268
B. Chavez,2548433214
Lei Yang,2425259089
Joshua Hibschman,2343212349
Todd Parrish,2163310119
S.D. Babacan,2157914631
Zeina Leong,2083933428
Yu Nie,2127370809
Zhen Jiang,2126743918
Ke Meng,2247870464
Oliviu Ghica,2054045084
Paul Yarnold,2235006560
Timothy Herr,2440559246
Aravindan Vijayaraghavan,2032619245
Claus Richter,2313244647
Dashun Wang,2098143673
Tsung-Yi Chen,2974814324
David Rapp,2105257261
Robby Findler,2083214319
Jonathan Reeder,2104511937
Chirayu Amin,1972924621
Liang Yao,2227805401
Chao Shi,2719889129
John Troy,2009222538
Yichi Zhang,2479263997
J.-P. Goux,2973459219
Enectali Figueroa-Feliciano,2134324646
Zijiang Yang,2601669355
Edward Malthouse,2106689951
James Ibers,110390236
Ilya Mikhelson,1481420605
Haiwen Luan,2125692613
Suman Maity,1992534275
DiaaEldin Khalil,2144722329
Neda Rohani,2478343692
Florian Willomitzer,2805817810
Xiangyun Zhao,2564390055
Pablo Ruiz,2964049856
Daniel Lee,3005763219
Chad Haney,2102550058
Irawati Kandela,2569725741
Steven Jaconette,116945108
Courtney Blackwell,2134847451
Malcolm MacIver,1904343262
Stefan Birrer,2051697179
Eyal Sagi,2089039871
Kan Li,2500338504
Andrew Crossen,686357949
Zhaosheng Zhu,2307857825
Xiaobin Fu,2124284832
Xuejing Sun,2128203480
Robert Schalkoff,2892936894
Abhishek Das,2272948820
William Kath,2167201969
Joe Mullenbach,1944550200
Andy Gocke,2224541483
Yu Deng,2900524761
Fengqiang Li,2570214433
Tyler Ray,2657734591
