John Stankovic,2030977062_https://scholar.google.com/citations?hl=en&user=4VJre9IAAAAJ
Mark Sherriff,2106620652_https://scholar.google.com/citations?hl=en&user=_2vphAIAAAAJ
Nolan Goodnight,2072698116
Xue Feng,2306032774
Michele Co,2119952123
Jinlin Yang,2157874876
Peter Bakkum,2687893574
Yuchen Zhou,2306419354
Qingyun Wu,2479883750
Jacob Breiholz,2229463056
Jonathan Dorn,2111010835
William Levy,2141888024
Gregory Faust,2033390489
Qin Chen,2567556586
Travis Blalock,1968478851
Jonathan Rowanhill,701286723
Runjie Zhang,2103576439
Cong Shen,2166888884
Andrew Jurik,2014317678
Suprateek Sarker,2269771541
Aidong Zhang,2228514421_https://scholar.google.com/citations?hl=en&user=O8XxkE4AAAAJ
Kevin Scott,2166501314
Jian Lu,2311366969
Yuan Tian,2137493151
Eric Xu,2501116981
Adam Cabe,2103442452
R. Nelson,2303465258
Thomas Crowe,55790671
Harsh Patel,2484068272
Dimitrios Katramatos,2306394102
Kiana Meimandi,2760391226
Jie Lian,2238556128
David Wu,2143646801
Sara Dexter,2482094156
Tommy Tracy,2125563376
Norm Beekwilder,2080288436
Adrian Filipi,2161876604
T. Horvath,2974143439
Randy Cogill,2048028777
Steven Bowers,2067341119
Alfredo Garcia,2101413638
Denis Nekipelov,187712509
Shuoqi Li,2120855302
M. Morgan,2147256070
Divya Akella,2228702648
Zach Hill,1977447539
John Pfaltz,185297681
Jesse Moody,2517127605
James Harrison,2130556478
Vinh Dang,2575603607
Madhav Marathe,2242145496_https://scholar.google.com/citations?hl=en&user=diIore8AAAAJ
Chunkun Bo,2528646707_https://scholar.google.com/citations?hl=en&user=XQWtSZUAAAAJ
A. Srinivasan,2676539013
Tamal Batabyal,2295301484
Juhi Ranjan,2144376971
Aaron Bloomfield,2118779676
Ritambhara Singh,2186720768
Tommy Burnette,2130122211
Selvin George,2147851696
Ankur Sarker,2550601580
Daniel Williams,2110806705
Chenxi Wang,2306940667
T.A. Summers,2573899581
Erik Garrison,3003905454
Bakinam Essawy,2198598020
T.E. Hutchinson,2649430662
L.A. Frey,2136352292
Byungkyu Park,2152027507
Toby Berger,2780936730
Xuan Zheng,2287877972
Reza Rahimi,2517364092
Yuan Wei,2163094675
N. Jalbert,2312694913
John Hossack,2075204116
Daniel Keenan,2171312721
Daniel Truesdell,2783942605
Yael Grushka-Cockayne,2670254218
Divya Kamakshi,2464260063
Cody Fleming,2421133423
Mateja Putic,1978637021
Erin Griffiths,2232530566
Alexander Ganin,2561450279
Yu Huang,2305260873
Huazheng Wang,2556947837
Oluseyi Ayorinde,2406038438
Jennifer Chiu,2307113867
Shuo Li,2744829797
Anil Vullikanti,393896382
Nathan Brunelle,2115146254
Tanima Dey,2126711945
Robin Felder,2158079998
