G. Asada,2770342629
Yingdi Yu,2123265842
Peipei Zhou,2109342718_https://scholar.google.com/citations?hl=en&user=px_jwFgAAAAJ
H. Darabi,2113581554
Navid Amini,2142715255_https://scholar.google.com/citations?hl=en&user=tZTnipEAAAAJ
Alan Willson,2559400366
Yibiao Zhao,2144162768
Jad Hachem,2090644514
Kai Zeng,2157610843
Saikrishna Badrinarayanan,2152379809
A. Hodjat,65846449
Edward Wright,2104986058
Christopher Frost,2310839222
Bicheng Ying,2111388517
Warren Grundfest,2615215085
Harun Gunaydin,2612120496
Keith Holyoak,1971381308
Deanna Needell,1235527630
Corey Arnold,2140006220
Cody Yu,2223691866
R. Bagheri,2973357150
Donnie Kim,2116219905
Tsu-Chin Tsao,2157732214
Lieven Vandenberghe,2293419568
Xiang Zeng,2468723430
Roy Shea,2117095652
Shivani Sharma,2144418507
Fei Li,2699283471
Karthik Gururaj,2142062114
David Jea,1979881644
Sai-Wang Tam,2097826376
Yu Zhang,2657034349
Tyson Condie,2042584619_https://scholar.google.com/citations?hl=en&user=7SdcAiEAAAAJ
Yuval Tamir,669225860
Christopher Lee,2281656816
Adrian Tang,2151577078
M.Y. Sanadidi,2987747712
Joshua Joy,2135589226
Ricky Taira,2159224453
Aayush Jain,2571221828
Yu-Ting Yu,2228471294
William Speier,1972219705
Yixin Jin,2167967765
Ting Chen,2625007049
Jin Wang,2669831802
Jyun-Yu Jiang,2746889226
Luca Spadola,1952818443
Antoine Rosset,2700215525
Yuanlu Xu,2223706343
M.E. Heidari,2115421521
Paul Vespa,2025299455
F. Behbahani,2119734433
Jianwei Miao,2161774436
Jillian Wallis,2025422612
Fangwen Fu,2129617619
Viktor Decyk,2437003836
David Zipser,2934291544
Hariprasad Chandrakumar,2073274797
Claire Chen,2189158538
Hsien-Po Shiang,2118116145
Yuanxun Wang,2443059015
Jason Liu,2141107677
Eugenio Giordano,2156956262_https://scholar.google.com/citations?hl=en&user=sgfnoagAAAAJ
Alireza Vahdatpour,2085287857
Tianwei Xing,2653020516
S. Chehrazi,2344141408
Jungseock Joo,2147185896
Jinfeng Yi,2102191302
Peng Wei,2292157478
Zhenkai Zhu,2147840573
Siyuan Huang,2608282721
Yiping Fan,2144867551
Sung Park,2098039635
Onur Atan,2090323618
Pengyuan Du,2306484191
Mona Jarrahi,1979937636
Adam Kaplan,2314486181
Zaid Towfic,1700893822
Shou Chen,2106924254
Muhuan Huang,2159239798
Guoling Han,2123854942
Zhangzhang Si,2128063805
Raghu Meka,2158754486
K.-L.J. Wong,2305151380
Dong-U Lee,2151463111
Sang Bae,2402247032
Ruiqi Gao,2752358457
Yijian Bai,2131243498
William Su,2527141390
Yi Luo,2422046070
Yuan Du,2163601146
Euisin Lee,2149187693
Z. Petros,2222468500
Joseph Teran,2165939150
Tao Tian,2141597023
Mohammad Ghodrat,1528211258
Obimdinachi Iroezi,2090111654
Juan Garcia,2585051079
Winston Wu,2303087378
Sai Tetali,2091834299
Jana Zarubova,2647470141
Peipei Ping,2064642656
Eric Rebeiz,2134187645
Yu-Ting Chen,2308594843
Chi-Cheng Chu,2159864174
Mason Porter,2052013336
Brent Longstaff,2097506429
Biao Zhou,2523194921
J.D. Villasenor,2973388292
Wentai Liu,2602824782
Darren Kessner,2042426896
Ian Ku,2068304324
Paul Martin,2191227815
Kasra Vakilinia,243651717
Nezih Yardimci,2051006971
Marvin Bergsneider,218081549
Roja Bandari,2168416133
Subramanian Iyer,2432793968
H. Sanchez,2611766545
Yang Lu,2596860551
Xiangrong Chen,2963782791
Ben Titzer,1403973511
Yahya Ezzeldin,2293314500
Ravi Netravali,1209808184_https://scholar.google.com/citations?hl=en&user=4C9naMgAAAAJ
Zhiyi Zhang,2755431209_https://scholar.google.com/citations?hl=en&user=SnBvjxEAAAAJ
Ghaith Hattab,2080689829
Steve Lu,2113015380
Parag Kulkarni,2162344033
Joe Chen,2168348647
C. Jones,2974774840
