Zhiqiang Gao,2636837050_https://scholar.google.com/citations?hl=en&user=3Vqkg-EAAAAJ
Glenda Thornton,2118746297
J. Schoeffler,2974780045
Berney Montavon,2380631450
Gopal Danaraj,340289531
Adam Dutko,2464748863
Nischal Koirala,2799147759
Ann Smeraldi,2948590440
Divya Vegi,2561791156
Poojitha Anne,2565113028
Dammannagari Reddy,2566243308
Saty Nadimpalli,2566296569
Mokshitha Pathuri,2303090538
Vandan Pendli,2303320686
Subhakar Yandrathi,2309850531
Maosheng Ye,2514136707
Simone Soares,2885061757
Yu Hu,2886869795
Jungsil Choi,2149144832
Moo-Yeal Lee,2108150948
Charles Alexander,2157647991
Mohammed Ali,2768935058_https://scholar.google.com/citations?hl=en&user=miVLXyIAAAAJ
Sriram Sanka,2229534496
Zheng Qinling,2224351811
P.J. Jalics,2973809459
Ryan Madden,2161519290
Chintan Trivedi,2601894033
Sanda Kaufman,2211146276
S.K. Misra,2973437568
Hao-Che Pu,2700213605
Cheryl Delgado,2110879559
Madhu Mudigonda,2514678979
Trisul Kanipakam,2515833041
William Lundstrom,1380769453
Brent Gardner,2229438559
Vijaya Konangi,2143856871
Eric Wallace,2147396182
Justin Perry,2149449819
Robert Ferguson,2235295536
Howard Paul,2564123981
Robert Abelman,2218476840
Lei Gu,2429068861
Reza Izanloo,2378613980
Mahmoud Moosavi,2494293684
Hongkai Yu,3013758042
Donald Golden,2104249367
R. Gottipati,2707555067
Mike DaArcy,2767024530
Xin Hui,2528003816
Anil Singaraju,2333473935
Nisarg Soni,2433245365
T. Arndt,2938970263
Dennis Davis,2985675617
P.P. Chu,2973571065
Kyra Rudy,2807779087
Kai Zhang,2309911417
Maureen Mitchell,2627706710
Oya Tukel,2324186225
Kaicheng Xie,2575835716
E. Salari,2322449778
Joanne Belovich,180922838
Yan Xu,2488674767
Satya Avula,2596575460
John Oprea,10256357
Shweta Chatrola,436867374
Heines Heines,1574662018
Andrew Lio,2173182995
N. Suresh,2692667815
Jen-Yi Chen,2575559902
Sai Jagadabi,2422263767
Raveendra Kumar,2432193943
Srikhar Sheela,2439931964
Xiaolong Li,2334106776
Sridhar Kalubandi,2495260012
Shola Otitoju,2525988179
William Thesling,2298307618
J.T. Sawicki,2972390961
A. Goo,2972702379
Shiv Mehra,2403348949
R.W. Murawski,2113262997
S.C. Bretmersky,2304828128
Steve Slane,2151927284
Mounir Ibrahim,2151164661
Pisan Watanasirisuk,2339994978
Waleed Smari,2674947711
Silu You,2696317685
George Chatzimavroudis,2048925826
Zhongzhou Chen,2109955818
Eddie Lam,2159079488
Lih Wang,2772698087
Curt Laubscher,2766544453
Barry Kornreich,2427696375
Nikhil Shampur,2033359077
Z. Gao,2887232052
