Author,Institution,Venue,Year,AdjustedCount
David P. MacKinnon,Arizona State University,Journal of the American Statistical Association,1994,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1995,2.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1980,0.5
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1987,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1981,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1986,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1982,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1983,1.0
Jitendra K. Tugnait,Auburn University,IEEE Transactions on Information Theory,1985,2.0
Erkan Nane,Auburn University,Annals of Probability,2009,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2005,0.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1992,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2004,0.8333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1983,1.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1995,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2010,0.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series B",1989,0.5
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1997,1.3333333333333333
Charles J. Colbourn,Arizona State University,Combinatorica,1995,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",2013,0.25
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1984,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,1997,1.0
Charles J. Colbourn,Arizona State University,Combinatorica,1991,0.2
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1991,0.3333333333333333
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2007,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1996,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",1989,1.0
Charles J. Colbourn,Arizona State University,Annals of Mathematics,1980,0.5
Charles J. Colbourn,Arizona State University,Annals of Mathematics,1988,0.3333333333333333
Charles J. Colbourn,Arizona State University,"Journal of Combinatorial Theory, Series A",2000,0.5
Charles J. Colbourn,Arizona State University,IEEE Transactions on Information Theory,2017,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1991,0.25
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series B",1988,1.0
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1998,1.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1988,0.3333333333333333
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1990,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1994,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series B",2003,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1987,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series B",2002,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1993,0.5
Christopher A. Rodger,Auburn University,"Journal of Combinatorial Theory, Series A",1984,0.3333333333333333
Gary Gruenhage,Auburn University,Journal of the American Statistical Association,1975,0.5
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1975,2.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series B",1976,0.3333333333333333
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1991,0.25
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1979,0.5
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1976,0.5
Charles C. Lindner,Auburn University,Combinatorica,2010,0.25
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1981,1.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1988,0.3333333333333333
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1972,1.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1974,1.0
Charles C. Lindner,Auburn University,"Journal of Combinatorial Theory, Series A",1992,0.5
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2009,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2007,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2010,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2015,1.0
Joseph M. Hilbe,Arizona State University,Journal of Statistical Software,2006,1.0
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2010,0.3333333333333333
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2003,1.2499999999999998
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1991,0.75
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2011,0.3333333333333333
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2007,0.5
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1993,0.3333333333333333
Kevin T. Phelps,Auburn University,Combinatorica,1991,0.2
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2013,1.0
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1978,1.0
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2008,0.3333333333333333
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1992,0.5
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1976,1.0
Kevin T. Phelps,Auburn University,Combinatorica,1984,0.5
Kevin T. Phelps,Auburn University,Combinatorica,1995,0.3333333333333333
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2005,0.3333333333333333
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",1986,1.0
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2002,0.5
Kevin T. Phelps,Auburn University,IEEE Transactions on Information Theory,2006,0.3333333333333333
Kevin T. Phelps,Auburn University,"Journal of Combinatorial Theory, Series A",2003,0.5
Olav Kallenberg,Auburn University,Annals of Probability,1978,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1987,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1976,1.0
Olav Kallenberg,Auburn University,Annals of Probability,2013,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1991,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1974,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1975,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1999,2.0
Olav Kallenberg,Auburn University,Annals of Probability,1996,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1981,1.0
Olav Kallenberg,Auburn University,Annals of Probability,1988,1.0
Olav Kallenberg,Auburn University,Annals of Probability,2008,1.0
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2011,0.3333333333333333
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2004,1.0
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2013,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2012,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2005,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2015,0.5
Cihan Tepedelenlioglu,Arizona State University,IEEE Transactions on Information Theory,2014,0.5
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series A",1986,0.5
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series B",1988,1.0
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series A",1983,1.0
Dean G. Hoffman,Auburn University,Combinatorica,2010,0.25
Dean G. Hoffman,Auburn University,Combinatorica,1991,0.2
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series B",1981,0.5
Dean G. Hoffman,Auburn University,"Journal of Combinatorial Theory, Series A",2015,0.25
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2019,0.6666666666666666
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2004,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2008,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",1996,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series A",1991,0.3333333333333333
Hal A. Kierstead,Arizona State University,Combinatorica,1996,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2020,1.0
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",1995,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series A",1996,1.0
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series A",1994,0.3333333333333333
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2009,0.5
Hal A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2006,0.2
Hal A. Kierstead,Arizona State University,Combinatorica,2009,0.5
Junshan Lin,Auburn University,Journal of Computational Physics,2014,0.3333333333333333
Junshan Lin,Auburn University,Journal of Computational Physics,2019,0.5
Lina J. Karam,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2000,0.5
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2009,0.5
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2017,0.4
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2020,0.6666666666666666
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2010,0.6666666666666666
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2019,0.3333333333333333
Yin Sun,Auburn University,IEEE Transactions on Information Theory,2013,0.3333333333333333
George C. Runger,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2009,0.25
George C. Runger,Arizona State University,Journal of Machine Learning Research,2009,0.25
George C. Runger,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2013,0.3333333333333333
George C. Runger,Arizona State University,Journal of the American Statistical Association,1996,0.5
Angelia Nedic,Arizona State University,IEEE Transactions on Information Theory,2013,0.6666666666666666
Andreas Spanias,Arizona State University,IEEE Transactions on Information Theory,2011,0.3333333333333333
Jessica McDonald,Auburn University,Combinatorica,2014,0.16666666666666666
Jessica McDonald,Auburn University,"Journal of Combinatorial Theory, Series B",2016,0.6666666666666666
Jessica McDonald,Auburn University,"Journal of Combinatorial Theory, Series B",2020,0.2
Nedret Billor,Auburn University,Annals of Mathematics,2019,0.3333333333333333
Gerald Farin,Arizona State University,Journal of Computational Physics,1997,0.5
Daniel W. Bliss,Arizona State University,IEEE Transactions on Information Theory,2012,0.3333333333333333
Christian Ringhofer,Arizona State University,Acta Numerica,1997,1.0
Henry A. Kierstead,Arizona State University,Combinatorica,1996,0.5
Henry A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",1984,1.0
Henry A. Kierstead,Arizona State University,Combinatorica,2010,0.75
Henry A. Kierstead,Arizona State University,Combinatorica,1984,0.3333333333333333
Henry A. Kierstead,Arizona State University,"Journal of Combinatorial Theory, Series B",2017,0.3333333333333333
Henry A. Kierstead,Arizona State University,Combinatorica,2017,0.3333333333333333
Henry A. Kierstead,Arizona State University,Combinatorica,2015,0.5
Hans D. Mittelmann,Arizona State University,Journal of Computational Physics,1990,0.5
Hans D. Mittelmann,Arizona State University,Journal of Computational Physics,2005,0.5
Hans D. Mittelmann,Arizona State University,IEEE Transactions on Information Theory,2012,0.6666666666666666
Gregory J. Puleo,Auburn University,IEEE Transactions on Information Theory,2018,1.5
Gregory J. Puleo,Auburn University,IEEE Transactions on Information Theory,2016,0.6666666666666666
Gregory J. Puleo,Auburn University,IEEE Transactions on Information Theory,2020,0.3333333333333333
Luc Teirlinck,Auburn University,"Journal of Combinatorial Theory, Series A",1986,1.0
Anna Scaglione,Arizona State University,IEEE Transactions on Information Theory,1999,1.1666666666666665
Anna Scaglione,Arizona State University,IEEE Transactions on Information Theory,2006,0.6666666666666666
Anna Scaglione,Arizona State University,IEEE Transactions on Information Theory,2008,0.5
Oliver Kosut,Arizona State University,IEEE Transactions on Information Theory,2019,3.0
Oliver Kosut,Arizona State University,IEEE Transactions on Information Theory,2018,0.6666666666666666
Oliver Kosut,Arizona State University,IEEE Transactions on Information Theory,2017,2.0
Oliver Kosut,Arizona State University,IEEE Transactions on Information Theory,2014,1.9999999999999998
Oliver Kosut,Arizona State University,IEEE Transactions on Information Theory,2008,0.5
András Bezdek,Auburn University,"Journal of Combinatorial Theory, Series A",1999,0.5
Rosemary A. Renaut,Arizona State University,Journal of Computational Physics,1992,1.0
Rosemary A. Renaut,Arizona State University,Journal of Computational Physics,1996,0.5
Rosemary A. Renaut,Arizona State University,Journal of Computational Physics,1999,0.5
Andréa W. Richa,Arizona State University,Combinatorica,1999,0.3333333333333333
Huan Liu,Arizona State University,Journal of Machine Learning Research,2004,0.5
Huan Liu,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2014,0.2
Huan Liu,Arizona State University,Journal of Machine Learning Research,2018,0.5
R. L. Eubank,Arizona State University,Annals of Statistics,1981,0.3333333333333333
R. L. Eubank,Arizona State University,Annals of Statistics,1995,0.25
R. L. Eubank,Arizona State University,Annals of Statistics,1982,0.3333333333333333
Thomas S. Denney,Auburn University,Annals of Statistics,2016,0.2
Teresa Wu,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2013,0.14285714285714285
Amitava Mitra,Auburn University,Journal of the American Statistical Association,1981,0.5
Amitava Mitra,Auburn University,Annals of Mathematics,1986,0.5
Peter E. Kloeden,Auburn University,Annals of Probability,2013,0.3333333333333333
Peter E. Kloeden,Auburn University,Annals of Probability,2011,0.3333333333333333
Peter E. Kloeden,Auburn University,Annals of Probability,2010,0.5
Peter E. Kloeden,Auburn University,Annals of Probability,2012,0.3333333333333333
Guanqun Cao,Auburn University,Annals of Mathematics,2019,0.3333333333333333
Douglas A. Leonard,Auburn University,"Journal of Combinatorial Theory, Series A",1984,1.0
Douglas A. Leonard,Auburn University,IEEE Transactions on Information Theory,1996,1.0
Douglas A. Leonard,Auburn University,IEEE Transactions on Information Theory,2001,1.0
Douglas A. Leonard,Auburn University,IEEE Transactions on Information Theory,1995,1.0
Douglas A. Leonard,Auburn University,"Journal of Combinatorial Theory, Series B",1993,0.5
Douglas A. Leonard,Auburn University,IEEE Transactions on Information Theory,1999,1.0
Douglas A. Leonard,Auburn University,"Journal of Combinatorial Theory, Series B",1990,1.0
Douglas A. Leonard,Auburn University,"Journal of Combinatorial Theory, Series B",1991,1.0
Douglas A. Leonard,Auburn University,IEEE Transactions on Information Theory,2000,1.0
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2016,1.0
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2006,0.3333333333333333
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2005,1.3333333333333333
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2002,1.5
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2001,0.3333333333333333
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2009,0.3333333333333333
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2000,0.5
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2008,0.6666666666666666
Junshan Zhang,Arizona State University,IEEE Transactions on Information Theory,2011,0.2
Lei Ying,Arizona State University,IEEE Transactions on Information Theory,2008,0.3333333333333333
Lei Ying,Arizona State University,IEEE Transactions on Information Theory,2014,0.5
Lei Ying,Arizona State University,IEEE Transactions on Information Theory,2007,0.3333333333333333
Lei Ying,Arizona State University,IEEE Transactions on Information Theory,2016,1.0
Lei Ying,Arizona State University,IEEE Transactions on Information Theory,2015,1.5
Lei Ying,Arizona State University,IEEE Transactions on Information Theory,2006,0.25
Lei Ying,Arizona State University,IEEE Transactions on Information Theory,2011,1.3333333333333333
Joohyung Lee,Arizona State University,Annals of Mathematics,2006,0.3333333333333333
Thi-Thao-Phuong Hoang,Auburn University,Journal of Computational Physics,2019,0.2
Alex Mahalov,Arizona State University,Archive for Rational Mechanics and Analysis,1990,0.3333333333333333
Alex Mahalov,Arizona State University,Archive for Rational Mechanics and Analysis,2012,0.5
Alex Mahalov,Arizona State University,Annals of Mathematics,2007,0.6666666666666666
Alex Mahalov,Arizona State University,Archive for Rational Mechanics and Analysis,2007,0.4
Alex Mahalov,Arizona State University,Journal of Computational Physics,2009,0.5
Alex Mahalov,Arizona State University,Journal of Computational Physics,2016,0.5
Alex Mahalov,Arizona State University,Journal of Computational Physics,1992,0.5
Krystyna Kuperberg,Auburn University,Annals of Mathematics,1996,1.5
Krystyna Kuperberg,Auburn University,Annals of Mathematics,1994,1.0
Douglas Cochran,Arizona State University,IEEE Transactions on Information Theory,2011,0.2
Liang Sun,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2011,0.3333333333333333
Ash Abebe,Auburn University,Annals of Mathematics,2018,0.3333333333333333
Bruno Welfert,Arizona State University,Journal of Computational Physics,2007,1.0
Rong Pan,Arizona State University,R Journal,2015,0.5
Jerry Alan Veeh,Auburn University,Annals of Probability,1986,0.3333333333333333
Jerry Alan Veeh,Auburn University,Annals of Probability,1983,0.3333333333333333
John W. Jones,Arizona State University,Compositio Mathematica,1990,1.0
Nicolas Lanchier,Arizona State University,Annals of Probability,2006,1.5
Nicolas Lanchier,Arizona State University,Annals of Probability,2009,0.8333333333333333
Nicolas Lanchier,Arizona State University,Annals of Probability,2015,1.0
Nicolas Lanchier,Arizona State University,Annals of Probability,2012,1.0
Nicolas Lanchier,Arizona State University,Annals of Probability,2013,0.5
Nicolas Lanchier,Arizona State University,Annals of Probability,2011,0.6666666666666666
Goran Konjevod,Arizona State University,Combinatorica,2009,0.5
Basil Nicolaenko,Arizona State University,Annals of Mathematics,2007,0.6666666666666666
Jie Shi,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,0.5
Yalin Wang,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2017,0.1111111111111111
Yalin Wang,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2015,0.14285714285714285
Yalin Wang,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,0.5
Chitta Baral,Arizona State University,Annals of Mathematics,1992,0.3333333333333333
Chitta Baral,Arizona State University,Annals of Mathematics,2007,0.5
Chitta Baral,Arizona State University,Annals of Mathematics,1997,1.3333333333333333
Matthew Scotch,Arizona State University,Journal of Statistical Software,2016,0.25
Wensong Chu,Arizona State University,IEEE Transactions on Information Theory,2005,0.5
Wensong Chu,Arizona State University,IEEE Transactions on Information Theory,2003,0.5
Wensong Chu,Arizona State University,IEEE Transactions on Information Theory,2004,0.5
Marcus Herrmann,Arizona State University,Journal of Computational Physics,2008,1.0
Marcus Herrmann,Arizona State University,Journal of Computational Physics,2010,1.0
Marcus Herrmann,Arizona State University,Journal of Computational Physics,2005,1.0
Marcus Herrmann,Arizona State University,Journal of Computational Physics,2017,0.5
Marcus Herrmann,Arizona State University,Journal of Computational Physics,2012,0.3333333333333333
Marcus Herrmann,Arizona State University,Journal of Computational Physics,2018,0.3333333333333333
Matthew M. Peet,Arizona State University,Journal of Machine Learning Research,2020,1.0
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,1984,1.0
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,1985,2.0
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,1988,1.5
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,1990,2.5
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,1989,1.5
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,1991,1.0
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,1993,1.0
Krishnan Balasubramanian,Arizona State University,Journal of Computational Chemistry,2020,1.0
Rodrigo B. Platte,Arizona State University,Journal of Computational Physics,2017,0.3333333333333333
Dario Fertonani,Arizona State University,IEEE Transactions on Information Theory,2012,0.5
Dario Fertonani,Arizona State University,IEEE Transactions on Information Theory,2010,1.0
Edward E. Slaminka,Auburn University,Journal of Computational Physics,1992,0.5
Susanna Fishel,Arizona State University,Annals of Mathematics,2008,0.6666666666666666
Susanna Fishel,Arizona State University,"Journal of Combinatorial Theory, Series A",2015,1.0
Susanna Fishel,Arizona State University,"Journal of Combinatorial Theory, Series A",2019,0.3333333333333333
Yuan Zhang,Arizona State University,IEEE Transactions on Information Theory,2012,0.5
Yuan Zhang,Arizona State University,IEEE Transactions on Information Theory,2014,0.5
Thomas A. Foley,Arizona State University,Journal of Computational Physics,1993,0.3333333333333333
Adithya Rajan,Arizona State University,IEEE Transactions on Information Theory,2013,0.5
Adithya Rajan,Arizona State University,IEEE Transactions on Information Theory,2015,0.5
Lalitha Sankar,Arizona State University,IEEE Transactions on Information Theory,2017,1.0
Lalitha Sankar,Arizona State University,IEEE Transactions on Information Theory,2007,0.3333333333333333
Lalitha Sankar,Arizona State University,IEEE Transactions on Information Theory,2011,0.5
Lalitha Sankar,Arizona State University,IEEE Transactions on Information Theory,2009,0.3333333333333333
Sebastien Motsch,Arizona State University,Journal of Computational Physics,2015,0.3333333333333333
Sebastien Motsch,Arizona State University,Journal of Computational Physics,2017,0.3333333333333333
Soren Jordan,Auburn University,R Journal,2019,0.5
Brett Kotschwar,Arizona State University,Journal of Differential Geometry,2015,1.0
David A. Grable,Auburn University,Combinatorica,1999,1.0
David A. Grable,Auburn University,"Journal of Combinatorial Theory, Series B",1993,1.0
David A. Grable,Auburn University,"Journal of Combinatorial Theory, Series A",1994,1.0
Martin Reisslein,Arizona State University,IEEE Transactions on Information Theory,2008,0.25
William N. Hudson,Auburn University,Annals of Probability,1986,0.3333333333333333
William N. Hudson,Auburn University,Annals of Probability,1982,0.3333333333333333
William N. Hudson,Auburn University,Annals of Probability,1975,0.5
William N. Hudson,Auburn University,Annals of Probability,1983,0.3333333333333333
William N. Hudson,Auburn University,Annals of Probability,1981,0.5
William N. Hudson,Auburn University,Annals of Probability,1979,0.5
William N. Hudson,Auburn University,Annals of Probability,1980,0.5
William N. Hudson,Auburn University,Annals of Probability,1976,1.0
Kyle D. Squires,Arizona State University,Journal of Computational Physics,1998,0.3333333333333333
Landon Rabern,Arizona State University,Combinatorica,2018,1.0
Landon Rabern,Arizona State University,"Journal of Combinatorial Theory, Series B",2020,1.0
Landon Rabern,Arizona State University,Combinatorica,2017,1.0
Landon Rabern,Arizona State University,"Journal of Combinatorial Theory, Series B",2012,1.0
P. Richard Hahn,Arizona State University,Journal of the American Statistical Association,2015,1.0
P. Richard Hahn,Arizona State University,Journal of the American Statistical Association,2013,0.3333333333333333
P. Richard Hahn,Arizona State University,Journal of the American Statistical Association,2016,0.6666666666666666
P. Richard Hahn,Arizona State University,Journal of the American Statistical Association,2018,0.3333333333333333
P. Richard Hahn,Arizona State University,Annals of Statistics,2015,0.6666666666666666
Rodolfo E. Diaz,Arizona State University,Journal of Computational Physics,2007,0.3333333333333333
Rodolfo E. Diaz,Arizona State University,Journal of Computational Physics,2005,0.5
Sethuraman Panchanathan,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2015,0.2
Sethuraman Panchanathan,Arizona State University,Annals of Mathematics,2015,0.3333333333333333
Mojtaba Rahmati,Arizona State University,IEEE Transactions on Information Theory,2013,0.5
Mojtaba Rahmati,Arizona State University,IEEE Transactions on Information Theory,2015,0.5
J.T. Aberle,Arizona State University,Journal of Computational Physics,2007,0.3333333333333333
Genghua Fan,Arizona State University,"Journal of Combinatorial Theory, Series B",1997,1.0
Genghua Fan,Arizona State University,"Journal of Combinatorial Theory, Series B",1994,0.5
Genghua Fan,Arizona State University,"Journal of Combinatorial Theory, Series B",1996,0.5
Genghua Fan,Arizona State University,"Journal of Combinatorial Theory, Series B",2000,0.5
Genghua Fan,Arizona State University,"Journal of Combinatorial Theory, Series B",1998,1.0
Genghua Fan,Arizona State University,"Journal of Combinatorial Theory, Series B",1993,1.0
Dan Cheng,Arizona State University,Annals of Probability,2016,0.5
Dan Cheng,Arizona State University,Annals of Statistics,2017,1.0
Joseph Majdalani,Auburn University,Journal of Computational Physics,2018,0.5
Ya-Chen Chen,Arizona State University,"Journal of Combinatorial Theory, Series B",2003,1.0
Ya-Chen Chen,Arizona State University,"Journal of Combinatorial Theory, Series B",2000,1.0
Ya-Chen Chen,Arizona State University,Combinatorica,2002,0.5
Violet R. Syrotiuk,Arizona State University,IEEE Transactions on Information Theory,2007,0.3333333333333333
Juan Lopez,Arizona State University,Journal of Computational Physics,1998,0.5
Juan Lopez,Arizona State University,Journal of Computational Physics,2002,0.6666666666666666
Juan Lopez,Arizona State University,Journal of Computational Physics,2012,0.3333333333333333
Nematollah Iri,Arizona State University,IEEE Transactions on Information Theory,2019,1.0
Lei Yuan,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2013,0.3333333333333333
Toby Sanders,Arizona State University,Journal of Computational Physics,2017,0.3333333333333333
Italo R. Lima,Auburn University,Annals of Mathematics,2019,0.3333333333333333
Edwin C. Ihrig,Arizona State University,"Journal of Combinatorial Theory, Series B",1986,1.0
Edwin C. Ihrig,Arizona State University,"Journal of Combinatorial Theory, Series B",1989,1.0
Yang Jiao,Arizona State University,Geometry & Topology,2011,0.25
Yunpeng Zhao,Arizona State University,Annals of Statistics,2012,0.3333333333333333
Yunpeng Zhao,Arizona State University,Annals of Statistics,2015,0.2
Yunpeng Zhao,Arizona State University,Journal of the American Statistical Association,2019,0.25
Kevin Schmidt,Arizona State University,Journal of Computational Chemistry,1991,0.25
Hendrik J. Kuiper,Arizona State University,Archive for Rational Mechanics and Analysis,1974,1.0
Don A. Jones,Arizona State University,Journal of Computational Physics,2005,1.0
Neal Bushaw,Arizona State University,Combinatorica,2017,0.16666666666666666
Yang Weng,Arizona State University,IEEE Transactions on Information Theory,2011,1.5
Christopher Carl Heckman,Arizona State University,"Journal of Combinatorial Theory, Series B",2006,0.5
Ming-Hung Kao,Arizona State University,Journal of Statistical Software,2009,1.0
Ming-Hung Kao,Arizona State University,Annals of Statistics,2013,0.25
Ming-Hung Kao,Arizona State University,Annals of Statistics,2015,0.5
Jiachun Liao,Arizona State University,IEEE Transactions on Information Theory,2019,0.5
Kevin W. J. Kadell,Arizona State University,"Journal of Combinatorial Theory, Series A",1985,1.0
Kevin W. J. Kadell,Arizona State University,"Journal of Combinatorial Theory, Series A",1999,1.0
Kevin W. J. Kadell,Arizona State University,"Journal of Combinatorial Theory, Series A",2000,1.0
Kevin W. J. Kadell,Arizona State University,"Journal of Combinatorial Theory, Series A",1997,1.0
Kuldeep Kulkarni,Arizona State University,IEEE Transactions on Pattern Analysis and Machine Intelligence,2016,1.0
Dennis L. Young,Arizona State University,Journal of the American Statistical Association,1976,1.0
Dennis L. Young,Arizona State University,Annals of Mathematics,1971,0.5
Dennis L. Young,Arizona State University,Annals of Statistics,2003,0.3333333333333333
J. S. Boland,Auburn University,IEEE Transactions on Information Theory,1978,0.25
Brandon E. Merrill,Arizona State University,Journal of Computational Physics,2019,0.5
