Jiawei Han,2121939561_https://scholar.google.com/citations?hl=en&user=Kv9AbjMAAAAJ
Shiguang Wang,2125144709
Mehedi Bakht,2223250610
Larry Rendell,2213964690
Pooya Khorrami,1986428633
Kevin Karsch,2060257075
Constantine Polychronopoulos,2301418095
A. Awan,2488213927
Lu-Chuan Kung,2115510880
Hyungsul Kim,2138416850
Joseph Geddes,2131450576
Chang Yu,2818513563
Huajie Shao,2535364173
Enric Xargay,1857142806
Robin Berthier,1963683198
Arun Mallya,2288323287
Carolyn Beck,2146652712
Geoffrey Herman,2148163125
Woo-Seok Choi,2577215349
Daniel Katz,2162987587
Bradley Sutton,2160885005
Marina Danilevsky,2046577858
Motahhare Eslami,2125475009
Haitham Hassanieh,35015565
Ruth Aydt,1993633336
Mert Dikmen,2108902219
Jana Diesner,1792315141
Jason Haas,2306600810
Leonardo Trabuco,2002073013
Arvind Giridhar,2208423876
Yuelin Du,2152966358
Xia Gao,2308408648
Patrick Meredith,2160252446
Tae-eun Kim,2297732904
Christopher Fletcher,2104470614
Tom Paine,2198667534
Varsha Hedau,2168760521
Brighten Godfrey,2027977594
Youngihn Kho,1968910422
Honglei Zhuang,2128637305
Mohsen Vakilian,1931480350
Qi Zhu,2726840914
Adam Bates,2104257816
Zhenyu Yang,2618362656
Gang Yao,2286345499
Mrunmay Talegaonkar,1796358135
George Gross,2304487507
Timothy Cole,2147343893
Xuan Wang,2741408041
Nam Pham,2308101520
Yu Meng,2889929441
Lawrence Erickson,https://scholar.google.com/citations?hl=en&user=dumYrW8AAAAJ
