George Thiruvathukal,45013011_https://scholar.google.com/citations?hl=en&user=Ls7yS0IAAAAJ
Baltazar Espiritu,2028585267
Ron Price,2297687672
Arcot Chandrasekhar,2463406826
Alamelu Ramanathan,2232485071
B. Venugopal,2775097719
Umed Temurshoev,1774114477
P. Infant,2762997606
Michael Murphy,2890002528
Paulraj. T,2700247854
Alvaro Nozal,2787127414
Peter Shillingsburg,2272836267
Gastone Celesia,285959355
Brook Abegaz,2966215560
R. Deepa,2633936189
D. Shahila,2949668639
S. Merlin,2754681699
C. Perales-González,3011125550
P.F. Nabicht,2570795622
Pilar Campoy-Muñoz,2492181904
Saggurthi Babu,2897258383
Arnold Nat,2661157230
Mariano Carbonero,2275435625
David Lee,2599783751
Shireen Catterall,2046490171
Thomas Hatzopoulos,1803956953
Steven Reisman,2539601542
James Dechene,2645479142
Juan Gutiérrez-Cárdenas,2522042834
Valantina Stephen,2304882550
Maciek Nowak,2108404987
Daniel Kissel,1991237242
William Arnold,2581484762
Albert Herlinger,519090930
Celesia Gg,2679240854
Pilar Castro-González,761699029
Tobin Hensgen,1522599775
J. Kueber,2972439216
B. Abegaz,2973193606
Matthew Butcher,2530437314
Klapper L,2551281536
Md. Hussain,2268367464
P. Millán,3027241534
B. Czejdo,2973953860
Cezary Sobaniec,2277803936
Thomas McLean,2486251022
N. Ula,2715344085
Gloria Phillips-Wren,2438139326
George Nezlek,1259858699
Pius Prihatin,2160343815
José Ariza-Montes,2035674422
Emilio Morales-Fernández,2421448645
K. Kunaraj,390026345
Neil Kingensmith,3029814475
David Varona-Aramburu,2530755778
Paula Herrero-Diz,2586503664
R. Maheswari,2055899376
Emil Posavac,89239473
Alfonso Martínez-Estudillo,2496808250
Stanley Sheft,2918858389
Robert Dewell,2442131226
Serhat Cicekoglu,2230141543
Sharvari Kulkarni,2318137938
Myungok Yim,2904405633
Peter Dordal,2397407422
R Banu.,2310844357
J Gopal.,2721459380
J. Trout,2681396309
Weine Fs,2540801959
Isabel Lopez-Cobo,2740848991
A. Swarnalatha,3015615062
Clara Burgo,2151616947
Lalita Jagadeesan,2936952188
Lázaro Alvarado-Barrios,2967428134
Juan Cardona,2996500490
Fabio Aguilar,3000622131
Luisa Parody,3037706022
M. Ramasubramanian,2969375994
Jonathon Brenner,2225955921
Deepa Tholath,2187871471
Fr. S.J.,2558902036
Polina Pine,2580999196
Margaret Callahan,2800352481
Gonzalo Villagrán,2974186235
S. Ravikumar,2600585769
S. Suthir,2229585505
Albert Du,3011615470
Marcos Leal,3012047510
Edgard Oliviera,3012211910
Rejoice Jebamalaidass,3012278470
Juan Arjona-Fuentes,2564509771
Ammam.Jaya Rani,3018967967
J.Vishnu Reddy,3018988539
V.Ravi Chowdary,3019161133
T.Do Saikumar,3019479102
Sathuluri Rao,3019710715
JoAnn Verdin,2972645938
W. Theresa,2981253087
Bhamidi Rama,3019249152
Murphy Patrick,3019706867
Nesrin Dogan,2494368913
L.B. Leybovich,2601197762
Leo Cheung,2307123137
Yolanda Muñoz-Ocaña,2938223166
I. Jingle,2221992692
D. Miriam,2583813907
R. Tindale,1977939259
Jeremy Winget,2637733959
Carmelina Ierardi,2902149919
Erwin Epstein,2116421527
Alice christy,2993054020
Nirmal .G,2993158177
Vignesh .m,2994257041
Florence Chee,2472167302
Padma Atmakuri,2993105091
T. Babu,2994192226
Reena Murray,2953733959
Mohamed K,2955106571
Jayshree Suresh,2964236881
Brihat Sharma,2960126622
Fanyu Zuo,2968304381
Kiran Lalwani,2971475262
S. Balaji,2949958395
S. Wenisch,3000626130
F. Bosco,3000688623
Stella Joseph,3011562225
Jonathan Lillie,2799648678
M. Augustine,2998246290
B Prabha,3011653721
Arthur Lurigio,12792612
Michael Buer,1487039841
M. Ezhilmaran,2569788926
B. Gandhi,2613809475
M. Ardekani,2286254291
Eben English,2644397512
James Pellissier,2950514683
Joseph King,2642589762
Farsakian Lr,1218115611
Sujatha Anand,2894671705
Chrisilla S,2895706811
Angel S,2895716135
Y. Suresh,2902235841
Pokala Phanitej,2902265499
Ch. Nagamani,2776418699
Schulte Schulte,2673275792
Miriam Angela,2893085855
Nisha Arunkumar,2893781154
Jesús Conde-Jiménez,2946554591
Shabana H,3004001235
J Rajan,3004328953
W.E. Langbein,2028927818
T. Ragni,2756490837
Y. Kumar,2756884483
V. Rani,2758100327
Abdul Azeem,2758174728
Santhikiran Bathulla,2759304320
R. Bhavani,2759971506
Mallikharjuna Sathuluri,2760134204
G. Prasad,2760160251
Salud Millán-Lara,2651348844
H. Prasanth,2810947280
Antonio Valero,2320464194
Cheryl Paulus,2327892723
Shirley Simon,2499013974
Supriya R,2617408788
Arumuga R,2617815579
Infant A,2618313855
Abarna M,2619752347
Mohammad AliHussain,2558173944
Svetlana Dembovskaya,2567110163
L. Kynast,2015624481
C.J. Kampschoer,2222743425
C.J. Robinson,2318496551
V. Rao,2560787174
Emma Highland,2222306642
Amanda Misch,2223368397
Kelly Boyd,2230187693
Sushma Reddy,2600980284
Robert Bucholz,2499277442
Carmen Gómez,2517165806
Don Wee,2226779349
Yogesh Kanitkar,1992224240
G.K. Thiravathukal,2226279657
K. Laufer,2638121343
Paul Voelker,2166765265
S. Prabu,2542073916
B. Arutselvan,2224827443
Ana Lucia-Casademunt,1224114048
Naga B,2576280751
Antonio Lopez,2288730433
Jay Friedman,2883335558
Steve Goodman,2612182829
Sean O’Brien,2616602260
Yinna Zhang,2314402124
Mark Mayzner,2313257400
Janna Saslaw,2631477832
Jill Nagy,2667467917
Dawn Harris,2619515982
M.J. Krasin,2890643610
Radha Jagadeesan,2921313815
M.R. Kraft,2146227374
Francisco Marténez-Estudillo,244713791
Kimberly Fath,2615749495
Lee Hood,2080732368
Jenny Devivo,2406754295
Kenneth Messa,2344703506
Margaret Heller,2564452910
E. Barron,2631239364
Ying Sai,2912245630
Jean Gudenas,2322099519
Jessica Ratner,2569935198
Brian Stanko,2038310877
Ellen Landgraf,2180004176
N. Chandrasekharan,2636266032
Christine Berrong,220171972
Kathryn Young,2522341209
V Premalatha.,2223479859
Eric Chan-Tin,https://scholar.google.com/citations?hl=en&user=WfuFGnsAAAAJ
Andrew Harrington,https://scholar.google.com/citations?hl=en&user=GPnrCzYAAAAJ
Robert Yacobellis,https://scholar.google.com/citations?hl=en&user=5oL6e14AAAAJ
