William Gerace,1752357878
Lisa Ballesteros,2101319656
Lang Lin,2178992099
Van Dang,2160214997
Ramin Soltani,2224305312
Xiaozheng Tie,2096248929
Meng-Chieh Chiu,2155105488
Nicholas Monath,2695737793
Jagrati Agrawal,2974677082
David Westbrook,1385974895
Marinos Vouvakis,1613698202
Sundar Krishnamurty,2156390418
Ting Yang,2137797085
Thanh Tran,2103733490
W. Adrion,2437599486
Arunkumar Vijayakumar,2222745611
Matheus Gadelha,2714239667
James Schafer,2146673317
Justin Fermann,1214809488
David Pinto,2171533366
Shashank Shanbhag,2241875274
Jay Taneja,2101909294
Junning Liu,2103991024
Daniel Cohen,2460809916_https://scholar.google.com/citations?hl=en&user=BGSFslUAAAAJ
Nicholas Reich,2006466701
Ian Grosse,2001843932
Sainyam Galhotra,1966014744
Kedar Bellare,1829235141
Gayane Vardoyan,2229420219
Vikas Kumar,2280194225
Jim Burrill,2819110434
Heather Conboy,2035417893
Rance Rodrigues,2244445943
Yao Chen,2107201848
David Skalak,56345256
Neil Macmillan,2430595468
Eric Lyons,1982146022
Paul Siqueira,2246048417
Robert Dufresne,2120539219
Qifeng Lu,2691680915
Marc Maier,2114198440
Shehzaad Dhuliawala,2770184732
Jeevan Shankar,2597097296
John Foley,2893264048
Clemens Rosenbaum,2743599202
Xiaolan Wang,2120026542
H. Elliott,2117683702
Navnidhi Upadhyay,2579189085
Youngho Kim,2311461839
Stephen Harding,2103251216
Henry Feild,2083481152
Aaron Schein,2158014761
Azadeh Sheikholeslami,2019234289
Abhyuday Jagannatha,2336617339
Vinay Patil,2305208419
Ye Zhuo,2779157187
Karl Schultz,2171179144
Shiri Dori-Hacohen,687633372
Stephen Lee,2232362789
Kyle Wray,2209404187
Russell Swan,2105117427
Walter Brown,2288315638
Xiaojian Wu,2186470823
Raphen Becker,2476121350
Saumil Joshi,2133618369
Xiaoyan Li,2293923479
H. Han,2973380770
Daiheng Ni,2073670048
H.H. Feng,2423748945
Ao Feng,2133916587
David McLaughlin,2471572649
Chaniel Chadowitz,2231713710
Zhihong Lu,1967018602
Peter Haas,2118460571_https://scholar.google.com/citations?hl=en&user=PeCI8KcAAAAJ
Natasha Mohanty,2271035749
Kourosh Danai,206967536
Samuel Huston,2093587599
William Leonard,2571997754
Matthew Rattigan,2041093899
Rivu Midya,2525371084
Nazanin Takbiri,2612891836
Edward Mazur,2231293472
Mohammad Rostami,2508026924
Haluk Derin,36516646
Niall Emmart,349792065
Gabriel Tarasuk-Levin,219527375
Joydeep Biswas,2052060686
Lucas Chaufournier,2561010398
Deepak Unnikrishnan,2107781211
Milad Nasr,2537287136
Duo Liu,2305230978
Adam Polak,2138761298
Courtney Wade,2181655765
Charles Clifton,2147869870
Xiaoqin Zhang,2129679772
James Salehi,1971000731
Soumyabrata Pal,2750989610
Jung Yoon,2115904698
Vimal Mathew,2145551959
Hee-Tae Jung,2137211842
Xiaotao Liu,2098525246
Victor Wu,2098934872
Shiva Asapu,2779465070
Abhishek Dwaraki,337970636
Marc-Allen Cartright,675556096
Bin Chen,2310282352
Stephen Giguere,2439408985
Luis Pineda,2200689740
O. Mathias,2421506555
Mohamed Musthag,319674129
Haopeng Zhang,2129343070
Desislava Petkova,1930579296
Andre Barreto,2916835726
Nadia Ghamrawi,2223963508
Traci Hess,2133796027
Santosh Khasanvis,153435503
John Staudenmayer,2064061099
Richard Freedman,2132395908
Mohammad Nekoui,872854487
Gilad Adiv,56321034
Jiangtao Yin,2162592334
Jie Sun,2304955791
Charles Schweik,342792096
Rahul Gupta,2428762169
Zhuorui Yang,2111364577
Andrew Lan,2110067709
Jonathan Aseltine,2114531493
Devesh Agrawal,2141650307
Ali Khajeh-Saeed,235333167
Shiv Shankar,2725287278
Arunachalam Annamalai,2226908869
Cagatay Capar,1751190572
Divyashri Bhat,2228788815
Addison Mayberry,2231812817_https://scholar.google.com/citations?hl=en&user=G5HgNHQAAAAJ
Rachee Singh,2313637270
Haw-Shiuan Chang,2709449030_https://scholar.google.com/citations?hl=en&user=fdGXVd4AAAAJ
Ismet Yalniz,1971062500
Zhaoliang Lun,2145196577
Régis Vincent,2115886108
Ping Xuan,2038759651
J. Perot,1615042543
Robert Kozma,2202541541
Elizabeth Henneman,240657160
Pallika Kanani,2158429353
Michael Boratko,2806714422
Vikas Khandelwal,2100891832
Prasad Shabadi,1993735664
Aditya Yadav,2307580741
Siva Dhanuskodi,2030191302
Venkatesh Murthy,2426777079
Hüseyin Oktay,2143729073
Luiz Amaral,2237260546
Jian Liang,2237149091
Rui Wang,https://scholar.google.com/citations?hl=en&user=MvEiaLgAAAAJ
Zhaoyu Gao,https://scholar.google.com/citations?hl=en&user=usKmny0AAAAJ
Tauhidur Rahman,https://scholar.google.com/citations?hl=en&user=mc9BzYwAAAAJ
Sunghoon Lee,https://scholar.google.com/citations?hl=en&user=uxmcDu8AAAAJ
Mohammad Hajiesmaili,https://scholar.google.com/citations?hl=en&user=XCGuYKIAAAAJ
Dmitry Nowicki,https://scholar.google.com/citations?hl=en&user=Zkq2rH0AAAAJ
Jong-Chyi Su,https://scholar.google.com/citations?hl=en&user=jeKOwvsAAAAJ
Surya Mudiyanur,https://scholar.google.com/citations?hl=en&user=FD_jQ50AAAAJ
Tony Ohmann,https://scholar.google.com/citations?hl=en&user=cXT0cLYAAAAJ
Hamed Bonab,https://scholar.google.com/citations?hl=en&user=5t84LogAAAAJ
Li Ku,https://scholar.google.com/citations?hl=en&user=YxXkWBAAAAAJ
Md Aowal,https://scholar.google.com/citations?hl=en&user=hKrM7rsAAAAJ
Shib Dasgupta,https://scholar.google.com/citations?hl=en&user=0KpQR94AAAAJ
