Vassil Roussev,2052838702_https://scholar.google.com/citations?hl=en&user=dOcAjLEAAAAJ
George Ioup,2095253623
Lili Bruess,2313518290
Juliette Ioup,871341714
Adam Loup,2907009849
Denson Smith,2751509746
Anirudh Paduru,2005286117
Brandon Fouts,2266843709
J.F. Reynaud,2722668221
M. Rahman,2593153279
Steve Alleman,2323017443
Mohamad Qayoom,2321341654
Qi Zhang,2444079396
Edwin Stevens,2148733372
Abha Verma,2164138395
Priyatham Ramidi,2910069225
Meikang Qiu,2708935998
Hari Nandiraju,2224972120
Bishwas Baral,2922183957
Germana Peggion,2306541211
A.M. Paduru,2973645160
G.P. Priego,2576551684
A. Alsamman,2643100251
Swapna Kura,2665887829
Dave Wilson,2053217335
Jeffrey Oescher,2548463823
Karen Smith-Gratto,2704968325
Lawrence Klos,2973770739
Eric Normand,2157840126
Sheila Tejada,2988903605
Elias Ioup,2974327912
Robert Shenk,2686482796
Atsuyuki Naka,1975723445
Penny Speaker,2278317316
W. Morgan,2492309512
N. Pano,2229410431
Zuliang Jiang,2100109658
Iñigo Incer,2256403761
Richard Goodman,2789554483
Kevin Merriman,2275697443
James Sauvinet,2077783101
Debra Keelen,2602640477
Ishwor Aryal,2341400651
Philip Katner,2226731093
Brian Li,2230410156
Farinaz Boudreaux,2230723236
N. DePano,416177669
Yashwanth Kondeti,2517001785
Daniel Braswell,2053741651
R. Jenevein,2703357791
Nancy Autin,2268065607
Russell Trahan,2602978996
Li Wang,2430276810
Richard Speaker,2477291656
Florence Jumonville,1479952635
Alison Griffith,3023846632
Russell Lacey,2735251980
Madalina Barbu,2012156775
M. Mohandas,2131856811
N.A. Chaudhry,2525308026
Gregory Stein,2100260318
Kathryn Butcher,2599448107
Ahmad Mustafa,2097413999
G. Welch,2100421007
Thomas Tickle,2229583905
A. Arriaga,2678741287
Xin-Ming Huang,2697374375
Chigozie Obiegbu,347524466
B.A. Chauvin,2006801332
Guilbault Gg,2631210339
Scott Whittenburg,1931087332
Nan Li,2244455137
Yu Xu,2311476919
James Wen,2332087520
A. Rock-Faucheux,1483522834
Mary Williams,2139135369
K. Lecluyse,2146666042
Maurice Villere,1134513194
Barry Render,1228416146
G. Stearns,2303596334
Ralph Stair,2744753967
Bruce Dorval,2315365235
Mohamad Habli,2684138315
Edwin Russo,2112356823
John Crisp,2483998960
John Bonnette,2332834568
J. Stelly,2290771352
K. Grant,2561420150
E. Murphy,2633168493
Terry Riemer,1984983975
Marc Losh,2000281667
Vern Baxter,2161324597
K.W. Holladay,2687622882
Myron Katz,2226377962
Cathy Tijerino,2301275624
Howard Jones,2274483353
Ivan Wallace,2769678370
Md Hoque,https://scholar.google.com/citations?hl=en&user=8tQmDZQAAAAJ
