Jie Wu,2103022394_https://scholar.google.com/citations?hl=en&user=BVlfmXMAAAAJ
Hongxu Zhang,2563610135
N. Jhala,2908989195
D. Houser,2910008306
G. Shadhin,2911076491
T. Farkas,2911081633
Y. Persidsky,2911218382
Jesse Glass,2129826158
Lihong He,2580895423
Xiaonan Lu,2161129269
Saeedeh Ziyabari,2776808391
M. Benbouchta,2183981257
Kristiyan Georgiev,2168276555
Logan Molyneux,2105195616
John Mountney,2149081983
Harald Weiler,2139589951
Michael Korostelev,1984438099
Malek Athamnah,2307173545
Michael Klein,2955856356
Clinton Davis,2142124700
Chiu Tan,2139448578_https://scholar.google.com/citations?hl=en&user=pAnXSFAAAAAJ
Jack VanDerhei,2802297815
Daniel Szyld,2272828
K.R. Krishnamachari,2053741821
Martin Pavlovski,2592722931
Paul Weinberg,2102748419
Julie Fesenmaier,2274296360
Chenglong Fu,2898069000
Emily Keshner,2892769185
Eva Weltin,2558067368
Lillian Veloso,2784759987
Dong Wang,2588281733
Kun Tang,2124831688
Jacob Ufberg,188693958
Junchao Xia,2558897007
Marija Stanojevic,2902403554
Zhewei Zhang,2114916255
SungYong Um,2168699160
Bin Zhang,2616942008
Carol Brandt,2478997330
Patrick Hammer,2611461223
Ryan Houlihan,2227019607
Elizabeth Groff,2083909347
Sanjeev Sondur,2782916952
Steven Bell,2105611661
Carole Tucker,2132096302
U.O. Ofoegbu,749254460
Christian Ward,2231296407
Michael Rivera,2608699127
Julie Booth,2294969957
Shivayogi Hiremath,2168074328
Paul Shamble,2288654793
Rajiv Tewari,2286330254
Jamie Reilly,2110854920
JaeHwuen Jung,2137679975
Paul LaFollette,2137872002
Krystal Lewis,3038023461
Mark Groman,2225544468
Jake Roemer,2410232060
Ross Creed,2227771751
Joseph Jupin,2222648555
Robert Weisberg,2060572486
Alan Izenman,2026597128
Jeremiah Elliott,2168554501
D. Wilson,2635682643
Golam Kayas,2904531509
Jonathan Xu,2588156543
Andrew Powell,2475960045
Peiyi Li,2169821008
Peng He,2258007162
David Wald,2150182192
Matthew Cupal,717911638
Ashis Chanda,2746579245
Vladimir Ouzienko,294516646
Tony Petrucci,2038134253
Maxim Shapovalov,2950599181
Pei-Yu Chen,2628567627
Richard Niemiec,2678052936
Joseph Romriell,224302267
Allen Shupe,2259624076
Ingrid Olson,2250383068
Aniruddha Maiti,2554147965
Peter Warnes,2048661856
Richard Fuhler,2073511067
Simon Davidson,2595660400
Arthur Temple,2615350738
Mohammed Khan,2616482051
P. Pal,2439703450
Muffy Siegel,2315200920
Janelle Bailey,2171488642
Baiocchi Max,2962601496
Frederick Wilson,2340344949
Ralph Benjamin,2785686850
Jack Leendertz,2786191890
IJ Craddock,2786722061
Alan Preece,2787732901
Jelena Gligorijevic,2795151704
Sheng Zhang,2945971605
N. Mecca,2784333127
Anis Alazzawe,2719066701
Le Shu,2171431502
Marla Wolfson,2045003323
Liya Ma,2558616383
Joseph Ungari,2978875023
Patrick Samey,2979163579
Thomas Shaffer,2423826097
Janne Pfeiffenberger,3015613314
Xiang Li,2735226058
David LeBard,2393518662
T. Ananthapadmanabha,2590565525
Turash Mosharraf,2763605816
S.I. Alekseev,2163532573
Aneta Pavlenko,2111441207
Bizath Taqui,2859759117
Beibei Xu,2620490352
Sarah Lehman,2776749688
Jashmin Shah,2128792135
Maria Cipollone,2082740401
Jong-Ha Lee,2127697589
Alessandro Napoli,2112344737
Karthikeyan Balasubramanian,2937154167
Kaijun Wang,2321708311
David Jungreis,2300518068
G. Suarez,2443639326
Amid Ismail,2205111423
Kristina DeVoe,1569517346
Athanasia Metoki,2596287207
Haroon Popal,3000790933
Ying Lin,3001078369
Susan Benear,3001926970
R. Miezianko,2974301125
Pallav Shah,2102056574
Cong Rao,2751928852
S. Simpson,2749664927
Joyanta Biswas,2782818876
Madhurima Ray,2783916564
J.M. Lovekin,2341402324
Brian Singer,2624737696
Edward Parker,2625420279
Rohan Pandit,2625967345
Nicholas Masceri,2626936330
Kartik Ganju,2139384974
T. Duong,2909630961
Insook Han,2286580378
Mark Gershon,2119991500
Michael Sitler,1216508663
George Petersson,https://scholar.google.com/citations?hl=en&user=RC2cWrUAAAAJ
LONGIN LATECKI,https://scholar.google.com/citations?hl=en&user=6sQtqo8AAAAJ
Yu (王昱),https://scholar.google.com/citations?hl=en&user=ouPBv-wAAAAJ
Himanshu Chakraborty,https://scholar.google.com/citations?hl=en&user=8R-Qzj4AAAAJ
Haotian Chi,https://scholar.google.com/citations?hl=en&user=9TvfNE4AAAAJ
Tianming Zhao,https://scholar.google.com/citations?hl=en&user=GzHAU9oAAAAJ
Yasin Celik,https://scholar.google.com/citations?hl=en&user=C_mUe2wAAAAJ
Nadia Niknami,https://scholar.google.com/citations?hl=en&user=ciuYxGQAAAAJ
Shakeel Alibhai,https://scholar.google.com/citations?hl=en&user=VyAIpigAAAAJ
