Qi Tian,2901442558_https://scholar.google.com/citations?hl=en&user=61b6eYkAAAAJ
Satish Penmatsa,1967915576
Navid Pustchi,2228879544
Austin Peterson,2518831363
Krishnan Krishnaiyer,2322729360
Art Conklin,2107913706
Pranav Bhounsule,1222523518
Mohammadhafez Bazrafshan,2229100872
Jichi Guo,2108804079
Mehrnoosh Shakarami,2954133216
Eric Bachura,2621181717
Laurence Maddox,2079083528
Yilin Zhang,2425531975
S. Chalasani,2973482804
Patricia McGee,2302924870
Lijie Zhang,2306235766
Baris Tas,2228383500
Travis Hestilow,2005491288
Rongjie Liu,2305598318
Satish Raghunath,2304744129
Dariush Shahgoshtasbi,340613311
Rajdeep Dutta,2514445540
Santosh Koppa,2229913000
Justin Leonard,2231563042
Charles Wilson,2239351833
Areej Al-Bataineh,2028464827
Alireza Zarreh,2885990969
Yooneun Lee,2886744621
Alex Perdomo,2404590755
Rohith Polishetty,2584695144_https://scholar.google.com/citations?hl=en&user=HzGXsnkAAAAJ
Hao Yan,2948871879
Rohit Valecha,1932562154
Arturo Montoya,2122689333
Hossein Roshani,2187664118
Samer Dessouky,2999594161
Mohsen Jozani,2643720802
Sireesha Yalamanchili,2108018005
Tejaswi Volety,2892186039
Matt Gibson,2116611696_https://scholar.google.com/citations?hl=en&user=MQQCbiQAAAAJ
William Haskins,1881887349
Raymond Choo,2950308957
Rui Hu,2889016117
Miltiadis Alamaniotis,2057618625
Sirajul Salekin,2342690210
Hui Shen,2431751966
Hung Wan,2562207121
Becky Huang,2191269181
Shalabh Saini,2620751919
Tao Wei,2892750784
Alejandro Bracho,2886816786
Nicholas Gamez,2528232302
Xin Zhao,2475863117
Todd Troyer,2176436675
Jose Mireles,2583178515
Sos Agaian,2947836631
Parimal Patel,2118562215
Ethan Ahn,2765474638
Z. Mao,2935069168
Aldo Jaimes,2165411914
Abhinav Kumar,2251257918
Elias Gonzalez,2109569485
David Teneyuca,2328643861
Eric Ficke,2907965626
Jeremy Cockfield,2152177809
John Joseph,2134372188
Clara Lopez,2153154845
Vicente Ferrer,2124838016
Xia Li,2282327720
Ender Finol,2233009938
C. Lacatus,1958436218
Yoris Au,2285028480
F. Fahroo,2973383876
K. Bollino,2974116345
P. Sekhavat,2974296294
Srinivasan Rao,2492394657
Sen He,2806325392
Sharaj Panwar,2739940473
Weiliang Luo,2155655164
Heena Rathore,3009352104
Yesh Singh,2151869740
Nicolas Gallardo,2529390478
Adrian Ozer,2603387740
Mei-Ching Chen,2127136590
Abhijith Puthussery,2529632275
Mohammad Islam,2123426471
D Williams,2973496228
Mahmoud Abdelsalam,2756173803
Johnathan Votion,2641373375
M. Janishidi,2687814093
Mehta K,2462553384
Gonzalo Torre,2784077954
Devasena Inupakutika,2886118095
Wenjun Wang,2560211663
Jinpeng Zhou,2767501458
Hongwei Tian,2097021352
Michelle Denyer,2523227465
Wan Yao,2974600232
Zheyuan Sun,2801670769
S.M. Gammon,2129873424
Rehana Begam,2223594709
Mark Schnur,2687918207
Jared Bennatt,2723376608
Mohammad Rahman,2317884559
Kranthi Nagothu,2009263477
Riad Akram,2555171630
Dong Yue,2027176784
Nikos Salingaros,51583101
Chris Valle,2139967059
Imtiaz Arafat,2361518043
Allan Coop,2506069315
John Heaps,2619495076
Kenneth Ball,2948101162
Judy Wynekoop,2402521754
Sandesh Chayapathy,2222397189
Natalie Granado,2503106536
Syed Faruqui,2763462656
Arezou Moussavi-Khalkhali,2223774336
Jae Park,2411989252
Rajib Goswami,2308086303
Kranthi Manoj,2674938483
Jean-Michel Lehker,332534282
David Stockton,2483336808
M. Benche,1987407756
Jiayin Wang,2479710706
Ravindranath Cherukuri,2020562805
Arpine Soghoyan,2045306438
Yunus Yetis,143339491
Halid Kaplan,2468695547
Jesus Romo,2555100606
G.V.S. Raju,2662221067
Kathlene Morales,2623698191
Carlos Vazquez,2630048000
Stephen Ackley,2130092557
Jie Xiao,2231893140
Grant Broker,718809702
Xiaolu Zhang,2145640080
David Niedzielski,2131113230
Amanda Fernandez,2981859647
Philip Tanofsky,2229760817
K. Harrison,2974437230
Shaheen Ahmed,2607613383
Jing Ye,1974828569
Kelly Kleifges,1976318195
Siraj Ali,2419735469
Bruce Smith,2439954726
Bushra Zahed,2888963617
John Ouarles,2889527611
