Mohammed Atiquzzaman,2084220482_https://scholar.google.com/citations?hl=en&user=CPqBDqUAAAAJ
W.J. Barnes,1968817634
Milos Savic,2440583985
M.S. Rahman,2502346394
S.C. Lee,3031171288
Di Wu,2627256272
John Cheung,2270786205
Amal Algedir,2785976291
Thomas Ray,2126676687
Yuhua Li,2602251219
Paul Regier,2230299325
Andrés González,2617607112
Hakki Refai,2467832635
Jung-Sing Jwo,1979182097
J.R. Cruz,2693186901
Xuguang Wang,2101939678
Ziping Hu,2133608152
Patricia Hardré,2053422665
Musharraf Zaman,2250924528
Jorge Salazar-Cerreno,2799613730
Claude Miller,2250926694
F.-H. Huang,2672342359
Evgeni Fedorovich,1972507009
Yunhua Wang,2149961429
Jingxiao Cai,2648976934
Joseph Ripberger,2251846181
Greg MacDonald,2472753582
Alexander Jw,2114331920
Lee Krumholz,2251573901
R. Kolar,2471829463
Matt Cook,2297509435
David Priegnitz,1995351442
Yuh-Rong Chen,2112299524
Kristina Southwell,1964228481
Drew Kershen,2657534945
Molly Murphy,2150272396
Xiaolan Li,2936225779
Rick Thomas,2139937283
Jack West,2493963314
Kevin Song,2561902696
R. Tay,2422041451
Joel Ramey,2114863763
Phillip Chilson,276931089
Sun Lee,2338450755
Theresa Cullen,2134079752
Bashar Romanous,2222816477
Bhagyashri Darunkar,778586752
Nesreen Alsbou,2304794735
Anna Wyatt,2123153993
David Akin,2229027296
Brett Zimmerman,2319996950
Benjamin Heddy,2505668296
Rebecca Loraamm,1893469485
Jie Cai,2237775381
Rebecca Naukam,2599252169
Hongping Li,2162827164
Hjalti Sigmarsson,1769224097
Chong Liew,2140888374
Chung Liew,2642646382
E. Baron,2307487474
Matthew Bodenhamer,2228287013
Uinam Choi,2107958696
Somayah Karsoum,2912833894
Lin Tang,2618305342
Jacquelyn Slater,2123033814
Boon Cheong,2155996817
Brandon George,2224352972
Ying Xiao,2223913131
F. Grant,2702825248
Oleksandra Hararuk,2123122542
Mirhamed Mirmozafari,1249112673
M. Hossain,2467459403
Hank Grant,2097157623
Phanindra Jalla,2783075712
Manar Landis,2783657797
L. Li,2708629524
Susan Russell,2489616509
Milad Javadi,2162535698
Yiping Wang,2676279605
Eric Mai,2151555930
David Horton,2114907161
Seok-Hyun Ko,2283888687
Jeffrey Muehring,230466425
Timothy Osmulski,2663143251
Chandrika Satyavolu,2019484133
Liangzhe Li,2230660572
Madhumitha Ramachandran,2955735461
M. Aboukhamis,2282374950
H. Chok,2973699498
Scott Gronlund,1394756970
Samuel Lee,2645689779
Yiming Wang,2716668664
Patrick Campbell,2579790757
Mary O'Hair,1981623123
Leslie Williams,2107636571
Linda Atkinson,2155889898
Jean Cate,2267497019
Abolfazl Khuzani,2775549730
