Michael Mitzenmacher,1988080645_https://scholar.google.com/citations?hl=en&user=e8aRmAsAAAAJ
Jie Yang,2675260499
Stuart Schechter,2950762993
Miriam Cha,2056058574
Peter Macko,1265675910
Yukio Tsukishima,2047162900
Ben Adida,290449749
Benjamin Neale,2013033188
Shelley Fried,2127546065
Mauricio Santillana,2154222003
Dufan Wu,2668019487
Tatsuya Fujii,2171927338
Oren Rippel,175540777
Stephen Murray,2098960480
Toru Mano,2129446571
Lincoln Greenhill,2152664262
Swagat Kumar,2322718000
Ian Rose,2290857473
Thaddeus Jones,2228089563
Ken Hiraga,2101894841
Lakshminarayanan Mahadevan,2224647905
Shahein Tajmir,2669205258
Pamela Silver,2147902741
Patrick Swieskowski,347837503
Avraham Shinnar,2778686918
Shoshana Zuboff,1944249924
Jorge Aguilera-Iparraguirre,2314615284
Timothy Hirzel,2534668999
David Salat,583925930
Aedín Culhane,2070038328
Hyunsung Park,2100130096
Matthew Johnson,2517210667
Jon Bennett,2141518246
Yan-Cheng Chang,2680454710
N. Huggins,2278152851
Cynthia Dwork,208343995_https://scholar.google.com/citations?hl=en&user=pxeyQ_QAAAAJ
Latanya Sweeney,2250362998
Manos Athanassoulis,1824192596
Randy Gollub,721924656
Ran Basat,2223425858
Takafumi Tanaka,2600136810
Blackford Middleton,2104242221
Benjamin Vakoc,2304519315
Pavlos Protopapas,2198308759
Alan MacCormack,2069195093
Martin Villiger,2041501143
Cengiz Pehlevan,2342560760
Woodward Yang,2226512271
Darin Dougherty,2137355351
Xueyuan Han,2802341221
Hao Wang,2762912271
Tadao Nakagawa,2146261531
Yigal Rosen,2596919731
Benjamin Edelman,2140653042
Takayuki Kobayashi,2097113190
Peter Park,2183635119
Jean Augustinack,1718134515
Xin Dong,2943203949
Daniel Berger,2116903004
John Growdon,108169951
R. Hughes,2988834996
Bryan Wilder,2409308442_https://scholar.google.com/citations?hl=en&user=dQ0dT2sAAAAJ
Anitha Gollamudi,2537651537
Goran Radanovic,2170557495
Xandra Breakefield,1327244325
Saumya Das,2152344150
Shannon Stott,2170990878
Quan Lu,2901448158
Leonora Balaj,818618364
Daniel Margo,2081183568
Michael Brandstein,227900221
Kazuhiro Uehara,2133983085
Harald Paganetti,2102175684
Davd Warland,2282162859
Tsung-Han Lin,2126407721
Nicholas Schmansky,122407168
Juliette Selb,1667828340
Lillian Pentecost,2808785166
Dong Lin,2636838017
Lilla Zöllei,2260760541
Wenjie Jiang,2343690672
Ying Xiong,2295931956
Alexander Sousa,2757807878
Giorgio Bonmassar,2102738864
Guenther Eichhorn,2016120131
David Liu,2104563827
Kuang Gong,2288276635
Omer Gottesman,2766808417
Preetum Nakkiran,297296476
John Lai,2131248163
Seok Yun,2140919144
Shigeki Miyake,2109837001
Andrew Mao,2088834503
Paul Avillach,113384273
Gang Luo,2277746376
Johannes Overvelde,2171539722
Rachna Dhamija,2973409340
James Heaton,2028294377
Samuel Wolock,2026814950
Allon Klein,2131774643
M. Rajan,2295264680
Yu-Chi Ho,2124324867
Aapo Nummenmaa,2104519264
Geoffrey Challen,2962973356
Tom Morgan,2606564138
Michael Kester,2708475141
Uwe Siebert,2110301969
Amelio Vazquez-Reina,2059975498
Lee-Jen Wei,2581202027
Thomas Witzel,2020023823
Douglas Greve,2136874347
Marc Hafner,2109329182
John Gilbertson,2250198353
David Kreda,1965123924
Marco Zenati,204749922
Guannan Qu,2120847100
Markus Demleitner,286690294
Meena Singh,2309760961
Sam Xi,2228321235
V. Shivraj,2224556565
Osamu Ishida,2205308453
Kevin Dale,2153974892
Pai-Hsiang Hsiao,2110364903
Jonathan Zittrain,https://scholar.google.com/citations?hl=en&user=aWZ0YN4AAAAJ
Ariel Procaccia,https://scholar.google.com/citations?hl=en&user=8ZpV-lkAAAAJ
Kenneth Arnold,https://scholar.google.com/citations?hl=en&user=u512YusAAAAJ
Monica Ortiz,https://scholar.google.com/citations?hl=en&user=l_TW19MAAAAJ
Fritz Lekschas,https://scholar.google.com/citations?hl=en&user=v1_FiEgAAAAJ
Keshavamurthy Indireshkumar,https://scholar.google.com/citations?hl=en&user=AWVDFg0AAAAJ
Vineet Pandey,https://scholar.google.com/citations?hl=en&user=quSxbVgAAAAJ
Greg Estey,https://scholar.google.com/citations?hl=en&user=TCgSglUAAAAJ
Abdul Wasay,https://scholar.google.com/citations?hl=en&user=QFrfzXkAAAAJ
Aaron Bembenek,https://scholar.google.com/citations?hl=en&user=Ql2u7VoAAAAJ
Elisavet Kozyri,https://scholar.google.com/citations?hl=en&user=Ln5FbwMAAAAJ
Zana Buçinca,https://scholar.google.com/citations?hl=en&user=ilDg6ycAAAAJ
Jacob Maat,https://scholar.google.com/citations?hl=en&user=Ne76t9EAAAAJ
Zudi Lin,https://scholar.google.com/citations?hl=en&user=Fn4hBvcAAAAJ
Jonathan Guillotte-Blouin,https://scholar.google.com/citations?hl=en&user=VwI0YfQAAAAJ
Yu-Shun Hsiao,https://scholar.google.com/citations?hl=en&user=2CwEc8MAAAAJ
