Tao Zhao,2198314590
David DeVault,2076101844
Chien-Yen Chang,2139237045
Nora Ayanian,43450941_https://scholar.google.com/citations?hl=en&user=ke2MEF0AAAAJ
Donna Spruijt-Metz,2128773684
Linhong Zhu,2114458094
Michel Dubois,2112744756
Shaddin Dughmi,133372950_https://scholar.google.com/citations?hl=en&user=jn-B_MoAAAAJ
Louis Goldstein,2145496552
Ion Muslea,1990182355
Hang Ma,2499919767
Masoud Moshref,2063260016
Kan Chen,2304013312
Edmond Jonckheere,253602898
Nathan Koenig,2056633574
Jernej Barbič,2058081736
Ji Li,2278306512
Kallirroi Georgila,2074370112
Michael Safonov,1991754775
Joseph Lim,2121364892
Mike Chen,2504681990
Ramakrishna Gummadi,1925507285
Akshay Gadde,1943879374
Scott Callaghan,2007765716
Michael Waterman,1988123210
Somboon Hongeng,259451158
Leyla Kazemi,1870077263
Chao Yang,2662398119
Matthew French,2082498950
Rajiv Mayani,2002271410
Pedro Diniz,2140214412
Kenji Yamada,2177616917
Yi Wang,3029003316
Weiyue Wang,2552972785
Chongyang Ma,2604085181
Godwin Shen,2155292852
Alok Kumbhare,235542367
Tobias Flach,2095322789
Anand Joshi,2160128334
Fengzhu Sun,2128089183
Hilmi Egilmez,1993445983
Zheda Li,2226801218
Pierluigi Nuzzo,2239585930
Cheng-Hao Kuo,2152213966
Daniel Bone,2133864962
Pedro Gomes,2098388817
Satyandra Gupta,2351135976
Saima Aman,2111691297
Qifa Zhou,2113967653
Aiichiro Nakano,2286764163
Shunsuke Saito,2560466339
Antonios Michaloliakos,2083858739
Avinash Sridharan,2026555557
Ning Wang,2194428724
Chuck Neerdaels,1979264003
B.C. Neuman,2654101757
Anawat Chankhunthod,82782674
Andrew Feng,2118210044
Reetinder Sidhu,1994350969
Arash Tehrani,2015704056
Cheng Hsiao,2133709413
Haifeng Xu,2156228494
Boehm Boehm,2637598873
David Kale,2054676105
Chao Wang,2854535502
Xinran He,2096901250
Naveen Ashish,2255431631
Vishnu Ratnam,2437302041
Qiangui Huang,2128589488
George Edwards,2276561777
Daniel Moyer,2126394920
Wyatt Lloyd,2114199729
Yang Yu,2593790614
Jerry Hobbs,2220962793
Joon-Yong Lee,2341738574
John Horn,2145438006
Aamir Anis,2146888950
Daniel Popescu,2052714474
Sanjay Purushotham,2115359007
Parisa Mansourifard,215361918
Daniel Garijo,2107149014
George Bekey,285362563
Dingxiong Deng,2109638660
Shanshan Song,2168377626
Hadi Goudarzi,2097057609
John Walters,2806221551
Zachary Baker,2129259616
Eduardo Pavez,2231813652
Mohsen Taheriyan,2007055498
Christian Siagian,2104336655
Ki-Young Jang,2144581994
Zhengping Che,2117368485
Stephen Crago,295623446
Rajiv Kalia,2027584265
Dilip Bethanabhotla,1908905913
Hoon Huh,2206436333
Ren Chen,2109012439
Sami Masri,2194361633
Yevgen Chebotar,2277117967
W. Johnson,2370445752
Priya Vashishta,2298322848
Yan Jin,2225372412
Selina Chu,2251622243
Ambrose Jong,2134710105
Lynda McGinnis,2240062852
Ajitesh Srivastava,2303080308
Shijie Zhou,2308218823
Mun Lee,2163592784
Alireza Shafaei,1978943367
Ketan Savla,2036619120
Aristides Requicha,2575782317
Youwei Zhuo,2791156767
Xianghong Zhou,2193013093
Dmitri Williams,2097597968
Sheila Tejada,2197306586_https://scholar.google.com/citations?hl=en&user=Bt0WhuUAAAAJ
Brent Liu,2159534258
Maryam Shanechi,2144825066
Mohammad Kolahdouzan,311041565
Alvin Despain,3020877099
Ke Zhang,2670643487
Eric Rice,2100326408
Gully Burns,2139702039
Wolfgang Hönig,2320981046
Naveen Kumar,2343240299
Maziar Sanjabi,2164522516
Ellis Horowitz,2198738331
Kyle Olszewski,2229155824
Jyotirmoy Deshmukh,2144050692
Phebe Vayanos,2037981848
Mei-Yin Shen,2125706671
Wan-Chun Ma,2142710653
Mehdi Sharifzadeh,1977081371
Yurong Jiang,2231026063
Larry Swanson,2138940084
Hang Qiu,2101468326
Haiqiang Wang,2253761776
Min Cai,2311561298
Maarten Segbroeck,2197544279
Hexiang Hu,2839767083
Ashutosh Nayyar,2054034168
Qin Huang,2342161899
Vlad Balan,2963851001
Irving Reed,1414615113
Dongjin Son,2151524756
James Gibson,2207933945
Horia Balan,2047360036
Debarun Kar,2101109027
Eric Shieh,1932267184
Donovan Artz,2037636029
Yongxiong Ren,2105524181
Gale Lucas,2343291356
Alessandro Bessi,1478651034
Ramakrishna Soma,2107452799
Hao Huang,2096104057
Maja Mataric,https://scholar.google.com/citations?hl=en&user=o5YQMkMAAAAJ
Zhihao Chen,https://scholar.google.com/citations?hl=en&user=hWZNGCEAAAAJ
MIchael Zyda,https://scholar.google.com/citations?hl=en&user=qPWq9YwAAAAJ
Wensheng Wu,https://scholar.google.com/citations?hl=en&user=fcpcVR4AAAAJ
John Tower,https://scholar.google.com/citations?hl=en&user=MJxapkwAAAAJ
Remo Rohs,https://scholar.google.com/citations?hl=en&user=lNFZCgwAAAAJ
Andy Nealen,https://scholar.google.com/citations?hl=en&user=YjpanIYAAAAJ
Yingying Fan,https://scholar.google.com/citations?hl=en&user=7fO-QIQAAAAJ
Luciano Nocera,https://scholar.google.com/citations?hl=en&user=DZ0q4kMAAAAJ
Kevin Milner,https://scholar.google.com/citations?hl=en&user=hWS0lpgAAAAJ
Stefanos Nikolaidis,https://scholar.google.com/citations?hl=en&user=Bj3gKzYAAAAJ
Tansel Uras,https://scholar.google.com/citations?hl=en&user=d3nbM5oAAAAJ
Heather Culbertson,https://scholar.google.com/citations?hl=en&user=Q5yf4F4AAAAJ
Chao-Kai Chiang,https://scholar.google.com/citations?hl=en&user=pBQgK_YAAAAJ
Chao Zhang,https://scholar.google.com/citations?hl=en&user=NIc9JLIAAAAJ
Benjamin Girault,https://scholar.google.com/citations?hl=en&user=hCrl6w0AAAAJ
Yingjun Lyu,https://scholar.google.com/citations?hl=en&user=A0i-MwEAAAAJ
Ali Khodaei,https://scholar.google.com/citations?hl=en&user=DenadQ4AAAAJ
Lian Liu,https://scholar.google.com/citations?hl=en&user=X7is8kYAAAAJ
Nitin Kamra,https://scholar.google.com/citations?hl=en&user=Qn_rbIgAAAAJ
Yang Fu,https://scholar.google.com/citations?hl=en&user=UGPbK3IAAAAJ
Kaveh Shahabi,https://scholar.google.com/citations?hl=en&user=k8bRVfgAAAAJ
Yixue Zhao,https://scholar.google.com/citations?hl=en&user=HP_aofIAAAAJ
Asma Enayet,https://scholar.google.com/citations?hl=en&user=gxqXssgAAAAJ
Abishek Hariharan,https://scholar.google.com/citations?hl=en&user=PMRx61cAAAAJ
Sumeet Agrawal,https://scholar.google.com/citations?hl=en&user=BOiZ_vQAAAAJ
Hanwool Yoon,https://scholar.google.com/citations?hl=en&user=ZnhdjNcAAAAJ
Chungha Sung,https://scholar.google.com/citations?hl=en&user=ZCD9fDsAAAAJ
Christopher Wienberg,https://scholar.google.com/citations?hl=en&user=qreq9owAAAAJ
Hung-Fu Chang,https://scholar.google.com/citations?hl=en&user=BglnUesAAAAJ
Shen Yan,https://scholar.google.com/citations?hl=en&user=U_9LopYAAAAJ
Gaoshan Deng,https://scholar.google.com/citations?hl=en&user=LE2mm-MAAAAJ
Nam Ma,https://scholar.google.com/citations?hl=en&user=GGmP3wcAAAAJ
Yatin Wadhawan,https://scholar.google.com/citations?hl=en&user=P1M8JdUAAAAJ
Hang Guo,https://scholar.google.com/citations?hl=en&user=cNvQRdEAAAAJ
Zheng Cao,https://scholar.google.com/citations?hl=en&user=BUKKvTIAAAAJ
Nan Xu,https://scholar.google.com/citations?hl=en&user=iysoxM4AAAAJ
Renuhaa Asaithambi,https://scholar.google.com/citations?hl=en&user=LiR-CBsAAAAJ
Jungwon Yoon,https://scholar.google.com/citations?hl=en&user=bHZSmkoAAAAJ
Lixing Liu,https://scholar.google.com/citations?hl=en&user=OUQ-UwQAAAAJ
Ullas Suresh,https://scholar.google.com/citations?hl=en&user=m_iSlNoAAAAJ
Naghmeh Zamani,https://scholar.google.com/citations?hl=en&user=P-IkLFMAAAAJ
Akira Matsui,https://scholar.google.com/citations?hl=en&user=gltcL08AAAAJ
Thomas Collins,https://scholar.google.com/citations?hl=en&user=eEfgCLAAAAAJ
Mehrnoosh Mirtaheri,https://scholar.google.com/citations?hl=en&user=0919kI0AAAAJ
Ken Gorro,https://scholar.google.com/citations?hl=en&user=EoKQJ1kAAAAJ
Jijnasa Nayak,https://scholar.google.com/citations?hl=en&user=vOso_1wAAAAJ
Vaibhav Desai,https://scholar.google.com/citations?hl=en&user=BBYLjY0AAAAJ
Christine Peña,https://scholar.google.com/citations?hl=en&user=QTLJd-cAAAAJ
Varun Rao,https://scholar.google.com/citations?hl=en&user=sY25se0AAAAJ
Vadim Korolik,https://scholar.google.com/citations?hl=en&user=2jD4P58AAAAJ
Meryem M'Hamdi,https://scholar.google.com/citations?hl=en&user=7xflIKgAAAAJ
