Elke Rundensteiner,2289414603_https://scholar.google.com/citations?hl=en&user=iIFHZ1UAAAAJ
Erik Skorina,2022752400
Cansu Sen,2777768520
Thomas Hartvigsen,2780730045
William Michalson,2106509604
Mi Feng,2709207846
Tabassum Kakar,2520880433
Cosme Furlong,2007022254
Jie Yang,2663826120
Andreas Koeller,2949407770
Thanaporn Patikorn,2403203275
Bahador Nooraei,2226170292
D.R. Brown,2287585910
Di You,2949026699
Jae Chung,2119595143
Justin Bales,3037087956
G. Tighe,2231772243
Chun Yang,2590607100
Bader Alkandari,2247361221
Guojun Wu,2615774492
John Orr,2124956010
Gang Li,2617952821
George Pins,2020522766
Amanda Clement,2127303648
Saili Maliye,2715241118
Htay Win,3037243143
Payam Razavi,2516859303
Susmitha Wunnava,2518841837
Juelaila Raziuddin,1990573405
Amy Zeng,2294561981
Venkatesh Raghavan,2302902226
Adrienne Hall-Phillips,32648895
Bengi Aygun,2097713191
Douglas MacFarland,1975690448
Jian Zou,2250406292
Bardia Alavi,2155362796
Karen Works,2160799176
Francisco Castro,2342525062
William Hawkins,2113735735
Jeffrey Elloian,2230584535
Wenxuan Guo,2142713355
Pardos A,2332217518
Thanh Tran,2478449116
John Rulnick,2309269239
Mingzhu Wei,2146211224
Calder Phillips-Grafflin,1963981989
Yejin Li,2260038136
Erin Teeple,1970324640
Mostafa Gamal,2174161300
Dmitry Korkin,1793703643
Yehia Massoud,1135479668
Rui Wang,2309497464
Mitchell Wills,2225728635
Fuchen Chen,2159299205
Weijia Tao,2166039731
Rodica Neamtu,2226418732
Jonathan Tanner,2428009011
Ming Li,2477511091
Erin Ottmar,106081097
Bradford Pielech,125545136
Zhilu Chen,2206421909
Jie He,3017211010
Vadim Yakovlev,2111258256
Ramoza Ahsan,2125309918
Nguyen Vo,2620415861
Nikolaos Gatsonis,2270242958
Christopher Bove,2946374145
Maryam Hasan,2619668421
Shoujing Li,2400294318
Renata Konrad,2118690234
E. Wilson,2191955108
W. Luo,2974163121
R.J. Duckworth,2228206726
L. Chisvin,2658036430
Mohammad Shayganfar,2010475849
Duy Dao,2003518043
Alexander Camilo,2116606607
Doug Selent,2973894817
Aatish Salvi,2032776041
Kahraman Akdemir,2122424397
Nikolaos Kazantzis,2233840882
Ning Yang,2477167334
K.A. Clements,2974244405
Michael Macasek,322233081
Hao Shang,2155225163
Xika Lin,2118477850
Matthew Crivello,2576198164
Victoria Loehle,2757683977
Amanda Agdeppa,2757903479
Hyunsoo Kim,2759958648
Syed Hussein,2760129825
Shamsur Mazumder,2760395444
Timothy Sutherland,2108878766
W. Lindeman,2657063214
Zhenyu Guo,2308246284
Olive Rappoli,2230320894
Victoria Wu,2582862885
Ulkuhan Guler,2184495287
Ruikun Luo,2223261808
Koohyar Pooladvand,2548433121
Raghvendra Cowlagi,279022135
Khalid Saeed,2983106956
Can Tatar,2154335309
Mahni Shayganfar,2344467047
Yichen Ding,2614428107
Ethan Croteau,2322163377
Felipe Polido,2100988318
Christoper Bove,2103584566
P. Benzun,2797668301
Dmitry Sinyukov,1457016600
Norman Wittels,2021444536
Di Pu,2144799460
Ruijiao Yang,2137988982
Caitlin Kulhman,2745119705
Ain-ul Aisha,2509126654
Jeffrey LeBlanc,2275295051
Thangam Seenivasan,1269194378
Yecheng Lyu,2767667341
Matthew Dailey,2444645338
Katica Dimitrova,2156401536
Radu David,2138346855
Camelia Brumar,2990975598
Naomi Wixon,2487751286
Huayi Zhang,3029506585
Haimi Tang,2765883391
Jordan Burklund,2913155372
Michael Giancola,2914171365
Sina Youssefian,2067133681
Nima Rahbar,2807212959
M. Heidari,3005435631
Menghai Pan,2769630276
Kristen Billiar,2044971615
Mingrui Wei,2103758647
F. Medina,2747253392
Boris Iskra,2924893479
Ain-ul-Aisha Ain-ul-Aisha,2225306005
Caitlin Kuhlman,2712340625
Yuteng Zhou,2225827045
Lin Bai,2767385683
Kuldeep Gill,2785390763
Liang Zhang,2950201904
Mukesh Mulchandani,2064880417
Zheyang Wu,2115388742
David Jr.,2431925820
David Olinger,2014170740
Wenwen Zhao,2424142078
Lei Wang,2306335862
Mohamed Najd,2486509748
Patrick Carberry,2765100734
William Appleyard,2766590609
Siamak Faal,1985024045
Jeffrey Court,2306683131
Adrian Boteanu,2223761004
Shijian Li,2920075678
