Colin Ware,2158434997_https://scholar.google.com/citations?hl=en&user=e6C_dHAAAAAJ
Miranda Francoeur,2552536943
Rikki Miller,2607805189
Kristen Onos,2715279003
L. Lewis,2974039388
Karen Jourdenais,2720169453
Karen Jin,2810221571
Xiaoqiong You,2789248205
Eleanor Campbell,2904273579
Allisa Dalpe,2782314282
Dragos Maftei,2897596345
David Pilar,2974371302
Kejun Wu,2894253024
Richard Messner,2183197101
Lloyd Huff,2620302303
Adam Nucci,2106863134
Franklin Rudolph,2285930114
B. Dziurla-Rucinska,2636682030
Michael Carter,2718270453
Yaning Li,2116761451
Mona Khoshhesab,2586745309
Paul Ossenbruggen,1080314903
Harish Vashisth,1950627293
Adam Wymore,2435574380
Dev Dutta,2137899517
Sean Kramer,2642971987
Juan Florin,2122139150
Rick Brennan,2227005463
D. Blidberg,428528597
Nelson Barber,2342031469
Okhyun Ryou,2691472851
D.M. Moss,2973708500
Stanley Kowalski,2629488371
Jeffrey Sohl,1948711526
A. Venkatachalam,2211881333
R. Lieber,2979814506
Anne Gilman,2007070258
Serita Frey,2107081900
Christopher Bancroft,2053213645
Colin Frost,2136323641
Tejaswita Sharma,2749489749
Albert Pelhe,2089362054
Nevenka Kozomora,2276609985
Dennis Meadows,2789232582
Yifei Luo,2735021361
Gang Chen,2583941028
Jerry Marceau,2228970151
Massimo Stefano,2207391332
Ricardo Medina,2128189155
John Pokoski,2040803973
Shep Lt,2192890276
Paul Latham,2225551322
Stephen Scalera,2697125079
Steven Chappell,2462609273
Rosabel Deloge,2795043646
Ricky Miller,2499380855
Daniel Bolan,2506692376
Iago Hale,2062616200
Arthur Melo,2515820213
Andras Fekete,2660070332
Wenjuan Xie,2893784986
Sarah Dean,2755821968
Jack Dibb,2013912008
David Campagna,2100634722
Khalid Arthur,2887828564
Varki Elizabeth,2844040121
Paul Nahin,2443920309
W.T. Miller,2723704272
Jean Kubwimana,2771016424
Melda Matoglu,343656505
J. Weiner,2627799787
Sowmya Manjanatha,2062794529
Sofia Lemons,2070376760
G. Freuder,1213035577
R. Onyancha,2973676254
Fekete Krisztián,2812937202
T. Kochanski,2013242763
George Cutter,2282951349
A. Bakman,2463303202
Andrew Mitchell,2904739161
A. Kun,2974534397
Rosemary Caron,2122866918
Ivaylo Nedyalkov,2079083308
Ashlyn Lembree,2312582818
Kevin Gall,2945957282
R. Wallace,2974234157
E. Freuder,2974829025
M. Henley,2623221236
R.G. Schmidt,2435145474
Jill Thorson,2114448350
Sylvia Russell,2402789489
Stephen Frolking,2051668301
L Chini,2308656457
Willem deVries,2075532624
Pushpa Datla,2005323400
Dylan O'Ceallaigh,2003667157
Jill Kammermeyer,2094845005
Roger Grinde,2499327209
Ryan Lawrence,2479102603
Herman Karl,2116116458
Peggy Eaton,2134134144
Milad Mehrkash,2802578932
Erin Santini-Bell,3019613148
Ryan Cassotto,2052907163
John LaCourse,2639508131
C. Jean,2511624227
Eun Cho,2561951902
Melissa Aikens,2358469503
Sarah Andrews,2578888287
Edward Song,2154844542
W. Seitz,2167222262
Bo Si,2618745369
Rongfang Yang,2802006986
Habib Ahmad,2921499374
John Csoros,2972850369
Jeffrey Halpem,2979297786
Tianyu Ren,2979522857
Erica Cooke,2507053084
Glen Miller,2098378567
Jonathan Briggs,2952647341
Xu Li-zhi,2966736048
Chenghua She,2759821804
Gopal Mulukutla,1237586141
Brian Godbois,2227199271
Patrick Nsengiyumva,2225297957
Emily Kyker-Snowman,2577516348
Susan Zago,2503266341
David Herold,2341731604
Marc Vogt,2694210442
Wilfred Wollheim,147152034
S. Ramakrishman,365617673
Mezgeb Mihtsentu,2343355938
Robert McGrath,2609456732
Cyle Ziegler,2949011680
Amanda Plagge,2081151533
Paul McNamara,2427107265
Helen Gigley,1590744805
Soheil Gharatappeh,2964709562
Nadia Fereydooni,2947026280
Jeff Laird,2222447755
Timothy Winters,2686829632
John McHugh,2604536277
Cheryl Andam,1772638073
Keir Macartney,2620864527
Kunpeng Xie,2888125109
Xin Zhang,2888233943
Junfu Shen,2888742353
Cooper Park,2888764137
Chris Bauer,2635820571
Angela Sarni,2945850314
Catherine Overson,1970905622
Lou Griswold,2019333552
Victor Benassi,2089251810
Martin Wosnik,390621733
Jon Cavicchi,2195817746
Liliana Gheorghiu,1976435895
William Seitz,2250401560
Peter Bloser,178181842
A. Madden,2120039806
Han Hu,2306703211
Mikael Jazdzyk,769037369
Ann Loranger,2497826713
Cuneyt Yalcin,2008913328
Barry Fussell,2273454128
Alanna Connors,2121103334
Timothy Kammerer,3013212833
Dongpeng Xu,3013382295
Mezanur Monjur,3013631913
Brian Box,2153666693
Erich Whitney,2406452728
Pavlo Melnyk,2087785202
Margaret Boettcher,2156067949
Jacob Stoddard,2279064854
Mary Wong,2127529558
Omid Kandelusy,2990062547
Igor Kozlov,2782079802
Sarah Prescott,2099379353
Chunshu Zhang,2556257541
Mark Abbott,2491791112
Joseph Bailey,2097988687
Mark Ducey,2275210166
Michaela Sabin,2974035879
Anthony Lapadula,26907013
Alejo Hausner,2046646058
Drew Stock,2496621852
Patrick Scott,3013633602
Brian Coffen,3013666066
Estuardo Carpio,2967876365
Mihaela Sabin,https://scholar.google.com/citations?hl=en&user=IQxPatcAAAAJ
Sumanta Kashyapi,https://scholar.google.com/citations?hl=en&user=58ysilkAAAAJ
