Thang Dinh,1982323184_https://scholar.google.com/citations?hl=en&user=M5W9tuUAAAAJ
Karolina Aberg,2012350169
Shaunna Clark,2148023863
Robin Chan,2166965559
Gaurav Kumar,2208797797
Mohammad Hattab,2587733837
Laura McClelland,2160549778
Andriy Mulyar,2982368201
Xiaolu Cheng,2807774157
Lemont Kier,1176010432
Xiaoming Zhao,2619809543
J Harris,2568201620
Branson Murrill,2102009204_https://scholar.google.com/citations?hl=en&user=APzthiwAAAAJ
Steve D'Souza,2225279619
Richard Atkinson,2098908835
David Holdford,18079384
W. Jones,2117512340
Julie Arendt,2807561639
Yiqiang Ding,2674250720
Kyle Ferber,2147503047
Amita Chin,2810357329
Julie Petro,2027949763
Justin Owen,2208927831
Jenna Czarnota,1916697733
John Stansfield,2622863087
Hayder Alwan,2667473422
Emma McCamey,2982234478
K.-M. Osei-Bryson,2974585634
Adam Morrissett,2909341100
H Ozgen,2662482134
Yan Yang,2539802620
Jeanne Schlesinger,2123012429
Carol Hampton,2628461553
Kay Sommers,2763828614
R. George,2202340203
R Hobson,2974433326
R Alkhasawneh,2974626441
Aliakbar Panahi,2980832878
Leila Ghaedi,2535906833
David Sarrett,2641217472
Tom Arodz,2947944751
Melanie Buffington,2084293992
John Layne,2399362366
Qing Zhou,2506168051
Lauren Gardiner,2768029947
Janet Hutchinson,2096659073
D. Pawluk,2973686367
Adam Johnson,2781482655
Chen Wang,2589992019
Romilla Chowdhuri,2119388143
Shengqian Chen,2998542023
Lan Wu,2182168477
Clarence Thomas,2656516967
Hong Xue,2797768161
Jitender Mehla,2027720013
Emily Hurst,2970041694
Nak-Kyeong Kim,2767441656
I. Kurtulus,2506792222
Aidan Collins,2886860783
Jane Hesler,2761998453
Beata Strack,1843243327
Martha Roseberry,2496948975
Jamal Talaat,2480529018
Xuguang Qi,2099362294
Sumeyra Demir,2121941531
MichaelJ. Mason,2973312330
Samaa Elnagar,2892077665
Jim Bostick,2763516484
Cheng Ly,2797094293
S. Sharma,2974644716
Jeffrey Siebers,2049184594
Gurvirender Tejay,2087838897
Joshua Evans,2128443093
Azhar Rafiq,2062981885
Kweku-Muata Bryson,2118214341
David Wilkinson,2558848321
Sunny Kim,2590436594
Colleen Jackson-Cook,2250495143
Joshua Pritikin,2775836696
Mostafa Zaman,2965264582
Denise Branch,2648324215
T. Pawluk,2399021365
Gaurav Shah,2549463471
Vijender Chaitankar,3022641751
Le Kang,2966485663
Noel Bryson,2964106255
Kaveh Mohajeri,1841203364
Ammar Hoori,2579709433
Samuel Lawoyin,2076097232
David Edwards,2425128226
Martha Gonzalez,2508326415
Rebecca Etz,2701884031
Ljiljana Zigic,1530193957
Chao-Kun Cheng,2166240740
Yuhua Guo,2517270760
Ibrahim Kurtulus,1966127693
Cosmin Boanca,2008181380
Gabriella Melki,2410676709
Hadis Morkoç,2481526694
Dipankar Bandyopadhyay,2299128843
Mark Ostyn,2715946349
Ramana Pidaparti,2166266579
Shivram Ramkumar,3014481508
Alexander Sosnkowski,3014501543
Wei-Ning Wang,2163884344
Jose Ortiz,2146152553
Nathan Menke,2414698253
Kellen Cresswell,2885125088
Michael Miles,2105103946
Jonathan Ha,2257345276
Amy Olex,2998939800
Abdullah Ghoson,2332175453
Anand Pandurangi,1701722963
Przemysław Skryjomski,2773947581
G.E. Miller,2973909320
P.D. Polur,3028307840
Benno Schwikowski,2762846303
Daniel Laskin,2170119387
K.-M. Bryson,2974544396
David Shepherd,3006865558
W. Sleeman,2160489435
Diya Abraham,2891779367
Howard Carey,2502305412
Debra Duke,2228472394
Lukas Cara,2155599587
Smitha Gautham,2905550329
Carlos Arancibia,2175576249
Hillary Miller,2606951688
Milos Manicl,2893178663
Hao Wen,2902671705
Lukasz Korycki,2912382171
Erin White,2679054819
David Jackson,2132549478
Arno Forst,2149984275
Jong Kim,2142887751
Stephanie Lee,2103134747
Sarah Rutan,1293070474
Sarah Reves,2944063411
Long Flory,2396643819
Gerald Miller,2305682858
Zili Zha,2164745133
Spencer Hays,2126653216
Umesh Desai,2135115113
Karen McIntyre,2588709380
H. Himberg,1946235773
Fadi Obeidat,2311705490
Tyler Ferro,2226413174
Mbonisi Masilela,2973940227
Phuc Thai,2913780425
Agnieszka Ciborowska,2884815080
Advait Apte,1980362695
Xubin He,2806441381
E.G. Washington,2042079905
Gina Pannozzo,1983130502
Frank Gupton,2782891971
Ramandeep Sandhu,2896641135
Susan Brilliant,1998323462
Agnes Bradshaw,2338434006
Marcus Messner,2150549267
Sharad Shandilya,2113775737
V Kecman,2973494173
S.S. Brilliant,2952469925
Lisa Anderson,2625301813
Fengchun Tang,2568452231
Peter Boling,2030000875
Alan Dow,2129874344
Joel Browning,2411244339
John Priestley,2509445486
Chris Stephens,2512858288
Meenu Tolani,2515842956
Luke Maffey,2805203468
April Kimmel,2158364394
R. Resler,2481690349
Elizabeth Ripley,1998443091
Elizabeth Collins,2790205268
Terry Smolenski,2791087422
Catherine Brown,2791868302
Robert Moulden,2793326404
Ye Chen,2523321308
Khajamoinuddin Syed,2765148680
Tim Bakker,2104393168
Garrett Ward,2163797859
Siva Patibandla,2676943781
W.E. Sullivan,2973399857
Pavani Davuluri,2023341656
Hannah Pettit,2230934006
Krzysztof AIMBE,https://scholar.google.com/citations?hl=en&user=hrWVmoAAAAAJ
Bahman Rashidi,https://scholar.google.com/citations?hl=en&user=v_sv5LMAAAAJ
BK Kamapantula,https://scholar.google.com/citations?hl=en&user=jcznRKcAAAAJ
He Zhang,https://scholar.google.com/citations?hl=en&user=u7uY5DMAAAAJ
Lorraine Parker,https://scholar.google.com/citations?hl=en&user=UKanG5kAAAAJ
