Eun Ha,2167092456_https://scholar.google.com/citations?hl=en&user=M2946AsAAAAJ
Brandon Dwiel,2225095676
Amritanshu Agrawal,2510558517
James Dieffenderfer,1998010014
Ana-Maria Staicu,1973935845
Guoyang Chen,2226384235
Rahul Krishna,2293907099
Chiachih Wu,2429607387
Niket Choudhary,1689768367
Anastasios Tsiatis,616907537
Kevin Oliver,2428514321
Franc Brglez,2185949847
Yongpeng Zhang,2504384352
Yihuan Dong,2106109913
Shih-Chun Lin,2690549750
Kathryn Stolee,2699433757_https://scholar.google.com/citations?hl=en&user=dmcgQDQAAAAJ
Yue Zhao,2260764288
Joann Keyton,2147142969
Jon Doyle,2131338004
Denae Ford,2251208103
Samuel Averitt,1823946959
Barry Peddycord,2045080858
HyeongSik Kim,2106285303
M. Rappa,2973780400
Jiang Zheng,2099491682
Mark Femal,2087478307
Pradeep Murukannaiah,2040248433
Shawn Holmes,2133164452
Ting Zhu,2618267600
Farshad Koohifar,2957784546
Juan Du,2307905138
Tito Sierra,2130022194
Ming Zhao,2198026253
Rita Brugarolas,228558388
Fredrick Semazzi,1774763090
Lei Luo,2567644595
Eric Beppler,1961676041
David Fiala,1917627995
Subhashish Bhattacharya,2164493688
Miriam Ferzli,2046863978
J.K. Townsend,2779879598
Julie Ivy,2096643474
Qinghua Zhang,2311898773
Maria Mayorga,2625336299
Eric Sills,2079008030
Greg Byrd,2124382643
Maria Riaz,2128346524
Quan Chen,2135521854
S. Iyer,2156495138
Hyungsuk Won,2045057917
Xiaoliang Zhao,2186002735
Aaron Peeler,1990518436
Jason King,2430878613
Prachi Gauriar,2533053413
Jennifer Sabourin,2153307296
Justin Middleton,2290825532
Xun Liu,2135546676
Suleyman Sair,2950909106
Chethan Anjinappa,2797450250
Quan Zhou,2306146586
Shu-Cherng Fang,2109916585
Ashok Mallya,2076848882
Bradley Reaves,2150257749
Jason Swarts,2164065884
Yi-Shin Yeh,2118706700
Chengzhi Li,2172598320
Seyyedali Hosseinalipour,2784261352
Liang Zhang,2580755323
Sharolyn Converse,2065261481
Vivek Nair,2510949517
Peipei Wang,2135550027
S. Barlow,2108946862
Susan Kahler,2125865309
Aysu Ezen-Can,156601423
Cory Lown,2120385241
Jack Silverstein,2133538029
Ben Smith,2135422364
Seyedbehzad Nabavi,2156654839
Andy Smith,2576955381
Xiaocheng Zou,2048584884
Jing Teng,2166482279
Qingfeng He,2107779791
Wei Wei,2587106364
David McAllister,2051222409
Lei Wu,2578459002
Fay Payton,518160878
Denis Fourches,2163195234
Eric Schendel,1267868415
Yifan Zhu,2165825877
David Baumer,1614010221
James Elliott,2303319282
Michael Gegick,1857042131
Rebecca Brown,2237449693
Kai Yang,2099734171
A.K. Agarwal,2243163484
Marianne Bradford,2028812141
Prasanth Anbalagan,2157525141
Clement Kleinstreuer,2039438272
Richard Wysk,231832556
Zhengang Cheng,2151791136
Ralph Smith,2134532741
Lubos Mitas,2469193929
Nurcan Tezcan,2072207522
Michael O'Brien,2510350849
Gang Gou,2254174787
Michael McKnight,2130589176
David Boyuka,241290387
Robert Phillips,2210663752
Stephen Roberts,2137131136
D.E. Bout,1807938571
Xing Wu,2140440048
Sarah Stein,2412848990
Paul Otto,2135315286
Savera Tanwir,2164635935
Laura Tateosian,2089064725
Tahmid Latif,2003014742
Jessica DeCuir-Gunby,191607567
Patricia Marshall,2151445154
Christopher Theisen,2227835097
Jim Simpson,2126903312
Megan Frankosky,1991514212
Ashkan Panahi,2007548680
Xiaolong Dai,2146596831
Hongwen Dai,2230882159
Shaun Kellogg,1964917330
Salil Wadhavkar,1963688673
Brinnae Bent,2333474316
Henry Goodell,2333889965
Lei Sun,2236410823
Thomas Horton,2066716345
Andrew Hicks,2225006263
Bharathkumar Ramachandra,2478628597
Nicholas Mudrick,2223039357
John Park,2102582700
Lakshmi Ramachandran,2954838858
Scott Ferguson,2140250436
Rui Zhi,2597116744
Srdjan Lukic,2063813909
Jun Xu,2645419032
P. Kumar,2688357049
Min Lim,2149950358
Chris Vermillion,2893122598
Jianhua Zhang,2307464244
Xi Ge,2110234187
Harvey Banks,2266803771
Xiao Bian,2232531305
Chris Martens,2706190114
Veena Misra,2143605494
Dmitry Zenkov,2056696748
Minh Tran,2040086302
Carl Young,2922723004
Hans Hallen,1936019172
Feng Ji,2127436424
Russell King,2115831025
Thorlindur Thorolfsson,1921580846
S.S. Kolenchery,2224599825
H. Frey,2098543783
Gaurav Bawa,2131902918
Yuan Zhang,2311647107
Jaydeep Marathe,2091483215
Anne McLaughlin,2150340465
Fei Xing,2115742468
Arne Nilsson,2101023162
Fei Meng,2684387546
Chih-Wei Ho,2520841587
Gregory Byrd,2141410945
Prasanth Ganesan,2239960849
John Russ,2135516260
Thomas Birkland,1998228201
Jason Strohmaier,2344105734
Gonzalo Bello,2154575409
Robert Rodman,2020915838
Steve Lipa,1985636433
Kyle Kloster,2045755628
Michael Wallis,2485127026
Jim Yuill,1967661369
Andrew Austin,2237177559
William Hendrix,2634477385
Rogelio Cardona-Rivera,218800735
Arnav Jhala,2134452558_https://scholar.google.com/citations?hl=en&user=8x0RJd0AAAAJ
H. Nagle,2980438987
Emily Zechman,2065997954
S. Ranjithan,672137411
S. Bhagwanani,2684915144
Zhongxiu Liu,2566295481
Philip Buffum,1957367307
Stephen Thomas,2140819528
Ed Gehringer,https://scholar.google.com/citations?hl=en&user=IEHo6YcAAAAJ
Matthias Stallmann,https://scholar.google.com/citations?hl=en&user=G7LwKaoAAAAJ
Ruixin Yang,https://scholar.google.com/citations?hl=en&user=UVtEdigAAAAJ
Dr. Chen,https://scholar.google.com/citations?hl=en&user=wqH_U3YAAAAJ
Harshvardhan Joshi,https://scholar.google.com/citations?hl=en&user=_4xyw0QAAAAJ
Zhe Yu,https://scholar.google.com/citations?hl=en&user=MWWd15EAAAAJ
Yang Liu,https://scholar.google.com/citations?hl=en&user=pfXMHEgAAAAJ
Hui Guo,https://scholar.google.com/citations?hl=en&user=gC0JkPoAAAAJ
Behrooz Mostafavi,https://scholar.google.com/citations?hl=en&user=Btq9vr8AAAAJ
Christopher Mitchell,https://scholar.google.com/citations?hl=en&user=VQsVD9cAAAAJ
Chin-Jung Hsu,https://scholar.google.com/citations?hl=en&user=DG14ND8AAAAJ
Zhewei Hu,https://scholar.google.com/citations?hl=en&user=m81b2sQAAAAJ
Nazia Alam,https://scholar.google.com/citations?hl=en&user=8snqa4oAAAAJ
James Peerless,https://scholar.google.com/citations?hl=en&user=nScmYFIAAAAJ
Jennifer Tsan,https://scholar.google.com/citations?hl=en&user=_2uOFiUAAAAJ
Samim Mirhosseini,https://scholar.google.com/citations?hl=en&user=qtdF8zQAAAAJ
Sasha Azad,https://scholar.google.com/citations?hl=en&user=YeneiqwAAAAJ
Nathan Pool,https://scholar.google.com/citations?hl=en&user=9r2UA14AAAAJ
Tianpei Xia,https://scholar.google.com/citations?hl=en&user=-GRThxAAAAAJ
Neha Murad,https://scholar.google.com/citations?hl=en&user=KtWn0GcAAAAJ
Lin Ning,https://scholar.google.com/citations?hl=en&user=FCY4vUEAAAAJ
Joymallya Chakraborty,https://scholar.google.com/citations?hl=en&user=Q9y62SEAAAAJ
Onkar Patil,https://scholar.google.com/citations?hl=en&user=N8vflXoAAAAJ
Andrew Emerson,https://scholar.google.com/citations?hl=en&user=Ar041ogAAAAJ
Markel Ausin,https://scholar.google.com/citations?hl=en&user=n7j70gsAAAAJ
Mahesh Lagadapati,https://scholar.google.com/citations?hl=en&user=yspnpvsAAAAJ
Debanjana Nayak,https://scholar.google.com/citations?hl=en&user=BYchLw0AAAAJ
Shrey Anand,https://scholar.google.com/citations?hl=en&user=JrIG484AAAAJ
Anisha Gupta,https://scholar.google.com/citations?hl=en&user=QJ7w6OsAAAAJ
Mark Cusick,https://scholar.google.com/citations?hl=en&user=Ich9sDcAAAAJ
Jeris Jawahar,https://scholar.google.com/citations?hl=en&user=S0Yz104AAAAJ
Khantil Choksi,https://scholar.google.com/citations?hl=en&user=RmNBkisAAAAJ
Aniruddha Shamasundar,https://scholar.google.com/citations?hl=en&user=eXPM_1AAAAAJ
Graham Pash,https://scholar.google.com/citations?hl=en&user=adeVLTkAAAAJ
Abhishek Agrawal,https://scholar.google.com/citations?hl=en&user=fSIE0JYAAAAJ
Anirudh Ganji,https://scholar.google.com/citations?hl=en&user=svZH498AAAAJ
Subhendu Behera,https://scholar.google.com/citations?hl=en&user=_8e0v7MAAAAJ
