Mubarak Shah,2171354718_https://scholar.google.com/citations?hl=en&user=p8gsO3gAAAAJ
Yao Ho,2510727196
Muhmmad Tayyab,2885148105
Kishan Athrey,2887724509
Xin Li,2982951311
Morgan Wang,2156256231
Behnaz Nojavanasghari,2525240255
Florian Jentsch,2160060540
Sharma Thankachan,2311315137
Kiminobu Sugaya,2098210660
Demetrios Christodoulides,2085034679
Nahal Norouzi,2885090078
J. Moshell,2157307431
Jeremiah Folsom-Kovarik,2282067164
Pooya Nabavi,2613763724
Taras Lakoba,2983682515
Shervin Ardeshir,1895863123
Han Yu,2123698453
Alvaro Velasquez,2143417712
Wingyan Chung,2894112094
Fenglin Peng,2160318587
Arjun Nagendran,2024496978
José Sepúlveda,2169709202
Jun Ye,2153115048
Narsingh Deo,2070393103_https://scholar.google.com/citations?hl=en&user=2uiQgfMAAAAJ
Eugene Taranta,2067331211
Jeremy Rose,2432011524
Soheil Salehi,2599060083
O. Kachirski,2974719502
Xiaolong Guo,2226098222
Xiang Wei,2892796752
Mohsen Joneidi,2074506437
Jun Li,2569882231
Joohan Lee,2893688971
Shiyuan Jin,2137203501
Joel Hartman,2164459981
Davin Pavlas,288307062
Philip Craiger,2085142968
Ashkan Paya,2102202433_https://scholar.google.com/citations?hl=en&user=oWQQWcsAAAAJ
Meizi Jiao,2134954031
Mark Goudreau,2305689946
Yogesh Rawat,2158165519
Yu Bi,2162982242
W.L. Jones,2154829956
Gerald Matthews,2103013245
Arup Ghosh,2150352674
Chien-Hui Wen,2120635336
Lei Wu,2559328534
Guanjun Tan,2107678570
Anthony Kong,2017324652
Paul Smith,2589762927
R. Wiegand,1991986241
Teng Zhang,2163460710
Corey Pittman,2167182974
Rodney LaLonde,2607106639
William Leigh,2414529713
Farhana Parveen,2706305954
Alireza Hajibagheri,859789295
Qi Hong,2017260057
Arthur Weeks,2100737945
Adnan Rakin,2611640442
Denise Nicholson,2465028741
Yajie Dong,2143868916
Hao Chen,2587982257
Yuping Shen,2098152073
Rizwan Ashraf,2274526914
Kevin Pfeil,2222743034
Paul Szerlip,255648236
Christopher Geiger,2357349452
Rouhollah Rahmatizadeh,2232367685
Krishna Regmi,2585541032
Junjian Qi,2490269586
Gary Stein,2305594627
Xuhong Zhang,2120890812
Tareq Ahram,1999124740
Zenghu Chang,2140067353
Khoa Hoang,2225340888
Jacob Wurm,2226400250
Naveen Eluru,266600687
Eileen Smith,2161361179
Afsah Anwar,2805148017
Darin Hughes,2166326432
R. Xu,2974797980
Samiul Hasan,2218520530
Emily Johnson,2617361834
Faisal Amjad,2232177879
Gregory Morse,2229578290
Yongchang Ji,2158420690
Mark Pollitt,2143863369
Amro Awad,2230865539
Danzhou Liu,2202415363
M. Mughal,2131527477
Michael Chini,2009736680
Yan Cheng,2256562102
Yi Wu,2568070372
Azwirman Gusrialdi,2491500778
Ruba Amarin,1305851459
Janan Smither,2143775424
Sunny Raj,2622612917
Erik Vick,2310993053
Jeman Park,2798914970
Jian Huang,2679911630
Penny Beile,389495038
Jason Hochreiter,2240332554
Tao Zhan,2734574868
Saad Khan,2148083043
Remo Pillat,1990575382
