Reza Rejaie,58212359_https://scholar.google.com/citations?hl=en&user=dgRIYXIAAAAJ
Nicole Marsaglia,2626068395_https://scholar.google.com/citations?hl=en&user=yecBWGoAAAAJ
Evan Tick,24897256
Roba Binyahib,2637079906
Eugene Luks,2470953425
Li-Shan Chou,2125479164
William Clinger,1781323080
Trudy Cameron,2147464267
Joe Jager,2287494924
Mark Watson,2548862532
David Tyler,2156008907
Terry Takahashi,2114958523
Moorthy Huck,2619208254
Thomas Payne,2609803655
Sara Riazi,2583800006
Fatima Terrazas-Arellanes,331838308
Soheil Jamshidi,2898517052
Michael Kuhn,2115165280
Phan Luu,1955160057
Gina Griffiths,2111141829
Viet Lai,2904180225
John Clithero,1273763647
Abdulrahman Alkhelaifi,2223781318
AnthonyJ. Hornof,2974320803
Aaron Fabbri,3037206434
Kathleen Freeman,2117345609
Kanika Sood,2342842873
B.R. Helm,2522924641
Joshua Stein,2493002925
Laurie Sohlberg,2551204809
William Starbuck,2303102457
Kelley McGrath,2222432728
R. Frey,2133367798
J. Brau,2590013777
C. Gallagher,2690555908
Mark Fretz,2694676196
Leslie Dietz,2960276323
Patrick Horve,2960866530
Chet Haase,2225757711
D. Zhou,2974166737
Elliot Berkman,2104127407
Zachary Sullivan,2928065511
Matt Ginsberg,2992057225
Lucien Brown,2491063809
David Fowler,2499239387
James Schombert,49596538
Craig Rasmusen,2504025287
Manish Mathai,2780736887
Shawn Lockery,2428906785
Alen Mahic,2568077436
Erik Keever,2009524398
Ishwinder Kaur,2227023468
Michael Moravcsik,2643296440
Corey Harper,2113115463
Kurt Mueller,2619385786
Avinash Bala,2288525989
Matthew Spitzer,2973088067
James Hiebert,2194358017
Dare Baldwin,2108800163
Gerhard Blab,2777192809
Emily Walden,2290961669
Ginnie Lo,2226397822
Wayne Manselle,2050683273
Helen Southworth,2250664744
Steven Pologe,833614503
Joseph Sventek,2776080769_https://scholar.google.com/citations?hl=en&user=U_VRZucAAAAJ
Stephen McAdams,2690320883
Jason Hubbard,2508114991
Stephanie Michel,2685107237
Judith Eisen,1949126281
Michael Hahn,2175181800
Lauren Tierney,2602569222
C Boydston,1976219506
Lynne Anderson-Inman,279772837
Jiangpeng Li,3039659939
David Joslin,2950938334
Asthur Farley,2578884229
Robert Ready,2419839451
Philip Johnson-Freyd,2231125348
Marion Walter,2148192279
Douglas Toomey,2169753216
Stephanie McCumsey,2478564219
Soren Rasmusen,2497442950
Paul Frantz,1911914645
S.F. Fickas,2974219580
Irida Mance,2057630183
Thomas Bulatewicz,2706377964
Pei-Fang Hung,2125979893
James Hutchison,2145083998
Yingjiu Li,3005092456_https://scholar.google.com/citations?hl=en&user=Z4ReDEMAAAAJ
Tom Bulatewicz,1343432057
Chris Dickey,2719355354
A. Howe,2701653562
Karl Owens,2134379938
Amy Lobben,58287238
Zebin Chen,2167703629
Miriam Rigby,2647432123
Seungahn Nah,2169725136
Jacob Lambert,2810770339
Art Farley,2974781941
Shawn Slater,2588573063
Hannes Bend,2588723679
Margaret Bean,1999314538
Yifan Dang,2903652085
Jesse Abdenour,2533778602
Diego Melgar,2129548058
Soren Rasmussen,2653957439
N. Phillips,2152355297
Franck Vignola,2596665475
Santiago Jaramillo,2152011502
Emily Butler,2227838617
Linda Sato,2279916965
Paul Knickerbocker,2065615461
Ryan Bleile,2066437593
Jordan Weiler,2120355024
Frank Vignola,1793455667
Carolyn Knox,2139071705
Qiuhao Lu,2973227627
Jiazhen Cao,2977863818
Stacey Pederson,2186410908
S.R. Faulk,2973476365
Eric Pederson,2087287135
Adam Martini,2230288571
Gina Biancarosa,150817870
Craig Rasmussen,2544240157
Richard Sweet,2227586207
Amnay Amimeur,2585548290
Ihab Elzeyadi,2250542918
Peter Lovett,2903288171
David Clements,2111921506
Nash Unsworth,1844154401
Samuel Mergendahl,2766352072
Sridhar Ramachandran,2954177135
Nicole Dahmen,2318881046
Wanqian Liu,2117324210
Moira Burke,2917103847
Tuan Nguyen,2984923461
Audrey Lucero,2100434755
Steve Song,2226558259
Marinus Bouwman,2148304935
Marina Guenza,2557604592
Charlie Farrington,2123251981
Kathleen Hennessy,2917254970
Yongli Zhang,2326016751
Christopher Jones,2439878487
J. Anderson,2723195732
Lisa Strycker,2324386319
Richard Suttmeier,193235120
Saed Rezayi,2898550431
Tristan Smith,2261596122
Paul Elliott,2222778631
Smrithi Prasad,2677728271
Bridget Hildreth,2103614807
Barbara Butler,2166363736
Karen Bankole,2531134576
H. Davidson,2620568532
B.W. Matthews,2763139634
Josh Peterson,2234660237
Dagmar Zeithamova,1426357397
Anisha Adke,2607033524
Maria-Alejandra Sanchez,2740868493
Bryson Nakamura,2697666936
Genifer Snipes,2788905542
K. Corcoran,2323635333
Dane Miyata,2529851048
Paul Olejarczuk,2508828237
David Fashena,2022730051
Leyla Ruzicka,2055333361
Amanda Griffin,2152237796
Emily Martinez,2108326996
Karen Guillemin,729958112
Michelle Byrne,2119973175
Alec Smidt,2640734339
Geordie Wicks,2885624710
Monika Lind,2886035601
Ryan Snyder,2308718488
Vipul Lugade,2001658648
Ashley Miller,2790915850
Margaret Sereno,2134912471
Douglas Carnine,614284163
Leanne Merrill,2431899486
Odile Wolf,2604379245
Stephen McLaughry,2633504706
Joydip Kundu,2776189098
Lars Hansen,2985273377
David Ketchum,2275137853
David Moursund,571743637
David Hofer,1922789506
Joseph Kenny,2915372629
Johan Steensland,75352083
J.V. Miller,2420371978
Iain Pardoe,2018753232
Adriene Lim,2167398855
Marilynn Livingston,2973432494
Kenneth Ross,2559012106
Katrina Ray,2124797700
D. McKeown,2315755748
Charles Theobald,2340054611
Alan Meyer,2096345950
Charlotte Vaughn,1995302759
Peter Morse,2159101468
Eric Corwin,2246348104
Andrew McCollough,2104016839
John Orbell,2052473539
T. Singer,2398366860
William Dumas,1988559345
Yue Fang,2187832043
Michael Coleman,https://scholar.google.com/citations?hl=en&user=tkBGM2IAAAAJ
Brent Lessley,https://scholar.google.com/citations?hl=en&user=8mtCUFcAAAAJ
Alan Eliason,https://scholar.google.com/citations?hl=en&user=jsMU-lEAAAAJ
Wencong You,https://scholar.google.com/citations?hl=en&user=2ICn8GAAAAAJ
Dewi Yokelson,https://scholar.google.com/citations?hl=en&user=GGX0mzUAAAAJ
