David Maier,2064546257_https://scholar.google.com/citations?hl=en&user=80pKMyMAAAAJ
Michael Bowman,2482414574
Farshad Madani,2133917132
Max Quinn,2484764288
Michael Thomure,2028469257
Peter Moeck,1772701208
I. Schafer,2100937799
Darrell Brown,2154517645
Leslie Young,2484612419
Erik Bodegom,145589214
Miguel Figliozzi,154194033
Yafei Yang,2482163709
Donald Frank,2142887168
Tadesse Meskele,2038284346
K. Gotkhindikar,2462448454
Qiqi Hou,2973851508
Swetha Gilla,2223797009
Chris Chen,2799069781
Marisa Zapata,2096548552
Jules Bassale,1227264321
C. Crespo,2777386400
Brian Greer,1977520187
Swapna Mukhopadhyay,2154724471
Holly Lawson,2630923080
Bhuricha Sethanandha,2000511956
Raya Budrevich,2279857522
Mick Thomure,2426948625
Scott Long,2705237735
Rashawn Knapp,2128509998
D.V. Hall,2299047609
C. Shirley,2000046909
Bryant York,2188516072
U. Kalay,2280933203
Edwin Garces,2116128787
Kelly Clifton,2496341766
Robert Bass,2149766349
Melissa Lucash,2307423898
R. Tymerski,2073620769
Jeff Allen,2481911710
Sean Gordon,2463467137
Nicholas Pilkington,1975236449
S. Grygiel,2434677465
Jim Snow,2650924529
Huy Tran,2481711711
Diana Fisher,2326970839
Jian Wang,2696595494
Sandeep Agrawal,2230078345
Varun Devaraj,2686580872
R. Retnamma,2228269061
K. Jothi,2779279037
Dacian Dăescu,1585088338
C Yiu,2973409292
A. Negi,2112460561
N. Rayner,2174213098
Wade Hilts,2734590769
Mark Morrissey,2494116374
Tom Shott,2223876143
Susham Yerabolu,2967452731
Samuel Gomena,2968050905
Thong Doan,2782070405
A. Nahar,2431917527
Benyi Wang,2111364249
Chittaranjan Vasireddy,2298309811
Shivangi Saxena,2106041691
James Hook,2951012763_https://scholar.google.com/citations?hl=en&user=dBE0MEkAAAAJ
Tim Menzies,2678706089
Rohit Rampal,2161336116
Wei Wan,2691391108
Brian Delgado,2230884500
Paul Loikith,2050982695
Muayad Aljafar,2508792604
Yu Xia,2307849878
Niles Lehman,1971270040
Sherry Buchanan,2342871186
Ingrid Fischer,2906997748
Yih-Chyun Jenq,2126840249
Rashmi Nandikur,2224479651
Ning Song,2974116987
Jun Jiao,2147204545
Arthur Hendricks,2121799143
Tim Chevalier,2126625051
D.H. Chiang,2158419065
Lisa Zurk,2251809832
Brian Pugh,2610456323
K. Toth,2704538122
E. Sijercic,2974641898
Ken Stedman,2551306127
M.A. Stegawski,2288059937
Robin Paynter,2439553281
Jennie Si,2986955141
Lars Holmstrom,2184370727
Hisham Benotman,2496155102
Dawn Richardson,2212629014
Jost Lottes,2600791343
James Miller,2907620809
Nathan Mishra-Linger,2346838937
Phoebe Daurio,2428233134
Martin Helliwell,2636859269
D. Maie,2760445408
G. Ravikiran,2557643127
Andy Jost,2129029029
R. Marshall,2140192284
Kelly Cowan,2134965516
Xiaowen Wang,2764775128
Erik Conser,2766731929
Jack Chen,2946592206
Andy McMillin,2396745686
W. Refaai,2570914228
R. Koltur,2571332829
Y. Patil,2718323081
P. Halen,2158615152
Allea Martin,2771025506
Sirisha Kothuri,2140132024
Haider Al-kanan,2614940275
Elizabeth Withers,2089743832
Rahulkumar Koche,2475718094
Liu-Qin Yang,2162218862
Mandar Deshpande,2647746031
Harrison Green-Fishback,308960180
Daniel Brown,2120626630
Su-Hui Chiang,2306262738
Mazad Zaveri,2013420977
D. Hamlet,2973877178
Dundar Kocaoglu,1917893095
Thanh Le,2622861139
Ha Tran,2663198484
Jordan Landford,1273841288
T. Shannon,2973411577
R. Turakhia,2974366843
Bo Chen,2336013031
Jonathan Bird,2137938309
T. Ellis,2974708004
Martin Swobodzinski,2559434127
Thomas Schumacher,2112999425
C. Kothapalli,2338670118
A. Deswandikar,2340988887
N. Macias,2427764461
Afrem Gutema,2083882143
Jason Brewster,2367342888
Chuan-kai Lin,2639370521
Sean Kohles,2171288362
Dipal Shah,2151751560
Grzegorz Blakiewicz,2955297184
Chet Orloff,2741144019
Yonghee Cho,2125284512
J. Hook,2974232074
Amit Bhat,2222255266
Edward Zaron,2007334564
Amir Shaygan,2782722119
S. Lakkavalli,2396065914
Harry Porter,2566405194
Maggie Lynch,2535806969
Shantesh Pinge,2974232804
Haera Chung,2251741735
Kevin Midkiff,2597290743
Xiao Li,2308348388
P. Wong,2973901436
Cyril Oberlander,2071276170
Dan Streeter,2673198409
Scott DuHadway,2519599413
Thomas Kimpel,296036612
James Strathman,694343273
J. Castelino,2662350756
A. Gandhi,3007571355
Steven Gehrke,2121253471
James Hein,2278993433
James Whiteneck,2058219134
Bin Jiang,2223043470
Haiyan Li,2307575485
M. Chrzanowska-Jeske,3004853106
Michael Lupro,2752475580
Xuanzhe Li,2975404582
Rohan Patel,2975714152
Soyoung Kim,2975809769
Shraddha Bhise,2976908083
Disha Puri,2159975054
Thomas DuBuisson,1863670885
Charles Weber,2148852691
G.C. Lendaris,2974507727
Huafen Hu,2099746004
Chad Miller,2519958628
E. Pierzchala,2974200887
